电影名,评分,导演,卡司,id
你好，李焕英,7.7,贾玲,"贾玲, 张小斐, 沈腾, 陈赫, 刘佳",34841067
无双,8.0,庄文强,"周润发, 郭富城, 张静初, 冯文娟, 廖启智",26425063
唐人街探案,7.7,陈思诚,"王宝强, 刘昊然, 佟丽娅, 陈赫, 肖央",26311973
美人鱼,6.7,周星驰,"邓超, 罗志祥, 张雨绮, 林允, 徐克",19944106
芳华,7.7,冯小刚,"黄轩, 苗苗, 钟楚曦, 杨采钰, 李晓峰",26862829
羞羞的铁拳,6.8,"宋阳, 张吃鱼","艾伦, 马丽, 沈腾, 田雨, 宋阳",27038183
驴得水,8.3,"周申, 刘露","任素汐, 大力, 刘帅良, 裴魁山, 阿如那",25921812
疯狂的外星人,6.4,宁浩,"黄渤, 沈腾, 汤姆·派福瑞, 马修·莫里森, 徐峥",25986662
湄公河行动,8.0,林超贤,"张涵予, 彭于晏, 孙淳, 陈宝国, 冯文娟",25815034
唐人街探案3,5.3,陈思诚,"王宝强, 刘昊然, 妻夫木聪, 托尼·贾, 长泽雅美",27619748
人再囧途之泰囧,7.5,徐峥,"徐峥, 王宝强, 黄渤, 陶虹, 谢楠",10574622
动物世界,7.2,韩延,"李易峰, 迈克尔·道格拉斯, 周冬雨, 曹炳琨, 王戈",26925317
无问西东,7.5,李芳芳,"章子怡, 黄晓明, 张震, 王力宏, 陈楚生",6874741
老炮儿,7.5,管虎,"冯小刚, 许晴, 张涵予, 刘桦, 李易峰",24751756
白蛇：缘起,7.8,"黄家康, 赵霁","张喆, 杨天翔, 唐小喜, 刘薇, 张遥函",30331149
中国机长,6.6,刘伟强,"张涵予, 欧豪, 杜江, 袁泉, 张天爱",30295905
疯狂的石头,8.6,宁浩,"郭涛, 刘桦, 连晋, 黄渤, 徐峥",1862151
妖猫传,6.9,陈凯歌,"黄轩, 染谷将太, 张雨绮, 秦昊, 张榕容",5350027
邪不压正,7.0,姜文,"彭于晏, 廖凡, 姜文, 周韵, 许晴",26366496
误杀,7.5,柯汶利,"肖央, 谭卓, 陈冲, 姜皓文, 秦沛",30176393
