电影名,评分,导演,卡司,id
半个喜剧,7.3,"周申, 刘露","任素汐, 吴昱翰, 刘迅, 汤敏, 赵海燕",30269016
风声,8.4,"陈国富, 高群书","周迅, 李冰冰, 张涵予, 王志文, 黄晓明",3734112
青蛇,8.6,徐克,"张曼玉, 王祖贤, 赵文卓, 吴兴国, 马精武",1303394
宝贝计划,7.5,陈木胜,"成龙, 古天乐, 蔡志强, 许冠文, 蔡卓妍",1859036
诛仙1,4.5,程小东,"肖战, 李沁, 孟美岐, 唐艺昕, 刘端端",25779217
唐山大地震,7.8,冯小刚,"徐帆, 张静初, 李晨, 陈道明, 张子枫",3596502
银河补习班,6.2,"邓超, 俞白眉","邓超, 白宇, 任素汐, 王西, 孙浠伦",30282387
爱情神话,8.1,邵艺辉,"徐峥, 马伊琍, 吴越, 倪虹洁, 周野芒",35376457
无人区,8.3,宁浩,"徐峥, 黄渤, 余男, 多布杰, 王双宝",3804891
大闹天宫,9.4,万籁鸣,"邱岳峰, 富润生, 毕克, 尚华, 于鼎",1418019
拆弹专家2,7.4,邱礼涛,"刘德华, 刘青云, 倪妮, 谢君豪, 姜皓文",30171424
独行月球,6.6,张吃鱼,"沈腾, 马丽, 常远, 李诚儒, 黄才伦",35183042
煎饼侠,5.8,大鹏,"大鹏, 袁姗姗, 柳岩, 吴君如, 曾志伟",25895276
战狼,7.0,吴京,"吴京, 余男, 斯科特·阿金斯, 李凯文, 倪大红",24753810
新喜剧之王,5.7,"周星驰, 邱礼涛, 肖鹤, 黄骁鹏","王宝强, 鄂靖文, 张全蛋, 景如洋, 张琪",4840388
功夫熊猫3,7.8,"吕寅荣, 亚历山德罗·卡罗尼","杰克·布莱克, 布莱恩·科兰斯顿, 达斯汀·霍夫曼, 安吉丽娜·朱莉, J·K·西蒙斯",11589036
分手大师,5.1,"俞白眉, 邓超","邓超, 杨幂, 古力娜扎, 栾元晖, 秦越",24879858
绣春刀,7.7,路阳,"张震, 刘诗诗, 王千源, 李东学, 聂远",24745500
嫌疑人X的献身,6.3,苏有朋,"王凯, 张鲁一, 林心如, 叶祖新, 丁冠森",26606743
暴裂无声,8.2,忻钰坤,"宋洋, 姜武, 袁文康, 谭卓, 王梓尘",26647117
