$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$11498192$齐天乐$乌子虚$2012-11-20 16:00:28$88$看得我好伤感。这才是真正的表演艺术家在表演艺术啊。
38$11498192$齐天乐$陈春先$2023-01-12 09:47:53$1$看似简单的联欢会，实际上是专门面对电视观众的，杨导实际上安排了两场晚会，一场是带妆，一场是便装，然后通过剪辑合成为一台晚会。有一说一，质量和当时的春晚还是没法比，但是满足了那时候娱乐生活贫瘠的城市居民的需求。但最重要的还是——用真心。
39$11498192$齐天乐$万里独行$2015-06-25 20:53:05$2$秒杀87后所有的春晚
40$11498192$齐天乐$爱吃馒头的宝宝$2017-05-23 16:34:17$1$哈哈哈哈哈哈拼演技的假唱
41$11498192$齐天乐$江湖遠人$2013-04-07 21:41:49$1$好欢乐。
42$11498192$齐天乐$契丹绣$2022-12-27 10:24:38$0$这节目可媲美当年的经典春晚。
43$11498192$齐天乐$空蝉$2022-04-29 22:05:01$0$太神奇的一场盛会了，空前，亦绝后
44$11498192$齐天乐$loui$2016-04-29 20:26:38$2$那年的央视……
45$11498192$齐天乐$想飞的鱼儿$2016-04-26 14:11:55$0$1987年
46$11498192$齐天乐$花城漓江$2015-07-18 17:10:54$0$好看！！！
47$11498192$齐天乐$cless1987$2013-04-10 12:25:48$2$经典！
48$11498192$齐天乐$肖浑$2019-02-03 17:35:14$0$纯粹的欢乐。
49$11498192$齐天乐$素狸狸的桔子$2022-11-23 18:41:55$0$以前耳熟能详的歌曲现在听来才发现词句如此精妙，“只一颗心儿未死，向往着逍遥自在”“强者为尊应让我，英雄只此敢争先”，哪怕过去二十年，我依旧越来越爱大圣《敢问路在何方》配合着剧组的幕后剪辑，令人十分感慨，“翻山越水两肩霜花”的不仅仅是师徒四人，还有电视剧背后付出艰辛汗水的创作者们
50$11498192$齐天乐$高玉宝$2022-08-12 20:01:26$0$还记得，当年，西游记结束的时候，多么舍不得，然后出来这么个节目，多让人开心啊！
51$11498192$齐天乐$神机铳手$2022-07-05 23:21:37$0$集原剧各种艺术的精华于一体，更是春晚天花板
52$11498192$齐天乐$我们在一九八四$2017-10-17 11:10:27$0$节目各个精彩，唱念做打，无一不有。八戒的调侃，程之前辈的相声，六小龄童的猴戏，吴静的歌声，几段优雅的民族舞，唐长老和玉兔精的小剧场，最后赵丽蓉老师扮演的刘氏和一对儿女+岳雷，合演的小品，将整台晚会推向了高潮。春晚要是这么排，年年都看。
53$11498192$齐天乐$你猜我是谁$2022-02-07 11:24:22$0$中国最早的小品、freestyle说唱、bbox、穿越，过瘾，有年味，无数当年的面孔
54$11498192$齐天乐$行者$2022-08-25 12:03:46$0$人神魔三界大联欢，西游记不会是一部音乐剧，以前的人真是太有才了。
55$11498192$齐天乐$1193$2020-12-26 15:23:14$0$五体投地！
56$11498192$齐天乐$靠近南级$2016-02-14 19:29:43$0$竟然看到这个，比现在的春晚好太多了。
57$11498192$齐天乐$果味抹茶$2023-01-26 00:11:01$0$太好看了！我妈妈突然提到一句你看没看过西游记春晚，没想到这么好看！过年的时候没看春晚给家人们放的西游记春晚一起看的！大家都哈哈笑了起来，还是曾经有年味儿啊
58$11498192$齐天乐$nasasunjay$2023-01-21 20:12:36$2$挖到宝藏了，秒杀现在包饺子
59$11498192$齐天乐$旋木。$2017-04-19 17:36:09$1$他们才是艺术家。女儿国国王好美。
60$11498192$齐天乐$西北有高楼$2020-11-16 20:15:44$0$最好的春晚，没有之一
61$11498192$齐天乐$孤单喂饱了理性$2022-08-22 17:40:08$1$这是第一次不是在春节看春晚，太精彩太经典了，86版西游记的全体剧组几乎都来了（这时候电视剧还没拍完），其乐融融的氛围真的好，节目安排得也很妙，白鹤仙子和杏仙的独舞跳得好，迟重瑞唐僧的独唱唱的好，章金莱孙悟空的猴戏耍得好，白骨夫人变化成的村姑杨俊的表演也绝了，但是脑海中最挥之不去的，还得是女儿国国王朱琳那一颦一笑的仪容和一顾一盼心上人唐僧（徐少华）的仪态了😳，可惜徐少华没来，朱琳也只能以一句“不知道御弟哥哥如今走到何处了”来聊表心意，噫，真乃是“美人卷珠帘，深坐颦蛾眉。但见泪痕湿，不知心恨谁”啊！
62$11498192$齐天乐$+Rae$2015-09-23 14:02:18$0$23333333
63$11498192$齐天乐$美琪那$2016-02-09 23:44:35$0$估计是拍摄受阻才不得已搞了这台晚会，搏点人气和支持。
64$11498192$齐天乐$嘎嘣嘻脆$2019-05-03 19:31:58$0$这是赵丽蓉老师第一次演小品
65$11498192$齐天乐$醺$2015-01-24 07:49:17$0$特典 囧囧囧哈哈哈|| [ 喜欢这部电影的人也喜欢 ] 的片感觉一个都不喜欢
66$11498192$齐天乐$咩花糖$2020-02-02 11:57:09$0$太精彩了！
67$11498192$齐天乐$马雅可夫斯基$2016-01-27 21:32:09$1$西游版春晚
68$11498192$齐天乐$半梦忽还乡$2022-02-08 19:14:41$0$绝啊，绝！
69$11498192$齐天乐$林山王1号$2022-02-03 10:53:32$1$阎王爷骂骂咧咧退出群聊，哈哈，小时候好爱杏仙
70$11498192$齐天乐$众妙之门$2019-02-05 00:15:02$1$遙想春晚當年，如今盍堪齊天？唉，80年代逝去了，春晚也逐漸地淪陷了！
71$11498192$齐天乐$泡個大爪$2016-08-04 09:14:44$1$走在时代尖端的SP阿 
72$11498192$齐天乐$波谷$2022-01-08 16:05:48$0$诚意满满。
73$11498192$齐天乐$茫茫$2023-02-06 15:26:40$0$精彩纷呈，现在难以重现这种盛况的联欢晚会了。
74$11498192$齐天乐$其实我是名演员$2014-12-06 18:49:45$2$真正的艺术 真正的经典
75$11498192$齐天乐$鼠$2021-02-12 00:08:59$0$挺有意思的。其实不太爆笑。但是构思出彩。
76$11498192$齐天乐$ACSHW$2013-11-18 08:52:12$2$怎么看都不过时啊
77$11498192$齐天乐$xTnis$2021-02-20 03:24:06$1$空前绝后的史上第一春晚。
78$11498192$齐天乐$Time Sculptor$2021-01-08 00:17:04$0$致敬经典，不容置疑！
79$11498192$齐天乐$hungry$2019-02-13 11:20:53$0$正月里来是新春，赶着那猪猴呀出了门7396有几位应该是假唱了吧，口型对不上，特别是红孩儿
80$11498192$齐天乐$居北望南 9¾$2016-02-14 13:43:13$0$西游记在当年太火了，央视专门办了台春晚。
81$11498192$齐天乐$赛吉颂$2022-01-24 23:10:50$1$心目中最好最好最好的晚会。
82$11498192$齐天乐$万乐$2022-02-06 00:40:51$0$群星超级碗
83$11498192$齐天乐$时间的玫瑰$2019-01-01 11:27:06$0$高糊然而真棒。很多年没有认认真真看完一台晚会了。又热闹又亲切，18年到19年的跨年让我碰上了三十多年前这台比我年纪大的晚会，一口气看完，真开心。
84$11498192$齐天乐$K&amp;L$2013-11-03 17:11:11$0$和谐美好
85$11498192$齐天乐$人形师之夜$2014-02-10 11:33:37$1$现在再也没有这样一部电视剧能够凭一己之力办一个春晚还都是以原剧形象上来，如今也只有cos展能沾得上边啊。。。
86$11498192$齐天乐$Uli$2020-03-28 03:04:45$0$从小到大都喜欢《西游记》，看齐天乐春晚，我真正的感受到了当时艺术家的风采，那身姿，那气度，那字正腔圆的台词功底，真正地知道了当时老艺术家们的专业素质是如此之硬。/我本人太喜欢杏仙的表演啦，好有情调啊！！！
87$11498192$齐天乐$二一老人$2018-10-09 02:18:23$0$181008，读杨洁等人的书产生了兴趣，找来看看，很多想法还是很好玩的。
88$11498192$齐天乐$zl0072004$2018-10-09 13:00:01$1$六小龄童功夫无敌了。好多女演员是舞蹈戏剧出身，功力无敌了。赵丽蓉大亮。
89$11498192$齐天乐$DKyogre$2018-11-10 01:40:59$0$第一次看的时候真是震惊
90$11498192$齐天乐$肥狼$2022-02-03 08:39:55$0$9
91$11498192$齐天乐$一郁知秋$2016-10-08 15:33:49$0$真的棒，再多的舞美灯光特效画面，也不如朴实的师徒四人和台下的观众们。
92$11498192$齐天乐$好大的棉花糖$2022-04-26 12:21:04$0$质朴，欢乐，可爱，人美歌甜，顶级联欢。剧组自己人在台下都看得乐开花。
93$11498192$齐天乐$夕珂$2022-09-15 10:17:38$0$神仙阵容！各个才华横溢！
94$11498192$齐天乐$点苍苔白露泠泠$2023-02-25 21:02:36$0$真的厉害
95$11498192$齐天乐$安东.$2021-06-24 22:58:28$0$主题晚会真的太好了
96$11498192$齐天乐$勃立二象性$2021-01-02 20:08:49$0$阎王：能不能整点阴间能看的节目啊，口亨
97$11498192$齐天乐$珍惜淡定的心境$2016-06-26 13:09:42$0$这个春晚很好看
98$11498192$齐天乐$苏更生$2023-01-22 18:15:47$0$今年春晚看这个，刚好又是兔年了。
99$11498192$齐天乐$轻逸$2022-02-03 16:57:20$1$叹为观止！
100$11498192$齐天乐$zl0072004$2018-10-09 13:00:01$1$六小龄童功夫无敌了。好多女演员是舞蹈戏剧出身，功力无敌了。赵丽蓉大亮。
101$11498192$齐天乐$DKyogre$2018-11-10 01:40:59$0$第一次看的时候真是震惊
102$11498192$齐天乐$读书看电影$2021-02-15 00:30:11$0$唐舞真的是太好看了。音乐一起，眼泪都要出来了。
103$11498192$齐天乐$肥狼$2022-02-03 08:39:55$0$9
104$11498192$齐天乐$一郁知秋$2016-10-08 15:33:49$0$真的棒，再多的舞美灯光特效画面，也不如朴实的师徒四人和台下的观众们。
105$11498192$齐天乐$好大的棉花糖$2022-04-26 12:21:04$0$质朴，欢乐，可爱，人美歌甜，顶级联欢。剧组自己人在台下都看得乐开花。
106$11498192$齐天乐$大鱼$2017-10-07 07:50:16$0$西游记团队的春晚
107$11498192$齐天乐$夕珂$2022-09-15 10:17:38$0$神仙阵容！各个才华横溢！
108$11498192$齐天乐$安东.$2021-06-24 22:58:28$0$主题晚会真的太好了
109$11498192$齐天乐$勃立二象性$2021-01-02 20:08:49$0$阎王：能不能整点阴间能看的节目啊，口亨
110$11498192$齐天乐$我评分很认真$2022-02-27 21:12:11$0$朴实无华，古风语言，幽默点缀。感佩之情油然而生
111$11498192$齐天乐$苏更生$2023-01-22 18:15:47$0$今年春晚看这个，刚好又是兔年了。
112$11498192$齐天乐$轻逸$2022-02-03 16:57:20$1$叹为观止！
113$11498192$齐天乐$困死鬼$2019-07-26 22:50:30$0$好奇妙的晚会啊
114$11498192$齐天乐$紙剪青春$2021-04-28 21:22:57$0$（补）
