$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$11498192$齐天乐$乌子虚$2012-11-20 16:00:28$88$看得我好伤感。这才是真正的表演艺术家在表演艺术啊。
196$11498192$齐天乐$GLS$2022-02-03 00:32:49$0$太经典了!不论台上台下都是角色里人物还是以前春晚好看
197$11498192$齐天乐$猪$2023-01-22 23:33:46$0$哈哈哈 如来观音这反差 花絮叠主题曲叠小品 主要还是情怀了  小品没笑点 偏尬 不过本山也尬啊 我真想看如来观音穿个戏服好好独唱一曲
198$11498192$齐天乐$沽名钓鱼$2022-02-07 11:52:03$0$居然还有这个，一直没有标记，这个印象太深刻了，好看的很。
199$11498192$齐天乐$花开半夏天麻汤$2021-04-05 21:32:03$1$科技在进步，文化在倒退，精神在丧失，形式大于思想，功利大于形式，个人大于团体，精致的个人主义占据了主流，提心吊胆，精于算计，学者不觉的是学者，艺术不觉是是艺术，个个都失去自我，庸俗占据主流，个个都显得极端，不可一世。
200$11498192$齐天乐$狗圣$2022-11-05 02:07:30$0$算是绝唱了，再也看不到了。
201$11498192$齐天乐$dreamer$2015-11-14 21:11:56$1$每次看都很乐，乐得笑了，笑得哭了。。。国宝级晚会。
202$11498192$齐天乐$天外飞蟹$2022-03-21 09:10:44$0$小时候印象非常深，后来有了网络终于在网上搜到了。
203$11498192$齐天乐$桑榆非晚$2022-09-13 09:57:03$1$满分，太赞了，女王陛下的片段应该是首次登上银幕，那句“你若睁眼看我 不信你两眼空空”好酥，没有出戏报幕员，节目衔接得非常好，联欢氛围极佳，是现在的春晚望尘莫及的，杨导非常有才啊，几个节目记忆犹新，唱的《敢问路在何方》，小品《柜中缘》，还有杏仙歌舞，已经每每互动，官方吐槽最为致命哈哈，这是我出生之前的一台春晚，却胜过后面所有春晚。
204$11498192$齐天乐$Aviva$2022-02-06 11:47:55$0$满满的情怀
205$11498192$齐天乐$冰儿$2021-09-15 23:11:48$0$这个没见过的
206$11498192$齐天乐$Daniel2023$2019-12-13 21:42:55$0$那时只有六岁，一点印象都没有了。
207$11498192$齐天乐$逍遥月$2021-01-06 16:18:21$0$比大部分春晚好看多了。
208$11498192$齐天乐$恒谦$2022-02-07 16:16:13$0$别出心裁，创意十足
209$11498192$齐天乐$leave$2022-02-02 23:23:14$1$杨洁导演yyds
210$11498192$齐天乐$688_IMAGINE$2016-08-01 00:01:38$0$感动哭！！82版西游记各路神仙妖怪一起嘻嘻哈哈闹春节！
211$11498192$齐天乐$lalala三只小猪$2022-01-13 20:38:10$0$欢乐
212$11498192$齐天乐$林菲$2020-09-21 21:26:23$0$好有意思的晚会233333
213$11498192$齐天乐$cholo$2022-03-11 21:42:54$0$555555555
214$11498192$齐天乐$司无$2022-07-25 16:59:47$0$什么时候春晚能办的这么有意思啊。。。
215$11498192$齐天乐$鸡兔同班$2019-12-15 22:05:32$0$古典味的娱乐。
216$11498192$齐天乐$DDH$2020-02-04 19:51:27$1$我很像认识一下评论1分的那些人
217$11498192$齐天乐$帕德拉修$2021-12-26 22:06:31$0$艺术家之间的聚会~~！
218$11498192$齐天乐$桑代克喵喵喵$2020-01-13 18:38:54$0$那时候的春晚确实很精彩 老戏骨老演员
219$11498192$齐天乐$大BOSS靳靳靳靳$2022-02-02 23:03:34$0$杨洁导演了不起
220$11498192$齐天乐$veggieg$2019-06-25 21:42:31$0$那个时候的艺术家们多才多艺，虽然舞台效果没有现在高科技，但是带给人们的欢乐绝不输于现在的任何一台晚会，可惜的是剧中大多数人已经去世，感谢艺术家们。
221$11498192$齐天乐$巴布工程师$2022-07-09 14:24:00$0$知道有这么场晚会，还真没看过
222$11498192$齐天乐$知常林$2021-07-04 19:17:35$0$太有创意了，尤其是看到神仙妖怪齐坐一堂，戏曲演员也唱流行歌，各种艺术形式融会贯通且包容。感觉真的是一种那个年代的开放风气，上一段可以唱黄梅戏豫剧，下一段就可以唱流行歌，没有高下之分，也不分殿堂乡野，平等地对待艺术形式，并且自嘲自乐。老者：唐僧实际上是一个会计。王母娘娘：过去我是封建总代表。牛魔王：俺害臊，俺脸红（必须用河南话说）。唐僧：怪不得英雄难过美人关（专门在《唐僧抒怀》里回应绯闻问题）。金池长老：男走音是目前比较流行的唱法。猪八戒：随师傅上西天受累当差。
223$11498192$齐天乐$SunDance$2021-09-19 20:43:07$1$怎么体现一部作品是现象级的呢——《齐天乐》给了标准答案
224$11498192$齐天乐$zj上善若水$2020-09-03 03:07:31$0$经典啊～
225$11498192$齐天乐$秋秋$2022-01-26 11:41:49$0$很好看呢
226$11498192$齐天乐$不见森林$2020-03-04 19:14:51$0$满满的回忆
227$11498192$齐天乐$落木飘摇$2018-08-25 07:44:15$3$非常热闹，有节日气氛。有创意，当年的那些演员很多都是曲艺戏曲的科班出身，演技身段非常到位，连串场都特别自然，不做作。可能因为是剧组拜年，没有什么红色宣传，看起来很家常亲切。猴哥当年好年轻。单口相声也好，舞蹈歌曲也好，都很有功底。
228$11498192$齐天乐$风儿飘飘何所似$2022-10-09 02:43:06$1$这一届的春晚虽然是提前录制的 但是堪称经典 没有之一 西游全剧组每一个人都是艺术大师 让人怀念的年代 无法复刻的经典 （小破站就有超清4k修复版喔）
229$11498192$齐天乐$风铃$2022-02-03 03:57:19$0$遥想当年
230$11498192$齐天乐$妈妈的厨房$2016-05-16 13:44:13$0$经典再现。
231$11498192$齐天乐$文右語$2023-01-23 18:47:30$0$失承衣钵，时代断脉。
232$11498192$齐天乐$$2022-02-06 22:13:55$0$挺好 演员都很年轻 很美
233$11498192$齐天乐$外太空小仙女$2018-01-09 11:25:11$0$这晚会太精彩了，个个多才多艺。
234$11498192$齐天乐$五月七日君寻$2020-07-16 11:11:30$1$大型cos盛典！看的好舒服哈哈哈
235$11498192$齐天乐$Enginez$2019-02-23 00:25:29$0$谢罪乐
236$11498192$齐天乐$消食一郎$2022-10-04 21:39:08$0$除了与猴有关的片段最喜欢的就是闫怀礼老师的猴子吃西瓜了
237$11498192$齐天乐$TheODmE$2022-03-07 19:20:32$0$满分，满分。现在的春晚都不支持打分了hhh。
238$11498192$齐天乐$Vauseman$2019-02-04 13:39:40$0$真艺术，真欢乐。
239$11498192$齐天乐$子夜歌$2016-01-24 02:49:15$1$看了这晚会感慨良多啊
240$11498192$齐天乐$寓诸庸$2022-02-18 18:43:19$0$主要是情怀
241$11498192$齐天乐$解剖学crystal$2019-03-01 16:33:49$1$看了2遍，佩服杨洁导演和西游记剧组！晚会热闹又温暖，很有年味，比现在的晚会强多了，尤其是女儿国国王朱琳颜值爆表，还有杏仙和嫦娥、高小姐各个美丽娇俏有特点。
242$11498192$齐天乐$🎃$2020-08-09 14:21:09$2$神啊（迟师父西装帅哭我了）
243$11498192$齐天乐$momo$2023-01-16 21:25:08$0$情怀分
244$11498192$齐天乐$[已重置]$2022-03-27 15:04:00$0$阎王爷没有发出请帖… 尼玛太欢乐了
245$11498192$齐天乐$豆豆先森ONE$2016-11-06 15:37:18$1$春晚版西游记，简直是经典
246$11498192$齐天乐$美人惆怅玉芙蓉$2022-11-14 11:35:24$0$太棒了吧!
247$11498192$齐天乐$逸璞$2018-12-02 15:33:31$1$看的人想哭，不会再有比这更高艺术水准的表演了，西游记和红楼梦的剧组可谓空前绝后
248$11498192$齐天乐$翱云$2016-01-29 12:24:10$1$泪流满面
249$11498192$齐天乐$罗森内里$2023-01-15 16:57:18$0$整场晚会编排完美，太有心了
250$11498192$齐天乐$彤心諧力$2023-01-22 00:19:01$0$春晚我只认准西游齐天乐。
251$11498192$齐天乐$木城南安$2017-01-16 11:24:06$1$简直不敢相信我才看！光是看到这几个人就足够我给满分了，西游记不容易啊！
252$11498192$齐天乐$夜归人$2019-03-07 15:22:38$1$金池长老和黄眉怪那段真的太搞笑了
253$11498192$齐天乐$道路以目$2022-03-21 14:41:49$0$王母唱那句“封建总代表”真实充分体现了天朝特色。86版西游记是按照阶级斗争为拍摄基调的，单从电视剧角度挺好的，但已经脱离了原著的思想——一切都是安排好的，唐僧是下基层锻炼的二代，悟空等都是被训练的工具而已。
254$11498192$齐天乐$洛即休$2018-06-17 21:44:44$1$这才是春晚想看到的东西
255$11498192$齐天乐$白日乌鸦$2022-02-02 03:21:50$1$妈呀 太好了 群英荟萃！真诚、欢乐、美好。是最好的那些人。
256$11498192$齐天乐$六级强化阅读$2020-06-23 17:39:15$1$杏仙太好看啦啊啊啊啊啊啊啊
257$11498192$齐天乐$三味线$2022-02-07 16:45:25$0$太精彩了😝
258$11498192$齐天乐$合法小贩$2019-02-23 12:45:20$1$不愧是艺术家们！（迟重瑞太帅了！）
259$11498192$齐天乐$飞来飞去的星星$2018-04-20 00:28:16$1$一部剧撑起一台晚会，个个经典难忘人人堪称艺术家，足以秒杀一切晚会
260$11498192$齐天乐$葡萄扇子$2022-08-07 17:48:31$0$补
261$11498192$齐天乐$王森林$2022-06-15 18:35:58$0$神仙联欢
262$11498192$齐天乐$。$2021-08-13 12:36:21$1$看见这些人我就高兴
263$11498192$齐天乐$我的夹夹$2022-05-15 16:43:09$0$春晚天花板，超高规格的拜年！
264$11498192$齐天乐$Lee Peng$2022-02-03 23:27:05$0$小破站上看的，画质不好，但还是很欢乐的
265$11498192$齐天乐$雲槎$2023-01-24 18:01:31$0$再来亿遍
266$11498192$齐天乐$榆槐$2022-05-17 10:00:25$0$春晚如果是这个水平就好了
267$11498192$齐天乐$西岭$2021-08-10 14:28:22$1$这不比春晚好看系列二。
268$11498192$齐天乐$十八岁豪门阔少$2022-02-04 11:59:09$0$精彩绝伦！！
269$11498192$齐天乐$Jason Lee$2020-09-14 08:51:10$2$圆圆满满，庄严我神州大地。
270$11498192$齐天乐$氏誰$2019-10-13 15:07:44$1$理解当代中国“八十年代”文化氛围的一个线索。
271$11498192$齐天乐$既望$2022-02-04 15:04:49$0$真切纯粹
272$11498192$齐天乐$独鹤于飞$2022-12-26 23:14:37$0$p
273$11498192$齐天乐$v$2021-07-30 12:04:10$0$可爱
274$11498192$齐天乐$momo$2023-01-13 14:02:59$0$神仙阵容踏着运动会进行曲入场，大伙一块唱歌拜年热闹满分，大圣歌*2👍，披风背影名场面太帅了吧，我的心都是空空的！！！今年除夕就指着这个啦
275$11498192$齐天乐$孙蕾蕾$2022-03-06 16:05:24$1$好春晚，就是即使像素渣，你看到结尾也是意犹未尽，每个西游记的演员都多才多艺，这才是艺术家
276$11498192$齐天乐$百花山公主大王$2018-02-20 15:55:25$3$2017年我再看这台春晚，泪流满面，我不知道哭的是逝去的时光，还是在这个地方，我们再也不可能看到这样的晚会了，再也不会有土壤和空气送给这种真诚，欢乐和美好了
277$11498192$齐天乐$魏连殳$2022-03-01 23:09:37$0$最美晚会
278$11498192$齐天乐$MOmo$2022-02-03 12:31:06$0$好看
279$11498192$齐天乐$要啥自行车🚲😘💤🇩🇪$2022-02-01 00:38:17$0$神仙打架
280$11498192$齐天乐$蓝忘机的抹额$2023-02-17 09:01:45$0$太好看了是以后心情不好都要拿出来重温的程度
281$11498192$齐天乐$Avery✨$2020-11-27 21:43:24$1$听说删了很多节目，太可惜了！
282$11498192$齐天乐$Vermouth魔女$2018-12-02 15:08:53$1$笑中有泪
283$11498192$齐天乐$贺初九$2023-02-16 22:48:05$0$太欢喜！太喜欢了！
284$11498192$齐天乐$掌灯元帅$2016-02-17 00:33:50$0$蛮精彩的
285$11498192$齐天乐$dong2j$2021-01-26 12:45:19$0$cult! (4.5/5)
286$11498192$齐天乐$追$2020-07-22 11:07:28$2$高啊！太高了！两个印象最深刻的:1.演白骨精第一个幻身的姑娘怎么这么好看啊！2.咬翎毛的大圣怎么这么帅啊（剧中从来没有）
287$11498192$齐天乐$momo$2017-04-22 16:06:39$2$这段时间又中了西游记的毒，不断翻出各种周边。看着边笑边哭，像个傻子……
288$11498192$齐天乐$Jonathan$2018-05-05 23:53:50$3$五星给西游记剧组
289$11498192$齐天乐$李树花开$2017-08-19 00:41:05$0$很精彩!
290$11498192$齐天乐$芷昀。$2023-01-25 12:43:57$0$从头到尾看完了，都是神仙，后无来者
291$11498192$齐天乐$石子滩$2012-07-21 15:17:00$0$胡寅寅《大圣歌》
292$11498192$齐天乐$这片海$2022-02-03 13:20:06$0$精彩，好看！！
293$11498192$齐天乐$宋涛$2023-04-13 17:54:49$0$好
294$11498192$齐天乐$CD$2018-09-21 12:54:37$0$这种类型属于什么？很有意思，现在的艺术太循规蹈矩了。
295$11498192$齐天乐$荏苒在衣$2022-02-18 16:38:00$0$这才是真正的艺术，每一个节目都无比用心。30多年过去了，在电光石火技术无比发达的今天，我们看到的是什么？！
296$11498192$齐天乐$病孩子$2019-07-15 13:49:05$0$那时候的人是真的用心。
297$11498192$齐天乐$若小豆$2021-02-16 19:40:23$2$还没看够呢就结束了，吊打现在央视的春晚！小时候光看热闹了妹发现女演员都这么美！也头一次get到了迟重瑞的帅，真的帅啊哈哈哈哈哈哈哈！
298$11498192$齐天乐$May$2022-02-03 08:49:21$1$中国是晚会大国，社会风貌与开明程度，都能在历年晚会节目中可见一斑。
299$11498192$齐天乐$cena1005$2021-03-21 23:33:31$1$最好的年代，最好的组合。
300$11498192$齐天乐$向旦的羊$2022-02-25 15:04:22$0$眼眶湿润，浑身颤抖，真心震撼
301$11498192$齐天乐$菠萝包萝卜包$2019-03-16 12:13:27$1$强推
302$11498192$齐天乐$Blandine$2020-01-14 19:06:46$0$哈哈哈哈 童年补标！
303$11498192$齐天乐$超专业莲藕打孔$2022-02-03 20:04:52$0$真的满满的怀念啊！以后每年新年一定要翻出来看一遍，看着看着眼泪流下来
304$11498192$齐天乐$nomo$2022-08-20 13:15:53$0$这天下还有能出其右的晚会吗？
305$11498192$齐天乐$月亮会发光$2020-04-29 22:27:00$0$经典就是引人入胜。现在没有这种感觉了。
306$11498192$齐天乐$英雄本色$2018-08-11 19:43:10$1$比春晚好看十倍
307$11498192$齐天乐$momo$2023-03-31 23:45:45$0$过年看
308$11498192$齐天乐$画出笨拙的自由$2020-11-24 23:23:00$0$为什么87年我还没生呢!
309$11498192$齐天乐$野萌君$2019-11-22 14:57:52$0$不错
310$11498192$齐天乐$偷瓜的猹$2022-02-05 08:17:56$0$最棒的过年晚会！！！
311$11498192$齐天乐$芳芳姐$2022-02-07 20:08:54$0$一个西游记剧组撑起一个春晚。这是拜年春晚的天花板，好喜庆呀！
312$11498192$齐天乐$东篱岸$2017-07-30 22:12:56$1$王母娘娘唱自己是“封建总代表”，唐僧唱“英雄难过美人关”，幕后走向台前，总有神奇魅力呀！
313$11498192$齐天乐$布克多拉玛$2021-12-12 19:33:18$0$当年的convention
314$11498192$齐天乐$phy lu$2022-02-06 01:17:43$0$文艺应如是
315$11498192$齐天乐$timme$2020-01-06 20:01:12$0$剧组人员好多才多艺啊
316$11498192$齐天乐$平安鹅城$2021-04-04 22:24:11$1$不要说差太多，只能说没法比
317$11498192$齐天乐$Monster man$2020-08-28 22:30:58$0$经典
318$11498192$齐天乐$厚积落叶听雨声$2020-02-09 19:38:26$1$人又齐又年轻
319$11498192$齐天乐$倒退$2017-04-18 19:36:19$2$比30年后春晚好看多了
320$11498192$齐天乐$秦遥灵$2016-07-23 14:43:48$0$10.0
321$11498192$齐天乐$奇点1023$2020-09-01 21:02:44$0$这是什么神仙整容啊
322$11498192$齐天乐$成长的幸福$2022-02-08 11:25:57$0$欢乐又温馨，什么时候春晚能回到这种感觉，亲亲切切。最喜欢赵丽蓉最后那个小品，还有朱琳也太美了，心中最美古典美人之一了。
323$11498192$齐天乐$咖啡不加冰～$2021-02-09 19:21:09$1$好看，太欢乐了，最好看的春晚，没有之一！！！真正的艺术家
324$11498192$齐天乐$叆叇╮$2022-04-25 22:53:50$0$怀念一个时代
325$11498192$齐天乐$撸巨基$2018-02-25 04:53:23$2$永远的经典，本来百无聊赖想在b站找找乐子，OMG，没想到一发不可收拾，才发现剧中人物私下是这般多才多艺！那个美好的年代一去不复返，老艺术家们一个个慢慢离去了，希望能更多人看到这样的经典，而不只是一部剧而已！
326$11498192$齐天乐$SHIYING$2022-02-04 09:02:55$0$老艺术家太厉害了，个个都是真本事
327$11498192$齐天乐$牛逼哥A$2020-02-18 17:44:24$1$多少年了，我当时--13岁bilibili这个真的算是一种前无古人后无来者的一个春晚。谢谢你们！陪伴了我的整个童年！经典之作，古典之美！
328$11498192$齐天乐$皮加索$2016-12-16 18:06:43$1$经典啊
329$11498192$齐天乐$榛果球球来了$2022-02-03 14:07:38$0$当年的晚会也太宝藏了吧，完全不需要主持人串场，一群业务能力过硬的表演者其乐融融各显神通，神话与现代无缝衔接，还有赵丽蓉老师惊喜亮相，从此成为春晚常客。反观现在的晚会，冗长无趣，精致乏味，又尴又尬。
330$11498192$齐天乐$山生DAN$2022-01-16 18:31:10$0$是一秒钟都不会想快进的经典！！疯狂安利，真想回到那个年代去
331$11498192$齐天乐$雨夜城$2019-02-22 05:32:57$1$真正的艺术家，古典艺术也是与时俱进。反观现在的文化传媒，都是政治宣传或者爆米花垃圾。
332$11498192$齐天乐$chch_wx$2022-02-03 20:02:45$0$太经典啦！
333$11498192$齐天乐$moonlake$2017-06-30 17:17:44$1$要哭了。。
334$11498192$齐天乐$阿黎愛太極$2021-09-08 22:29:18$0$Wonderful！！！！！
335$11498192$齐天乐$momo$2022-02-03 21:02:39$0$好看好看好看好看！！！
336$11498192$齐天乐$Miss Echo$2022-02-03 16:16:31$0$再也没有这样的晚会了
337$11498192$齐天乐$豆友182292036$2022-02-09 23:58:03$0$童年啊！！
338$11498192$齐天乐$YOUi$2020-02-10 19:23:45$0$以前都是老艺术家！现在玩的都是弟中弟啊
339$11498192$齐天乐$冯俊梓$2019-02-20 20:09:59$0$挺棒的，不一样的春晚，不一样的西游记剧组
340$11498192$齐天乐$星河欲转千帆舞$2022-08-15 18:51:26$0$西游晚会！节目都很经典，包括猴王吃瓜、大圣歌、猪八戒之歌，还有开头的出场太惊艳了哈哈哈哈哈，最朴素的就是最好的！那个时候小品的鸡和鸭居然还是活的！我左手一只鸡呀~右手一只鸭呀~
341$11498192$齐天乐$阿月浑子$2023-01-27 23:09:57$0$有意思，意犹未尽啊
342$11498192$齐天乐$趁年华DB$2022-02-06 23:51:24$0$好看
343$11498192$齐天乐$啊对对对$2019-10-16 00:24:54$0$这一届很特别啊，也很好看～
344$11498192$齐天乐$树叶$2021-06-19 05:45:43$0$挺好看的
345$11498192$齐天乐$安宁╮$2022-02-03 23:04:16$0$外婆都能跟着节目唱起来👍🏻👍🏻
346$11498192$齐天乐$暗之帝王$2019-06-21 16:08:54$3$这可以说是一场史无前例的春节联欢晚会，西游记的热潮让这场晚会格外受人瞩目。各路神仙各路魔头齐聚，歌舞升平，好不痛快。仙鹤的一段唐舞，婀娜多姿，把人们又带回了那大唐盛世。韩善续和猪八戒的小品真是一把穿越好戏。
347$11498192$齐天乐$苏西小可爱$2022-02-01 14:35:29$0$前辈们都太厉害了
348$11498192$齐天乐$傅立叶ye$2021-04-14 09:45:33$1$杨洁导演是真正的艺术大师，西游记聚集了全国的老艺术家和名角，这群人风气正功夫硬，热爱艺术，太神了。他们在服务观众，所作所为都是为搏观众一笑。一群神仙在那里喝汽水嗑瓜子好有趣，迟重瑞也是真得相貌堂堂气质轩昂的，不上镜头也不适合化妆但放到现实中太亮眼了。
349$11498192$齐天乐$A001🐯林祺🐷$2018-02-20 10:47:16$0$热热闹闹每个角落都是人情味！
350$11498192$齐天乐$匆匆那年$2020-05-13 09:52:39$1$虽然是九零后，但是回头看这台晚会，竟然热泪盈眶，这才是春晚模样。杨洁导演的创意是非常精彩的，唉，不过看了她的自传，一路走来真的是磕磕绊绊。
351$11498192$齐天乐$静静🎤$2017-08-23 08:25:05$2$特别有氛围的一台春晚。所有的演员，都可以称之为真正的艺术家，迟师傅当时，真可谓是盛世美颜，唐僧抒怀更是唱功和演技并存。这才是真正大众所喜闻乐见的。可惜时过境迁，这样的经典，再也不会有了
352$11498192$齐天乐$蛋蛋$2016-05-19 11:40:27$1$能聚在一起真不容易啊
353$11498192$齐天乐$小女孩与小鲤鱼$2022-06-12 21:04:32$0$国内最强剧组，任何一个看似不起眼的小角色，单拎出来都能是独当一面的表演艺术家！怀念那时汲取诸多戏曲元素的审美，演员也多是从戏曲舞蹈院团选出来的，身形天然古典美好。
354$11498192$齐天乐$♡$2018-03-12 04:50:31$1$比现在的好看多了，真伤心我没有生在那个年代
355$11498192$齐天乐$能智$2021-03-12 08:38:25$1$一部老电影。也是一部经典之作。值得观看，推荐。
356$11498192$齐天乐$明哥的粉色毛毛$2017-04-18 23:41:45$2$可以说是有史以来最棒的春晚盛典了，所有演员均以戏中造型亮相，打破次元，金彩绝伦，值得收藏。
357$11498192$齐天乐$海上东青$2017-05-10 13:01:15$1$这个是非常经典的，跟西游记的连续剧放在一起完全合适，演员真是多才多艺，佩服杨洁导演的能力
358$11498192$齐天乐$HOWR FANG$2017-01-29 23:40:43$1$国产晚会和影视的黄金年代！
359$11498192$齐天乐$0x00000012$2016-12-07 07:11:24$0$08.26
360$11498192$齐天乐$momomamihong$2017-06-30 21:32:43$1$欢乐而感动！
361$11498192$齐天乐$dy19901224$2017-01-03 16:24:48$0$阎王已经哭晕在厕所
362$11498192$齐天乐$夏奈$2017-02-13 21:55:23$0$不错不错，这是我唯一看完的春晚
363$11498192$齐天乐$乐舸$2021-12-15 11:33:22$0$欢乐就在今宵
364$11498192$齐天乐$世纪末之诗$2022-04-11 23:42:59$0$竟然还有这种好东西！
365$11498192$齐天乐$不可不止$2013-04-07 18:51:53$2$真好看，真是个个浑身都是戏。那个年代的美人可真漂亮（¯﹃¯），看着口水都留下来了。
366$11498192$齐天乐$小狗頭$2015-06-27 20:43:35$1$就扮相表演来说满分，各路神仙妖怪齐聚一堂够猎奇啊
367$11498192$齐天乐$brief love$2020-03-08 21:16:28$0$居然能看完30多年前的综艺晚会，主要清晰度太差。对于当年的情况，能拍成这样不错了，但是在现在这个年代来看，确实缺少那些综艺感了。
368$11498192$齐天乐$演戏$2018-07-06 22:59:17$0$经典永恒
369$11498192$齐天乐$山鬼$2022-07-08 17:05:50$0$2022.6.23深夜跨6.24，于复旦燕园宾馆。
370$11498192$齐天乐$ＬＵＮＡ$2023-01-21 21:57:12$0$真的很不错👍，今年正好是兔年，大家都重温起来！
371$11498192$齐天乐$豆友373837272$2023-03-14 22:08:24$0$@2020-04-06 19:39:27 @2021-09-25 01:40:29 @2022-10-27 02:04:11 @2021-09-25 01:40:29
372$11498192$齐天乐$花生$2016-01-27 10:29:32$0$这才叫创新嘛
373$11498192$齐天乐$亦如初$2016-04-08 12:57:30$0$经典电视剧，童年的回忆。
374$11498192$齐天乐$佐樱迷$2013-12-29 04:12:27$0$看哭了。
375$11498192$齐天乐$扑$2016-02-25 22:50:17$1$这个真是太棒了，每一个演员都撑得起台面。
376$11498192$齐天乐$qianlan$2022-07-25 17:22:58$0$猪八戒放炮仗拉开序幕，著名解说员孙正平配音旁白，各路仙魔鬼怪伴随着进行曲纷纷登场。导演杨洁负责导演，唐僧师徒四人主持，其他出演过的演员轮番上场。歌曲《女儿情》女儿国国王和幼年印象一样，美得很。歌曲《唐僧抒怀》孙悟空《猴嬉》沙僧朗诵《猴吃西瓜》大为《敢问路在何方》
377$11498192$齐天乐$Percival$2022-06-28 20:32:50$0$@2021-01-26 21:06:32
378$11498192$齐天乐$Sunmoon恋雪💘$2023-03-16 19:33:53$0$西游记狂热爱好者表示嘎嘎好看
379$11498192$齐天乐$活动课赶时间$2018-01-27 16:42:50$0$超级怀念的
380$11498192$齐天乐$别了月中人$2019-06-24 18:40:45$0$这个绝了
381$11498192$齐天乐$西部牛仔$2019-07-13 22:46:20$0$最喜欢的是“鹤仙”张京棣老师的唐舞和程之曹铎两位老师的相声
382$11498192$齐天乐$梅心$2021-08-28 21:12:34$0$刷完央视西游记和西游记续之后，看弹幕安利这个于是去看了，原班人马，颇有原电视剧番外的感觉。
383$11498192$齐天乐$不想有昵称$2018-03-13 20:50:38$1$这部综艺节目应该是空前绝后的了。恐怕今后再也没有这样的节目产生了，这属于那个年代。
384$11498192$齐天乐$海島冰輪初轉騰$2022-05-19 18:24:34$0$章老师好帅啊啊啊
385$11498192$齐天乐$王子安$2018-06-25 15:18:47$0$经典经典经典
386$11498192$齐天乐$什么$2015-04-18 15:28:45$0$这才叫大电影
387$11498192$齐天乐$阳光灿烂$2021-02-12 16:29:24$0$这才叫联欢
388$11498192$齐天乐$觅帅666$2015-04-05 18:33:18$0$这片子当年蛮有新意的。借助大火的电视剧办春晚。
389$11498192$齐天乐$明珠塔$2021-12-23 00:20:25$0$太有创意了。现在能这样办春晚，我保证看4小时春晚。致敬艺术家们。真本事真功夫啊。真的太崇拜了。学习的榜样。好励志。
390$11498192$齐天乐$上官心华$2018-07-07 09:35:56$1$太经典了，好有意思的晚会。87版西游记剧组颜值超高😄😄😄
391$11498192$齐天乐$豆友WPUadwZ55A$2022-09-08 19:34:17$0$这样的春晚节目才是我爱看的
392$11498192$齐天乐$白色惊醒$2022-12-10 17:05:48$0$@2022-01-25 17:35:12
393$11498192$齐天乐$波波$2015-10-05 17:32:58$0$演员众多
