$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
38$10430307$梅兰芳的舞台艺术 下集$玖拾叁叁$2010-12-1616:41:42$1$字幕上有句说：但白娘子还热爱许仙~~！！原来白素贞是吧许仙当革命事业一样“热爱”
39$10430307$梅兰芳的舞台艺术 下集$为棉$2020-11-1016:48:50$1$B+.抢救性保存。
40$10430307$梅兰芳的舞台艺术 下集$南阁子$2023-04-1120:13:53$1$翩若惊鸿，婉若游龙
41$10430307$梅兰芳的舞台艺术 下集$东土大唐$2018-01-1620:26:24$0$一出霸王别姬，一出贵妃醉酒。通天教主王瑶卿点评：梅兰芳的样，程砚秋的唱，尚小云的棒，荀慧生的浪。梅师在舞台上的姿容果然是最美的。
42$10430307$梅兰芳的舞台艺术 下集$Coeurdelion$2012-06-1523:01:41$0$上个月看的了。
43$10430307$梅兰芳的舞台艺术 下集$空中鸟?$2019-04-2112:42:55$0$先为中国传统文化点个赞，然后说一下，王佩瑜老师一直想拯救的中国戏剧，会死在戏剧本身的规矩和模式上面，起于时代消于时代，很难再辉煌了
44$10430307$梅兰芳的舞台艺术 下集$紙剪青春$2020-03-0222:38:12$0$补20.3.2B站重看下集由贵妃醉酒和霸王别姬构成。从初二看霸王别姬，到写了8稿最后还是被退货的戏梦人生，到大一中文期末论文。四平调学了快一年了，从梅葆玖学到李玉芙，每看一次都要感慨贵妃的娇憨，虞姬的悲凉。今天重看霸王别姬，在虞姬请求歌舞一曲，看到霸王期待的眼神，竟然哭了。以上
45$10430307$梅兰芳的舞台艺术 下集$落穆$2021-11-1621:04:01$0$醉酒那段无语言表演居然看哭了…认识到民族性格里的自恋了…人生在世，且自开怀…说正经的，这一次最主要是认识到历史作为哲学的提炼文本，以及京剧艺术的重要性，借形式上简化与夸张的落差提炼哲学，虞姬舞双剑就是楚汉两军交战的具象表现，当这种高度理想化的战争艺术虞姬已完成那自刎的逻辑也就自然而然，霸王只是提醒的工具。舞剑至高潮心率飙升，无不感叹如果解构重新结构文本填充该是多好的本子！想起李碧华我还没看…贵妃醉酒梅兰芳容光焕发已然极致，真的适合钢铁工厂慰工演出吗），醉酒之后一个蒙太奇好似切入梦境，毕竟衣服都换了，颜色之多妍联想到十二单，一查果然是仿唐传入之礼服。所有的折射珠宝及演员亮闪的眼睛都是观众自我镜像之镜像，就像梅在面对无机制的拍摄镜头也是在面对自己…（虞姬多次抚摸胸前金命锁？真是自慰情色）
46$10430307$梅兰芳的舞台艺术 下集$无忧的热雨$2020-03-2808:53:04$0$重要的意义是穿过时间仍然能看见梅兰芳的音容。不过年龄在那里，舞剑简化了并且有点硬。
47$10430307$梅兰芳的舞台艺术 下集$黄椰喽$2023-04-1121:49:42$0$手如柔荑，真美呀
