,words,counts
432,重温,3
433,名字,3
434,棒,3
435,过猛,3
436,情绪,3
437,怀念,3
438,最终,3
439,勇士,3
440,好片,3
441,我会,3
442,早已,3
443,阳光,3
444,评分,3
445,影帝,3
446,三个,3
447,想象,3
448,传奇,3
449,从头到尾,3
450,遍,3
451,老婆,3
452,吹,3
453,黑色,3
454,之外,3
455,川话,3
456,简单,3
457,胶片版,3
458,堆砌,3
459,恶霸,3
460,影院,3
461,映射,3
462,隐晦,3
463,文艺,3
464,延续,2
465,估计,2
466,万达,2
467,散架,2
468,幸福,2
469,持续,2
470,这辈子,2
471,放肆,2
472,跑,2
473,激烈,2
474,进,2
475,元素,2
476,总给,2
477,天真烂漫,2
478,原因,2
479,影射,2
480,阶级,2
481,化,2
482,精致,2
483,流露出,2
484,爬满,2
485,失落,2
486,努力,2
487,统治者,2
488,想起,2
489,一丝,2
490,挺装,2
491,爆,2
492,破,2
493,有个,2
494,藤蔓,2
495,被炸飞,2
496,风格,2
497,粉丝,2
498,好莱坞,2
499,竟,2
500,佩服,2
501,热衷,2
502,硬伤,2
503,混蛋,2
504,自然,2
505,用心,2
506,缺点,2
507,抢夺,2
508,字,2
509,融合,2
510,野心,2
511,X,2
512,葛爷,2
513,几碗,2
514,一本正经,2
515,结局,2
516,审美,2
517,最高处,2
518,关键,2
519,力作,2
520,胜利果实,2
521,牺牲品,2
522,没早,2
523,.....,2
524,离去,2
525,神奇,2
526,同学,2
527,班里,2
528,无辜,2
529,―,2
530,幻梦,2
531,日照,2
532,好评,2
533,lt,2
534,轿子,2
535,表面,2
536,睡,2
537,妨碍,2
538,旁边,2
539,时不时,2
540,越来越,2
541,老姜,2
542,身不由己,2
543,刚,2
544,狂想,2
545,革命者,2
546,问号,2
547,麻将,2
548,运动,2
549,品味,2
550,充斥,2
551,妖魔鬼怪,2
552,永久,2
553,感谢,2
554,观看,2
555,光明,2
556,青春,2
557,意图,2
558,金句,2
559,悲哀,2
560,胜利,2
561,感让,2
562,帅,2
563,黑泽明,2
564,偏见,2
565,列队,2
566,文戏,2
567,影迷,2
568,笑声,2
569,表达,2
570,真他妈,2
571,摆,2
572,数回,2
573,好样,2
574,一辈子,2
575,大哥,2
576,强暴,2
577,凌乱,2
578,至少,2
579,讓,2
580,太快,2
581,显得,2
582,沙文主义,2
583,回来,2
584,割,2
585,高深,2
586,智商,2
587,确实,2
588,离奇,2
589,暗线,2
590,深意,2
591,恶心,2
592,粉,2
593,嗷嗷,2
594,亢奋,2
595,远,2
596,冯小刚,2
597,思想,2
598,缅怀,2
599,严肃,2
600,否定,2
601,真心,2
602,毫不掩饰,2
603,县衙,2
604,北洋,2
605,六子,2
606,贺岁,2
607,银子,2
608,受不了,2
609,审,2
610,再飞,2
611,现场,2
612,想法,2
613,莫名其妙,2
614,过后,2
615,能看懂,2
616,好多,2
617,回应,2
618,开场,2
619,汉子,2
620,¯,2
621,屁股,2
622,二刷,2
623,一句,2
624,二代,2
625,线索,2
626,人性,2
627,错,2
628,但鹅城,2
629,11,2
630,闹心,2
631,斩首,2
632,才情,2
633,气质,2
634,叛变,2
635,拍电影,2
636,却是,2
637,2011,2
638,乱世,2
639,爱上,2
640,碎裂,2
641,看热闹,2
642,不看,2
643,许久,2
644,鼓上,2
645,p,2
646,闺蜜,2
647,8.9,2
648,大师,2
649,连张,2
650,惊艳,2
651,孩子,2
652,....,2
653,最萌,2
654,审片,2
655,民国,2
656,肯定,2
657,天才,2
658,舞台,2
659,头脑,2
660,吸引,2
661,窥视,2
662,石,2
663,鸣枪,2
664,广场,2
665,铁门,2
666,罢,2
667,和平,2
668,全给,2
669,新闻联播,2
670,掀翻,2
671,桥段,2
672,段子,2
673,麻,2
674,欠缺,2
675,黑,2
676,剖腹,2
677,配乐,2
678,望远镜,2
679,哄哄,2
680,纪录片,2
681,恶龙,2
682,十十,2
683,政审,2
684,室友,2
685,带来,2
686,动作,2
687,粗暴,2
688,散发,2
689,重复,2
690,道路,2
691,再也,2
692,庆幸,2
693,mark,2
694,屠龙,2
695,程度,2
696,更好,2
697,轻松,2
698,看好,2
699,自信,2
700,正气凛然,2
701,拙劣,2
702,草莽,2
703,人别,2
704,盖,2
705,找到,2
706,说好,2
707,欲,2
708,爆笑,2
709,粗犷,2
710,潇洒,2
711,有想头,2
712,致敬,2
713,电影史,2
714,132,2
715,早,2
716,教员,2
717,一小,2
718,节奏快,2
719,看一遍,2
720,犀利,2
721,没想到,2
722,分析,2
723,第三次,2
724,应景,2
725,保存,2
726,演技派,2
727,事儿,2
728,犯困,2
729,搞懂,2
730,气息,2
731,还行,2
732,洒,2
733,放,2
734,冲击,2
735,男人味,2
736,无耻,2
737,娘,2
738,上枪,2
739,香港,2
740,优秀,2
741,那次,2
742,爱看,2
743,快,2
744,适合,2
745,追随者,2
746,阶层,2
747,韩三平,2
748,视觉,2
749,热血,2
750,场面,2
751,戏份,2
752,印象,2
753,极尽,2
754,猛,2
755,一堆,2
756,革命胜利,2
757,文文,2
758,扯淡,2
759,群情激愤,2
760,快感,2
761,HIGH,2
762,奇才,2
763,小贩,2
764,架空,2
765,方式,2
766,成年人,2
767,红,2
768,期望,2
769,生命,2
770,G,2
771,沦为,2
772,一道,2
773,三次,2
774,想想,2
775,百年,2
776,晦点,2
777,外,2
778,大神,2
779,踢打,2
780,选择,2
781,马拉,2
782,骂,2
783,背后,2
784,女人,2
785,质量,2
786,隐射,2
787,小时,2
788,非理性,2
789,谈不上,2
790,PIA,2
791,最深,2
792,鹅城,2
793,包袱,2
794,日,2
795,几处,2
796,特征,2
797,印记,2
798,花姐,2
799,老湿们,2
800,电影局,2
801,出品人,2
802,不适,2
803,落座,2
804,毛粉,2
805,问,2
806,阶级斗争,2
807,本应,2
808,魅力,2
809,刺激,2
810,网上,2
811,配角,2
812,第一,2
813,恰到好处,2
814,五颗星,2
815,近几年,2
816,一种,2
817,毛病,2
818,创造,2
819,一碗,2
820,看头,2
821,不及,2
822,但别,2
823,媚俗,2
824,好玩,2
825,重看,2
826,貌似,2
827,gt,2
828,「,2
829,敲鼓,2
830,星给,2
831,多处,2
832,岁,2
833,一星,2
834,诸多,2
835,掌声,2
836,两部,2
837,讨厌,2
838,几年,2
839,难看,2
840,泥,2
841,大夸,2
842,一分钟,2
843,喊,2
844,如潮,2
845,一顶,2
846,肠子,2
847,演得,2
848,TM,2
849,枪支,2
850,音效,2
851,重建,2
852,武举,2
853,扯蛋,2
854,做作,2
855,雄性,2
856,媒体,2
857,中影,2
858,迈大,2
859,这颗,2
860,诙谐,2
861,挣钱,2
862,理想主义,2
863,黄,2
864,帽子,2
865,极佳,2
866,怪,2
867,奔驰,2
868,剪辑,2
869,三枪,2
870,十年,2
871,江湖,2
872,口味,2
873,回看,2
874,煽动,2
875,第一次,2
876,从未有过,2
877,特技,2
878,精英,2
879,弟弟,2
880,晚,2
881,诶,2
882,武戏,2
883,感受,2
884,早场,2
885,脑子,2
886,K,2
887,这才,2
888,成果,2
889,预期,2
890,杀四郎,2
891,飞川话,1
892,味真重,1
893,爬起来,1
894,最给力,1
895,六七,1
896,劫富济贫,1
897,闯入,1
898,舞台化,1
899,奇怪,1
900,锁定,1
901,猜想,1
902,嗓子,1
903,几次,1
904,凯歌,1
905,懂事,1
906,起飞,1
907,拥有,1
908,一人,1
909,轰,1
910,随意,1
911,大纲,1
912,疯够,1
913,一百年,1
914,潜水,1
915,阿付,1
916,著名,1
917,硬核,1
918,自鸣得意,1
919,上床,1
920,深深,1
921,私版,1
922,跟着,1
923,提醒,1
924,肝胆相照,1
925,一向,1
926,类型,1
927,没道理,1
928,设,1
929,砍,1
930,猜猜,1
931,男演员,1
932,年内,1
933,找回,1
934,高调,1
935,抄袭,1
936,层次,1
937,人类,1
938,里奇,1
939,两,1
940,两人,1
941,数字,1
942,人参,1
943,纵向,1
944,可共赏,1
945,开车,1
946,抖奶,1
947,五分钟,1
948,www,1
949,看行,1
950,把握,1
951,发型,1
952,感兴趣,1
953,片后,1
954,消灭,1
955,激起,1
956,姜武,1
957,奥妙,1
958,小聪明,1
959,第六代,1
960,谢幕,1
961,WackWang,1
962,直,1
963,拍片,1
964,称为,1
965,重演,1
966,专属,1
967,悲惨,1
968,嗝,1
969,床上,1
970,90,1
971,种种,1
972,三十六计,1
973,太帅,1
974,归功于,1
975,团结,1
976,主播,1
977,八,1
978,最合适,1
979,打成,1
980,过家家,1
981,团都够,1
982,三哥,1
983,骑着,1
984,市场,1
985,味儿,1
986,下降,1
987,见仁见智,1
988,口罩,1
989,马车,1
990,太弱,1
991,捂脸,1
992,进展,1
993,之劲,1
994,标杆,1
995,雖然,1
996,鸡巴,1
997,似曾相识,1
998,白银,1
999,唯独,1
1000,次,1
1001,片场,1
1002,给鹅城,1
1003,老百姓,1
1004,意见,1
1005,肚子,1
1006,之遙,1
1007,登峰造极,1
1008,信,1
1009,茶来,1
1010,真耸笑,1
1011,奉,1
1012,所说,1
1013,脸熟,1
1014,名人,1
1015,昆丁,1
1016,莫名,1
1017,遮不住,1
1018,懂得,1
1019,混子,1
1020,董存瑞,1
1021,前后左右,1
1022,欧亚,1
1023,萌,1
1024,醉得,1
1025,身边,1
1026,后期,1
1027,知县,1
1028,今时,1
1029,昨晚,1
1030,O,1
1031,剧透,1
1032,不乏,1
1033,老七,1
1034,姐,1
1035,太过,1
1036,一名,1
1037,章法,1
1038,领袖,1
1039,狗腿,1
1040,剪到,1
1041,受邀,1
1042,那一刻,1
1043,虽好,1
1044,拼凑,1
1045,鸡鸡,1
1046,病,1
1047,大公无私,1
1048,最有,1
1049,样子,1
1050,无度,1
1051,后劲,1
1052,光看,1
1053,看会,1
1054,埋线,1
1055,看法,1
1056,评价,1
1057,分才,1
1058,苍井空,1
1059,大清,1
1060,打斗,1
1061,口,1
1062,金号,1
1063,鲜香,1
1064,man,1
1065,超常,1
1066,拍成,1
1067,佐罗,1
1068,8.5,1
1069,这冤鼓,1
1070,豪华,1
1071,心照不宣,1
1072,逝世,1
1073,荒诞无稽,1
1074,一日千里,1
1075,奥体中心,1
1076,70,1
1077,透,1
1078,深埋,1
1079,一大堆,1
1080,吹牛,1
1081,不留,1
1082,大便,1
1083,渴望,1
1084,此时此刻,1
1085,浓烟,1
1086,冲击力,1
1087,视野,1
1088,相杀,1
1089,另有其,1
1090,怀孕,1
1091,导,1
1092,這種,1
1093,飞会,1
1094,在意,1
1095,运镜,1
1096,乌合之众,1
1097,过度,1
1098,成就,1
1099,独一无二,1
1100,演艺圈,1
1101,投身,1
1102,重,1
1103,魑魅,1
1104,出马,1
1105,鸟语,1
1106,商业化,1
1107,悲观,1
1108,色,1
1109,退休,1
1110,改编自,1
1111,仅仅,1
1112,爆点,1
1113,首尾呼应,1
1114,笑果,1
1115,不情,1
1116,啊啊啊,1
1117,盗梦,1
1118,窗帘,1
1119,共,1
1120,受,1
1121,站不住,1
1122,张狂,1
1123,看不到,1
1124,重合,1
1125,豪横,1
1126,少年,1
1127,太面,1
1128,集大成,1
1129,感动,1
1130,看似,1
1131,名般,1
1132,正式,1
1133,躲,1
1134,失控,1
1135,低于,1
1136,色彩,1
1137,绝,1
1138,各奔前程,1
1139,约束,1
1140,这张,1
1141,一半,1
1142,显示,1
1143,难受,1
1144,花钱,1
1145,强盗,1
1146,廉耻,1
1147,意味,1
1148,贾樟柯,1
1149,大胆,1
1150,扮演,1
1151,碉楼,1
1152,回味无穷,1
1153,盛大,1
1154,不来,1
1155,奇观,1
1156,冲到,1
1157,令人瞠目,1
1158,品位,1
1159,自私,1
