,words,counts
436,价值,7
437,Dr,7
438,肖邦,7
439,勇敢,7
440,克制,7
441,高雅,7
442,爵士,7
443,原因,7
444,信,7
445,教育,7
446,场景,7
447,温柔,7
448,热情,7
449,欢乐,7
450,B,7
451,蛮,7
452,模式,7
453,本质,7
454,段落,7
455,!,7
456,消除,6
457,豆瓣,6
458,融合,6
459,杯子,6
460,住,6
461,讨论,6
462,完整,6
463,创作,6
464,提名,6
465,black,6
466,人生,6
467,粗俗,6
468,一句,6
469,旅途,6
470,相处,6
471,场合,6
472,好吃,6
473,配乐,6
474,影响,6
475,请,6
476,该片,6
477,张力,6
478,於,6
479,一路上,6
480,水准,6
481,煽情,6
482,尖锐,6
483,尝试,6
484,瞬间,6
485,是因为,6
486,少,6
487,笑料,6
488,友谊,6
489,始终,6
490,宽容,6
491,鸡汤,6
492,一群,6
493,超级,6
494,总,6
495,吃饭,6
496,有意思,6
497,家,6
498,心,6
499,无趣,6
500,想象,6
501,推动,6
502,黄色,6
503,进,6
504,满分,6
505,样子,6
506,走出,6
507,镜头,6
508,片段,6
509,放下,6
510,残酷,6
511,劳作,6
512,包装,6
513,十足,6
514,通俗,6
515,突兀,6
516,心理,6
517,思考,6
518,成熟,6
519,移民,6
520,提供,6
521,车,6
522,心中,6
523,高级,6
524,主人公,6
525,黑豹,6
526,描绘,6
527,第二次,6
528,月,6
529,"",6
530,和谐,6
531,没想到,6
532,粗鲁,6
533,white,6
534,好感,6
535,突破,6
536,那段,6
537,间,6
538,事情,6
539,氛围,6
540,全世界,5
541,差,5
542,捍卫,5
543,轻松愉快,5
544,高等教育,5
545,永远,5
546,对视,5
547,泪,5
548,自尊,5
549,橘鸟,5
550,Book,5
551,BP,5
552,代表,5
553,法拉利,5
554,买,5
555,拒绝,5
556,20,5
557,老爸,5
558,弹琴,5
559,圣诞快乐,5
560,胖,5
561,铺垫,5
562,懂,5
563,内容,5
564,弄,5
565,大叔,5
566,稳,5
567,好笑,5
568,change,5
569,缺少,5
570,般,5
571,毛病,5
572,The,5
573,呼应,5
574,核心,5
575,鄙视,5
576,doctor,5
577,预期,5
578,亮点,5
579,终于,5
580,跨越,5
581,遭遇,5
582,用心,5
583,视为,5
584,包括,5
585,正,5
586,主动,5
587,手法,5
588,高潮,5
589,不让,5
590,天赋,5
591,精神,5
592,经典,5
593,服务,5
594,泪点,5
595,自省,5
596,高贵,5
597,老师,5
598,技巧,5
599,说教,5
600,谢利,5
601,物语,5
602,匠气,5
603,包容,5
604,区别,5
605,层面,5
606,格局,5
607,权力,5
608,Green,5
609,学习,5
610,特定,5
611,符合,5
612,雪利,5
613,路,5
614,弱化,5
615,反转,5
616,享受,5
617,一生,5
618,无处不在,5
619,一是,5
620,愤怒,5
621,猜,5
622,平和,5
623,尴尬,5
624,完成度,5
625,广告牌,5
626,地位,5
627,肯定,5
628,纽约,5
629,路边,5
630,态度,5
631,结束,5
632,丰满,5
633,碰撞,5
634,分享,5
635,失望,5
636,美式,5
637,哈哈哈,5
638,阿瓜,5
639,工作,5
640,威士忌,5
641,接纳,5
642,女人,5
643,接地,5
644,颇,5
645,治愈,5
646,3.5,5
647,t,5
648,第一次,5
649,味,5
650,意料之中,5
651,柔软,5
652,直,5
653,原本,5
654,老生常谈,5
655,man,5
656,看似,5
657,仅,5
658,.....,5
659,处境,5
660,差距,5
661,先,5
662,笑声,5
663,帮,5
664,倒,5
665,世纪,5
666,语言,5
667,太棒了,5
668,雨中,5
669,矫枉过正,5
670,相关,5
671,动容,5
672,有时候,5
673,找到,5
674,弧光,5
675,正直,5
676,对抗,5
677,部,5
678,试图,5
679,Mortensen,5
680,绝佳,5
681,长大,5
682,讽刺,5
683,问,5
684,坏,5
685,人民,5
686,类似,5
687,不公,5
688,反差,5
689,行,5
690,上映,5
691,两年,5
692,真人真事,5
693,精巧,5
694,混混,5
695,斯派克,5
696,展开,4
697,100,4
698,离开,4
699,体面,4
700,二是,4
701,格格不入,4
702,中规中矩,4
703,何种,4
704,欢快,4
705,教养,4
706,赢得,4
707,旁边,4
708,種族,4
709,差点,4
710,電影,4
711,总体,4
712,苦大仇深,4
713,农民,4
714,活泼,4
715,如果说,4
716,上流社会,4
717,没什么,4
718,无数,4
719,戏剧性,4
720,复杂性,4
721,win,4
722,丈夫,4
723,口音,4
724,You,4
725,去年,4
726,弹钢琴,4
727,田里,4
728,Joey,4
729,road,4
730,结构,4
731,对白,4
732,审视,4
733,還是,4
734,一眼,4
735,幸运石,4
736,排斥,4
737,温和,4
738,钢琴师,4
739,拥抱,4
740,变化,4
741,满满,4
742,出身,4
743,十颗,4
744,不及,4
745,感情,4
746,有点像,4
747,形式,4
748,拍得,4
749,跨,4
750,黄,4
751,站,4
752,move,4
753,廉价,4
754,放在,4
755,反复,4
756,把握,4
757,情况,4
758,桶,4
759,完后,4
760,太过,4
761,无声,4
762,双男主,4
763,对话,4
764,太好了,4
765,心底,4
766,受,4
767,调和,4
768,奥系,4
769,牛,4
770,一气呵成,4
771,伏笔,4
772,谢谢,4
773,那句,4
774,10,4
775,笑点,4
776,普通人,4
777,说出,4
778,控制,4
779,空间,4
780,钢琴演奏,4
781,收到,4
782,想要,4
783,一件,4
784,唯一,4
785,高尚,4
786,搞,4
787,水形,4
788,广告,4
789,上路,4
790,无疑,4
791,办法,4
792,公平,4
793,外,4
794,种族隔离,4
795,惊讶,4
796,白宫,4
797,第一,4
798,扔,4
799,脸,4
800,好片,4
801,无比,4
802,年度,4
803,利用,4
804,make,4
805,极,4
806,影院,4
807,这才,4
808,拥有,4
809,之感,4
810,Christmas,4
811,绿皮,4
812,美丽,4
813,男孩,4
814,隔靴搔痒,4
815,一半,4
816,即止,4
817,三块,4
818,作用,4
819,内在,4
820,依旧,4
821,一方,4
822,很难,4
823,Mahershala,4
824,有色人种,4
825,老板,4
826,圣诞夜,4
827,远,4
828,boundary,4
829,形容,4
830,银幕,4
831,厌恶,4
832,指环王,4
833,二刷,4
834,气质,4
835,阿呆,4
836,技术,4
837,不算,4
838,虚构,4
839,拯救,4
840,控诉,4
841,自由,4
842,对调,4
843,上流,4
844,遗憾,4
845,美化,4
846,多余,4
847,透着,4
848,适合,4
849,电影院,4
850,追求,4
851,高下,4
852,区,4
853,封面,4
854,摄影,4
855,作者,4
856,便,4
857,非典型,4
858,消解,4
859,很大,4
860,关注,4
861,老婆,4
862,弹,4
863,配方,4
864,帽子,4
865,互相理解,4
866,点到,4
867,提醒,4
868,震撼,4
869,诠释,4
870,愉悦,4
871,行货,4
872,加,4
873,原型,4
874,意裔,4
875,圆满,4
876,州,4
877,一套,4
878,成绩,4
879,水,4
880,衣服,4
881,增肥,4
882,文本,4
883,可怕,4
884,经验,4
885,油腻,4
886,强,4
887,房子,4
888,full,4
889,人性,4
890,提前,4
891,厕所,4
892,stereotype,4
893,处,4
894,孩子,4
895,吸引,4
896,讲得,4
897,Thank,4
898,线,4
899,炉火纯青,4
900,佬,4
901,S,4
902,混,4
903,平淡,4
904,话题,4
905,善意,4
906,Orpheus,4
907,ps,4
908,停留,4
909,互换,4
910,稍微,4
911,Doc,4
912,影帝,4
913,掌声,4
914,讨厌,4
915,誤解,4
916,出生,4
917,衣冠楚楚,4
918,月光,4
919,聪慧,4
920,剪辑,4
921,现象,4
922,流行音乐,3
923,春晚,3
924,绵密,3
925,本能,3
926,事实,3
927,鲜明,3
928,见,3
929,过度,3
930,绿色,3
931,扔掉,3
932,美的,3
933,审美,3
934,看得,3
935,指向,3
936,半个,3
937,换,3
938,符号化,3
939,坐在,3
940,视听,3
941,不想,3
942,过年,3
943,P,3
944,个人感觉,3
945,香蕉,3
946,错位,3
947,一块,3
948,莎拉,3
949,侮辱,3
950,古典,3
951,乏味,3
952,真人,3
953,wtf,3
954,afraid,3
955,新鲜,3
956,构建,3
957,证明,3
958,超出,3
959,车胎,3
960,道,3
961,爱意,3
962,心态,3
963,无论是,3
964,喝过,3
965,生硬,3
966,拉片,3
967,尊敬,3
968,承受,3
969,期待,3
970,为啥,3
971,常规,3
972,屎尿,3
973,舞台,3
974,打破,3
975,宏观,3
976,收尾,3
977,一白,3
978,讨巧,3
979,小年,3
980,踏出,3
981,度,3
982,青年,3
983,滕森,3
984,麻烦,3
985,欣慰,3
986,Because,3
987,i,3
988,石頭,3
989,sharing,3
990,这句,3
991,家族,3
992,急,3
993,一本,3
994,议题,3
995,带有,3
996,这趟,3
997,能量,3
998,转折,3
999,参与,3
1000,族裔,3
1001,笑容,3
1002,困境,3
1003,立体,3
1004,金,3
1005,贺岁片,3
1006,略显,3
1007,实质,3
1008,隔阂,3
1009,现如今,3
1010,皇,3
1011,一层,3
1012,LGBT,3
1013,和稀泥,3
1014,尼格,3
1015,精心,3
1016,肚腩,3
1017,可乐,3
1018,理由,3
1019,高高在上,3
1020,只不过,3
1021,煽动,3
1022,大众,3
