排名/年,year,name,box,score,导演,卡司,id
4,2008,长江七号,19320.0,7.2,周星驰,"周星驰, 徐娇, 张雨绮, 林子聪, 冯勉恒",1961963
12,2008,叶问,9430.0,7.8,叶伟信,"甄子丹, 任达华, 熊黛林, 池内博之, 林家栋",3041806
7,2009,风声,21630.0,8.4,"陈国富, 高群书","周迅, 李冰冰, 张涵予, 王志文, 黄晓明",3734112
14,2009,疯狂的赛车,10856.0,8.3,宁浩,"黄渤, 戎祥, 九孔, 徐峥, 王双宝",2124703
3,2010,唐山大地震,64775.0,7.8,冯小刚,"徐帆, 张静初, 李晨, 陈道明, 张子枫",3596502
4,2010,非诚勿扰2,47350.0,6.6,冯小刚,"葛优, 舒淇, 孙红雷, 姚晨, 安以轩",4271894
17,2010,山楂树之恋,14413.0,7.1,张艺谋,"周冬雨, 窦骁, 奚美娟, 李雪健, 姜瑞佳",4151110
50,2010,人在囧途,3690.0,7.8,叶伟民,"徐峥, 王宝强, 李曼, 李小璐, 左小青",4237879
3,2011,金陵十三钗,59230.0,8.3,张艺谋,"克里斯蒂安·贝尔, 倪妮, 张歆怡, 黄天元, 韩熙庭",3649049
8,2011,失恋33天,35165.0,7.2,滕华涛,"白百何, 文章, 张嘉益, 王耀庆, 张子萱",4873490
131,2011,钢的琴,655.0,8.5,张猛,"王千源, 秦海璐, 张申英, 刘谦, 罗二羊",4876722
1,2012,人再囧途之泰囧,126473.0,7.5,徐峥,"徐峥, 王宝强, 黄渤, 陶虹, 谢楠",10574622
3,2012,十二生肖,87991.0,6.8,成龙,"成龙, 权相宇, 廖凡, 姚星彤, 张蓝心",4212172
17,2012,寒战,25218.0,7.6,"梁乐民, 陆剑青","郭富城, 梁家辉, 李治廷, 彭于晏, 杨采妮",6890730
52,2012,春娇与志明,7270.0,7.3,彭浩翔,"杨千嬅, 余文乐, 杨幂, 徐峥, 陈逸宁",6386345
2,2013,钢铁侠3,75320.0,7.9,沙恩·布莱克,"小罗伯特·唐尼, 盖·皮尔斯, 格温妮斯·帕特洛, 本·金斯利, 唐·钱德尔",3231742
3,2013,致我们终将逝去的青春,71758.0,6.5,赵薇 Wei Zhao,"杨子姗, 赵又廷, 韩庚, 江疏影, 刘雅瑟",6973376
4,2013,中国合伙人,53761.0,7.6,陈可辛,"黄晓明, 邓超, 佟大为, 杜鹃, 王真儿",11529526
5,2013,北京遇上西雅图,51909.0,7.3,薛晓路,"汤唯, 吴秀波, 海清, 宋美曼, 宋美慧",10574468
6,2013,小时代,48349.0,5.0,郭敬明,"杨幂, 柯震东, 郭采洁, 郭碧婷, 谢依霖",20376577
13,2013,一代宗师,28780.0,8.1,王家卫,"梁朝伟, 章子怡, 张震, 宋慧乔, 赵本山",3821067
15,2013,厨子戏子痞子,27237.0,7.2,管虎,"刘烨, 张涵予, 黄渤, 田中千绘, 梁静",6011806
19,2013,云图,17008.0,8.1,"汤姆·提克威, 拉娜·沃卓斯基, 莉莉·沃卓斯基","汤姆·汉克斯, 哈莉·贝瑞, 吉姆·布劳德本特, 雨果·维文, 吉姆·斯特吉斯",3530403
