电影名,评分,导演,卡司,id
失恋33天,7.2,滕华涛,"白百何, 文章, 张嘉益, 王耀庆, 张子萱",4873490
北京遇上西雅图,7.3,薛晓路,"汤唯, 吴秀波, 海清, 宋美曼, 宋美慧",10574468
九品芝麻官,8.7,王晶,"周星驰, 吴孟达, 张敏, 徐锦江, 钟丽缇",1297518
我和我的家乡,7.0,"宁浩, 徐峥, 陈思诚, 闫非, 彭大魔, 邓超, 俞白眉","葛优, 黄渤, 范伟, 邓超, 沈腾",35051512
送你一朵小红花,7.2,韩延,"易烊千玺, 刘浩存, 朱媛媛, 高亚麟, 夏雨",35096844
金陵十三钗,8.3,张艺谋,"克里斯蒂安·贝尔, 倪妮, 张歆怡, 黄天元, 韩熙庭",3649049
捉妖记2,4.9,许诚毅,"梁朝伟, 白百何, 井柏然, 李宇春, 杨祐宁",26575103
寻龙诀,7.4,乌尔善,"陈坤, 黄渤, 舒淇, 杨颖, 夏雨",3077412
烈日灼心,8.3,曹保平,"邓超, 段奕宏, 郭涛, 王珞丹, 吕颂贤",24719063
快把我哥带走,6.8,郑芬芬,"张子枫, 彭昱畅, 赵今麦, 孙泽源, 周翊然",30122633
西游降魔篇,7.2,"周星驰, 郭子健","文章, 舒淇, 黄渤, 罗志祥, 李尚正",5308265
囧妈,5.9,徐峥,"徐峥, 黄梅莹, 袁泉, 郭京飞, 黄景瑜",30306570
速度与激情7,8.4,温子仁,"范·迪塞尔, 保罗·沃克, 杰森·斯坦森, 米歇尔·罗德里格兹, 乔丹娜·布鲁斯特",23761370
大黄蜂,7.0,特拉维斯·奈特,"海莉·斯坦菲尔德, 小豪尔赫·兰登伯格, 约翰·塞纳, 杰森·德鲁克, 帕梅拉·阿德龙",26394152
长津湖,7.4,"陈凯歌, 徐克, 林超贤, 宁海强","吴京, 易烊千玺, 段奕宏, 朱亚文, 李晨",25845392
鬼子来了,9.3,姜文,"姜文, 香川照之, 袁丁, 姜宏波, 丛志军",1291858
前任3：再见前任,5.6,田羽生,"韩庚, 郑恺, 于文文, 曾梦雪, 罗米",26662193
心花路放,7.2,宁浩,"黄渤, 徐峥, 袁泉, 周冬雨, 陶慧",25717233
悬崖之上,7.4,张艺谋,"张译, 于和伟, 秦海璐, 朱亚文, 刘浩存",32493124
狗十三,8.2,曹保平,"张雪迎, 果靖霖, 智一桐, 代旭, 黄诗佳",25716096
姜子牙,6.6,"程腾, 李炜, 李夏, 王昕","郑希, 杨凝, 图特哈蒙, 阎么么, 季冠霖",25907124
阳光灿烂的日子,8.9,姜文,"夏雨, 宁静, 陶虹, 耿乐, 斯琴高娃",1291875
滚蛋吧！肿瘤君,7.4,韩延,"白百何, 吴彦祖, 李媛, 刘芮麟, 程伊",26289144
满江红,7.1,张艺谋,"沈腾, 易烊千玺, 张译, 雷佳音, 岳云鹏",35766491
亲爱的,8.4,陈可辛,"黄渤, 佟大为, 郝蕾, 张译, 张雨绮",25798222
天下无贼,8.1,冯小刚,"刘德华, 刘若英, 王宝强, 李冰冰, 葛优",1291550
从你的全世界路过,5.3,张一白,"邓超, 白百何, 杨洋, 张天爱, 岳云鹏",26280528
一代宗师,8.1,王家卫,"梁朝伟, 章子怡, 张震, 宋慧乔, 赵本山",3821067
缝纫机乐队,6.6,大鹏,"大鹏, 乔杉, 古力娜扎, 李鸿其, 韩童生",26926321
岁月神偷,8.7,罗启锐,"吴君如, 任达华, 钟绍图, 李治廷, 蔡颖恩",3792799
重返20岁,7.1,陈正道,"杨子姗, 归亚蕾, 陈柏霖, 鹿晗, 王德顺",25870084
长江七号,7.2,周星驰,"周星驰, 徐娇, 张雨绮, 林子聪, 冯勉恒",1961963
速度与激情8,7.1,F·加里·格雷,"范·迪塞尔, 杰森·斯坦森, 道恩·强森, 米歇尔·罗德里格兹, 泰瑞斯·吉布森",26260853
致我们终将逝去的青春,6.5,赵薇 Wei Zhao,"杨子姗, 赵又廷, 韩庚, 江疏影, 刘雅瑟",6973376
后来的我们,5.9,刘若英,"井柏然, 周冬雨, 田壮壮, 曲哲明, 刘启恒",26683723
刺杀小说家,6.5,路阳,"雷佳音, 杨幂, 董子健, 于和伟, 郭京飞",26826330
扬名立万,7.4,刘循子墨,"尹正, 邓家佳, 喻恩泰, 杨皓宇, 陈明昊",35422807
李茶的姑妈,4.6,吴昱翰,"黄才伦, 艾伦, 宋阳, 卢靖姗, 沈腾",27092785
神奇女侠,7.1,派蒂·杰金斯,"盖尔·加朵, 克里斯·派恩, 康妮·尼尔森, 罗宾·怀特, 大卫·休里斯",1578714
港囧,5.7,"徐峥, 阮惟新","徐峥, 包贝尔, 杜鹃, 葛民辉, 李灿森",25710912
小时代,5.0,郭敬明,"杨幂, 柯震东, 郭采洁, 郭碧婷, 谢依霖",20376577
罗小黑战记,8.0,"木头, 皇贞季, 顾杰","山新, 郝祥海, 刘明月, 曹云图, 叮当",26709258
画皮,6.8,"陈嘉上, 钱永强, 高林豹","周迅, 陈坤, 甄子丹, 孙俪, 戚玉武",2135981
半个喜剧,7.3,"周申, 刘露","任素汐, 吴昱翰, 刘迅, 汤敏, 赵海燕",30269016
风声,8.4,"陈国富, 高群书","周迅, 李冰冰, 张涵予, 王志文, 黄晓明",3734112
青蛇,8.6,徐克,"张曼玉, 王祖贤, 赵文卓, 吴兴国, 马精武",1303394
宝贝计划,7.5,陈木胜,"成龙, 古天乐, 蔡志强, 许冠文, 蔡卓妍",1859036
诛仙1,4.5,程小东,"肖战, 李沁, 孟美岐, 唐艺昕, 刘端端",25779217
唐山大地震,7.8,冯小刚,"徐帆, 张静初, 李晨, 陈道明, 张子枫",3596502
银河补习班,6.2,"邓超, 俞白眉","邓超, 白宇, 任素汐, 王西, 孙浠伦",30282387
爱情神话,8.1,邵艺辉,"徐峥, 马伊琍, 吴越, 倪虹洁, 周野芒",35376457
无人区,8.3,宁浩,"徐峥, 黄渤, 余男, 多布杰, 王双宝",3804891
大闹天宫,9.4,万籁鸣,"邱岳峰, 富润生, 毕克, 尚华, 于鼎",1418019
拆弹专家2,7.4,邱礼涛,"刘德华, 刘青云, 倪妮, 谢君豪, 姜皓文",30171424
独行月球,6.6,张吃鱼,"沈腾, 马丽, 常远, 李诚儒, 黄才伦",35183042
煎饼侠,5.8,大鹏,"大鹏, 袁姗姗, 柳岩, 吴君如, 曾志伟",25895276
战狼,7.0,吴京,"吴京, 余男, 斯科特·阿金斯, 李凯文, 倪大红",24753810
新喜剧之王,5.7,"周星驰, 邱礼涛, 肖鹤, 黄骁鹏","王宝强, 鄂靖文, 张全蛋, 景如洋, 张琪",4840388
功夫熊猫3,7.8,"吕寅荣, 亚历山德罗·卡罗尼","杰克·布莱克, 布莱恩·科兰斯顿, 达斯汀·霍夫曼, 安吉丽娜·朱莉, J·K·西蒙斯",11589036
分手大师,5.1,"俞白眉, 邓超","邓超, 杨幂, 古力娜扎, 栾元晖, 秦越",24879858
绣春刀,7.7,路阳,"张震, 刘诗诗, 王千源, 李东学, 聂远",24745500
嫌疑人X的献身,6.3,苏有朋,"王凯, 张鲁一, 林心如, 叶祖新, 丁冠森",26606743
暴裂无声,8.2,忻钰坤,"宋洋, 姜武, 袁文康, 谭卓, 王梓尘",26647117
记忆大师,7.1,陈正道,"黄渤, 段奕宏, 徐静蕾, 杨子姗, 梁杰理",25884801
叶问,7.8,叶伟信,"甄子丹, 任达华, 熊黛林, 池内博之, 林家栋",3041806
催眠大师,7.6,陈正道,"徐峥, 莫文蔚, 胡静, 吕中, 王耀庆",24743711
新龙门客栈,8.7,李惠民,"张曼玉, 林青霞, 梁家辉, 甄子丹, 熊欣欣",1292287
悲伤逆流成河,5.8,落落,"赵英博, 任敏, 辛云来, 章若楠, 朱丹妮",27102569
绣春刀II：修罗战场,7.2,路阳,"张震, 杨幂, 张译, 雷佳音, 辛芷蕾",26270502
非诚勿扰,7.2,冯小刚,"葛优, 舒淇, 范伟, 方中信, 胡可",3313801
来电狂响,5.7,于淼,"佟大为, 马丽, 霍思燕, 乔杉, 田雨",30377703
心迷宫,8.7,忻钰坤,"霍卫民, 王笑天, 罗芸, 杨瑜珍, 孙黎",25917973
卧虎藏龙,8.4,李安,"周润发, 杨紫琼, 章子怡, 张震, 郎雄",1301168
长城,4.9,张艺谋,"马特·达蒙, 景甜, 佩德罗·帕斯卡, 刘德华, 威廉·达福",6982558
夺冠,7.1,陈可辛,"巩俐, 黄渤, 吴刚, 彭昱畅, 白浪",30128916
烈火英雄,6.4,陈国辉,"黄晓明, 杜江, 谭卓, 杨紫, 欧豪",30221757
喜欢你,6.7,许宏宇,"金城武, 周冬雨, 孙艺洲, 奚梦瑶, 杨祐宁",26816383
少林足球,8.1,周星驰,"周星驰, 吴孟达, 谢贤, 莫文蔚, 张柏芝",1297747
爱情公寓,3.2,"韦正, 齐峻","陈赫, 袁弘, 娄艺潇, 邓家佳, 孙艺洲",24852545
左耳,5.7,苏有朋,"陈都灵, 欧豪, 杨洋, 马思纯, 段博文",25745752
奇迹·笨小孩,7.4,文牧野,"易烊千玺, 田雨, 陈哈琳, 齐溪, 公磊",35312437
解救吾先生,7.7,丁晟,"刘德华, 刘烨, 王千源, 吴若甫, 林雪",25798448
老师·好,6.6,张栾,"于谦, 汤梦佳, 王广源, 秦鸣悦, 徐子力",27663742
十二生肖,6.8,成龙,"成龙, 权相宇, 廖凡, 姚星彤, 张蓝心",4212172
这个杀手不太冷静,6.2,邢文雄,"马丽, 魏翔, 陈明昊, 周大勇, 黄才伦",35505100
春娇与志明,7.3,彭浩翔,"杨千嬅, 余文乐, 杨幂, 徐峥, 陈逸宁",6386345
智取威虎山,7.7,徐克,"张涵予, 梁家辉, 林更新, 余男, 佟丽娅",10807909
