$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
30$1859036$宝贝计划$亲爱的猥琐猪$2022-07-17 23:50:46$1$补标。虽然很快餐，合家欢，笑点泪点都到位，但围绕小宝宝的各种龙式炫技还是挺不错，印象最深的是十字路口高举摇篮躲车。
31$1859036$宝贝计划$Fine$2020-08-24 23:03:57$5$打开手机公众号一看，陈木胜去世了，突然心中一惊，记得小时候自己的学习机里就存了两部电影，一部是《宝贝计划》，一部是《叶问》。比起其他香港导演，陈木胜的作品总是更加注重情字。RIP，陈导，一路走好。
32$1859036$宝贝计划$一條魚佔滿了河$2022-08-04 18:56:33$1$三位男主角，三種喜劇風格，成龍的功夫喜劇唱主角，打得也依舊漂亮，古天樂的都市喜劇還算能適配，可惜了許冠文的冷面喜劇沒有什麼發揮之處，有些浪費他，兩位女主角，蔡卓妍還有些發揮空間，高圓圓的角色則是純花瓶。現在回頭看，雖然煽情比重有點高，應該也算是最後一部不算走味的成氏功夫喜劇了。
33$1859036$宝贝计划$安大帅$2019-09-22 19:58:35$2$这个时候的成龙的作品还是能看的，以前这电影刚出来的时候风靡大江南北啊，太经典了。虽然煽情有些刻意，但是看着那么乖的宝宝还是忍不住了。还有我的高圆圆女神呜呜。抢尽风头的还有谢霆锋和吴彦祖饰演的一对活宝，背背山来的哈哈哈。
34$1859036$宝贝计划$尘飞扬$2020-08-24 13:14:52$2$动作戏好看，文戏拖沓有硬伤。娃娃被偷，只有主角与娃娃的互动，主角与反派的互动，而没有娃娃父母的互动～只用电视镜头来解释当然难以服众，李家家大业大，肯定会疯狂花钱寻找娃娃，然而影片并没有。这是剧作偷懒，成龙和陈木胜编剧，算不得优秀。
35$1859036$宝贝计划$匡轶歌$2006-10-21 18:06:44$2$成龙大哥，我小时候就看您。一边长大一边不停看您。您还是让我无话可说。
36$1859036$宝贝计划$暴富的女孩是我$2017-04-02 09:41:37$7$小baby太可爱了
37$1859036$宝贝计划$慕詩$2017-05-02 16:36:51$7$创意不错，宝宝好可爱！
38$1859036$宝贝计划$ᥫ᭡້໌$2017-03-01 09:46:08$7$适合一家人一起看的温馨搞笑剧。
39$1859036$宝贝计划$一起吃地瓜$2018-07-12 07:44:51$6$适合全家人看爆米花电影，打斗不错，还有温情部分，关键小宝宝好萌。
40$1859036$宝贝计划$美神经$2017-06-06 23:48:39$2$嘿嘿，嗯，一部成龙的电影～印象最深的就是那个小baby，哈哈哈，好可爱，好萌～但是，感觉现实肯定不会有那么聪明的。
41$1859036$宝贝计划$猫猫eko$2006-11-18 19:20:43$0$信任！空间！想象力永远不可缺。千年行道一朝丧。55分42秒的时候穿帮镜头哈哈哈哈！丫那小样儿还玩人体艺术！！！短暂肌肉抽搐症，笑晕我了。
42$1859036$宝贝计划$传说$2006-10-15 20:39:23$1$"又名: Rob-B-Hood / BB计划

导演: 陈木胜 Benny Chan
主演: 成龙 / 古天乐 / 高园园 / 许冠文

上映年度: 2006
语言: 中文
官方网站: http://rob-b-hood.jce.com.hk/
imdb链接: tt0485976
制片国家/地区: 香港
"
43$1859036$宝贝计划$小肉兔$2017-04-06 22:45:18$6$说实话不太记得剧情了 不过记得很好笑
44$1859036$宝贝计划$追忆$2009-12-16 15:54:22$1$还算是成龙近年来拍的过的去的电影吧，勉强看个乐子
45$1859036$宝贝计划$了不起的克莱德$2011-12-06 23:31:47$1$也算家庭剧了吧。。我之前打成宝贝菊花了、、听说高圆圆被成龙潜了。。。
46$1859036$宝贝计划$一片两片三四片$2016-09-14 21:48:01$2$宝宝太可爱了！圆圆女神好漂亮！最后结局也挺圆满的，主角也受到了惩罚，不会因为他们是主角就幸免
47$1859036$宝贝计划$十一伏特$2022-05-31 09:45:38$0$"超好玩超煽情。几乎每个主要登场角色都给准备一段人物小传，各人都有各自的家庭麻烦，几乎所有麻烦的解决钥匙都寄托在新生的宝宝身上，期盼能像他一样重新开始人生。
几乎所有成龙亲自参与编剧的作品里人物形象都很丰富，有着健康向善的立意，不单纯只靠打斗动作吸引眼球。像本片里至少出现五个家庭，除了反派是极端的丧子之痛，其他家庭都以团圆收尾，充分满足合家欢需求。
吴彦祖和谢霆锋客串的运钞警察二人组，娘娘腔背背山直接笑喷。"
48$1859036$宝贝计划$居北望南 9¾$2012-01-01 21:58:58$1$看了好几遍啊~好欢乐的一片儿~
49$1859036$宝贝计划$彼岸花$2012-05-22 20:39:08$0$还不错，但只能杀时间用，倒不是没有内涵，只是这样的电影似乎太多了，没特色
