$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
35$3734112$风声$我其实在奋斗$2009-10-06 22:15:28$112$影片充分考虑到重口味群体：为女性观众准备了苏有朋股穿钢锥，假如少数男士看到这里菊花微痒，只能归咎于个人素质低下；为男性准备的是骑滑绳索，同理，若有女士下体微痛，那也是个人想象力过于丰富，剧组概不负责。
36$3734112$风声$艾小柯$2009-11-06 13:33:28$52$故事60分，表演80，剪辑跟导演50。
37$3734112$风声$木汐$2009-09-22 14:26:37$47$"暗算加无间道。
写此片影评的人要慎重啊，太容易剧透了……"
38$3734112$风声$周杰伦的小红花$2021-07-21 20:53:28$88$早期狼人杀珍贵影像
39$3734112$风声$LORENZO 洛伦佐$2010-09-15 06:40:27$75$算是09年中国电影的巅峰了吧，缺憾：结尾部分逻辑欠妥，情感夸张过度，周迅的角色深度还有挖掘余地，久不看国片，这部还算没让我失望。勉强上4星，值得推荐。
40$3734112$风声$W I l l$2009-10-01 12:40:25$210$现在最爱周迅的声音. 片子很压抑,开头很出彩.  演员都很不错,字幕的特效很爱
41$3734112$风声$春天的微笑$2018-03-08 13:00:40$48$难得喜欢一部中国悬疑电影，演员演技都在线，故事性很强。
42$3734112$风声$遇见彩虹🌈$2017-11-02 12:49:34$137$影片节奏很好。演员的表演也到位。坚持信念的力量让人感动。
43$3734112$风声$偏要勉强$2018-02-08 12:12:45$61$悬疑紧张刺激，到底谁是“老鬼”，一群影帝影后带你认识十八大酷刑。。。一如既往给迅哥儿点赞。
44$3734112$风声$潇潇居$2009-09-29 18:52:16$60$我内心觉得十分特别没有我想象中的精彩,周迅为什么现在让人感觉演的有点假.
45$3734112$风声$大耳朵图图_$2017-04-14 14:53:43$105$晓明哥和苏有朋在这里贡献了他们最好的演技
46$3734112$风声$百野$2009-09-30 23:35:07$88$格调低下，推理扯淡，能比“女文工团员的最后的下落”稍微好点。升华僵硬得我都要哭了。迅迅，不怪你……
47$3734112$风声$五色全味$2009-09-30 00:45:03$34$重看……感觉好糟糕……当初为啥会觉得还可以
48$3734112$风声$八贝勒爷$2018-01-26 07:44:30$108$高中全班一起看的，看了两遍才看懂，觉得很多细节很牛，当时只是单纯觉得演的也好，但不懂哪里好，后来又看了几次，但没有了那群人的陪伴，电影好，我们都好，
49$3734112$风声$邹小樱$2009-09-23 20:10:51$39$一流的片头，影片特效也很好，影片布景及氛围不错，就是无聊的烂gag和拖沓的剧情……
50$3734112$风声$何处相思明月楼$2018-01-26 09:12:48$100$最近沉迷于张涵予大叔，我的天哦，大叔才是行走的荷尔蒙。
51$3734112$风声$赤练的老公$2018-01-08 13:05:51$124$很真实，非常值得看。里面周公子和李冰冰的演技都非常棒，看的很好。
