$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
33$1307023$神话$舜舜$2017-03-03 06:20:23$16$第一部穿越题材的电影，每次看到那个瀑布总觉得是花果山水帘洞的入口，有点跳戏，看到秦始皇兵马俑那段，和女主翩翩起舞觉得超唯美，带入感也很强，给人亦梦亦真的感觉，是a部不错的电影！
34$1307023$神话$萌宠小坏坏$2018-07-25 13:43:19$9$公主与将军唯美的爱情故事，虽然结局有些不大能接受，神话这首歌还能在耳边回想起
35$1307023$神话$Anastatica$2023-01-26 20:16:59$3$怎么说呢，这居然是唐季礼拍的，以及，想想吧，穿越真的挺不好拍的，以前以为大家能拍得比这个更好，后来才发现，拍成这样已经很不容易，四星吧，其实三星就可以了。
36$1307023$神话$石头星$2017-03-20 18:58:21$15$题材一般，故事完整，主题曲不错，女主很美。
37$1307023$神话$游牧人·芳汀$2010-10-06 23:41:15$15$一般。不过金喜善的扮相真是不错，神仙姐姐
38$1307023$神话$深夜的阿斯伯格$2013-05-29 09:25:17$4$等2000年是什么感觉
39$1307023$神话$苏幼$2017-03-20 00:06:26$24$挺好的
40$1307023$神话$恶隐息烙$2010-11-15 01:01:52$4$【20190609】重看下来，想象力是瑰丽的，秦皇陵一入镜简直震撼。故事架构欠缺梳理但本身并不差，甚至连这个结局都是具备美学价值的。可惜的是受限于当时的制作水平，有很多有的没的的支线，成龙的打戏也太goofy根本和角色设定不符。除此之外，脸谱化的反派、东亚三国无缝兼容的千年性别观严重损伤了作品的保值能力…我觉得这一套是文化上的他者会很吃的，和杨紫琼那部木乃伊也高度熟悉（甚至还有点国师的奥运开幕式味儿，可见彼时国人审美都是那个屌样）。我竟然给了五星，应该是被金喜善仙儿到了吧真的全剧唯一能看的角色就她了。
41$1307023$神话$Leon Winters W$2016-11-27 16:30:56$10$一般，成龙的电影都是打戏可圈可点，剧情不怎么样，电影的亮点之一，就是贡献了《神话》这首歌曲，如梦如幻，优美凄凉
42$1307023$神话$朝露昙花$2020-12-15 01:31:13$305$这电影6.7分就特么离谱，在我看来好过大部分华语片，起码8分以上
43$1307023$神话$向世界里去$2013-11-19 20:04:03$5$七八年前，或许是因为那首歌曲，或许是因为女主的面孔，或许是那时年少，此片甚得我爱。现在看来自然是觉得低级幼稚了，但无意间听到神话那首曲子，刚才又和一友人聊起寻秦记，想起逝去的此间少年。无论这片子好坏与否，那些感觉，毕竟都与我们的童年紧紧相连。
44$1307023$神话$Neroat$2018-12-10 00:09:24$7$一下十几年过去了。当年看觉得金喜善在山顶舞蹈那段好美，和成龙竟也有cp感。中规中矩的，还挺不错，主题曲太太太好听了！
45$1307023$神话$狐极客$2018-07-27 22:27:56$209$这部以前看的电影居然没有评过分？觉得大众的审美水平真是非常严重的从众行为，明明非常精彩的一部电影，就要自己来指出其“不足”来显示自己的能力和水平
46$1307023$神话$星星的心心$2020-09-08 12:04:35$83$6.7？？开玩笑，这也太低了吧，童年经典好吗
47$1307023$神话$Ivy$2022-04-07 02:19:15$3$成龙的头盔造型脸长到我怀疑我的播放器比例出了问题，然后一看金喜善才确定有问题的是他。之前没看是因为俩人颜值太不搭了，但今天突然觉得可能会比看帅哥受罪来得不那么容易共情从而影响心情呢，结果全程“救命啊”OS了无数遍。不明白为什么女主如此快速如此强烈地如此依恋他。最后古代那个场面挺大的打戏到底动机在哪完全没看出来。多久没看见过邵兵了我天。他那个将军不比成龙好看么，居然和女主相处了几千年什么都没发生。片尾字幕还没出来就立马放绿幕威亚的花絮是怕观众出戏不够快么
48$1307023$神话$慕詩$2017-06-24 11:14:07$5$主题曲比电影红，穿越题材还是挺有意思的。
49$1307023$神话$昵称被占不开心$2017-04-03 18:22:13$9$同名歌曲印象深刻
50$1307023$神话$尔黑我！$2012-08-24 00:55:45$0$有点和缺点同样明显。另外整部片中除了成龙外不知为何所有角色都令人讨厌.
51$1307023$神话$U 兔$2009-02-01 21:30:58$2$无语，为了纪念我们演过的话剧～还是加一下吧～但是想起来就心痛呢，那个话剧的视频丢了，而且再也不会去演一遍了～～再也没机会了～～
52$1307023$神话$Panda的影音$2013-08-14 18:56:33$4$蛮多人说主题曲《美丽的神话》挺好听的。其实我觉得吧？主题曲确实蛮好听的。
53$1307023$神话$影$2023-02-18 06:06:50$1$第二遍了，此片是当年内地年度票房榜亚军（9100万，冠军《无极》2.1亿），剧情编排一般，情节发展不够跌宕起伏，服装造型不错，玉漱公主对蒙毅将军这条爱情线还算感人，金喜善演的公主也很不错，而成龙演爱情戏不是他的强项，看着不是太美好，年龄也老了些，再年轻10岁可能还行。印度那场戏是全片最好看的，有成龙动作喜剧的一贯特色，印度女配看着也养眼。比《十二生肖》强不少。此片二首主题曲非常好听。二遍足矣。
54$1307023$神话$Alex$2007-02-16 00:17:05$1$成龙大哥总算有一部在不该出现喜剧的地方，少有出现的影片了，金喜善还是很喜欢，看见了鉴定的爱情；看见了男儿的忠诚；看见了不错的特技；听到了很棒的音乐......
55$1307023$神话$oliviacdl$2012-01-28 17:14:36$1$總覺得電影的似曾相識，啊，原來是張藝謀和鞏俐那部。或許仍有不同，不過電影講述了一個穿越的故事，足以讓人耳目一新。
56$1307023$神话$幸运遇见你$2017-03-24 06:40:35$7$看过电视剧版的  觉得电影的也是不错的
57$1307023$神话$我lu不会飞$2017-03-19 22:19:56$9$还不错哟！
58$1307023$神话$妍春$2021-04-01 08:38:39$0$国产战争片补遗。青年记忆追忆。剧情大结构依旧是熟悉的成龙味道，实际效果却相去万里。我能想到的两点原因，一是掺杂塞入了过多的被迫信息，一是缺少港片时代逐渐磨成磨熟的人员与技术。有所启发，更多是遗憾。
59$1307023$神话$幻夜六十六$2022-09-04 21:42:55$3$7.5分，这片感觉篇幅原因很多没有交代，很是大制作啊，龙哥出手真的服气。时隔多年之后，还是忘不了玉漱为蒙毅跳的独舞。于是，回顾了一下，这部不应该只有不到7分啊。
60$1307023$神话$千寻亿选$2012-01-17 13:42:29$2$复刻古今大战秦俑情
61$1307023$神话$鸟甲$2008-10-07 08:30:32$2$以前在电视上看过几遍，但都零零碎碎，2009/2/2凌晨CCTV-6首次完整看过，还不错，3星升为4星。
62$1307023$神话$荒人$2012-01-29 17:51:47$2$初中时学校组织在镇上的老电影院看的，当时等的就是金喜善脱的那一瞬间。
63$1307023$神话$孖喇啵卅丷怕乸$2018-04-20 20:26:25$48$抬一手吧，这片子放现在怎么着也得八分以上
64$1307023$神话$Dilettante G$2020-11-23 12:22:47$3$有古今大战秦俑情的影子，当年那首歌最火
65$1307023$神话$思惟凝胶$2008-07-24 23:20:01$0$除了成龙，还有金喜善嘛，除了演员，还有主题曲嘛，总是还有些东西的。
66$1307023$神话$闲情小娜$2008-06-21 03:23:43$1$也许，换个女主角我会更喜欢看。故事情节紧张有序，忠诚是种力量，是折服人的人格魅力。被利益驱使的人，只有被毁灭。
67$1307023$神话$拂晓$2020-03-15 00:22:07$6$"8.2
看完电影，我成了成龙的歌迷。
《神话》带火了主题曲《美丽的神话》，三个版本听下来，还是成龙和金喜善的版本好听，副歌部分韩语就很灵性。
15年前的穿越剧，成龙电影中少有的唯美作品，集古装，爱情，动作，喜剧于一体，那时成龙的动作喜剧属实一绝。
不过特效确实有点尬，飞天特效抠图实在不行。还有蒙毅的马儿怎么回事，杂耍呢吧还能抬起后腿踹人……
古代和现代戏融合的不够好，毕竟两个时代的语言，服装各个方面都大不相同，对比而言古代戏更优秀。
蒙毅战死沙场那段很赞，一夫当关，万夫莫开的氛围渲染出色。
金喜善出演古装戏真的很搭，那时颜值巅峰是真的好看(听说19年又入选韩国十大美女了？)
"
68$1307023$神话$Magi$2011-03-11 21:25:00$0$主题曲不错，男主选角失败，老男人真不配鲜花，虽然那朵鲜花也不太水灵了
69$1307023$神话$纯羊$2017-04-25 23:15:44$6$还不错，这两天抽空再看一遍，周五提醒自己写个长评，毕竟导演的镜头美学是很对我口味的。
70$1307023$神话$甜椒Oli$2017-03-12 09:11:24$23$只记得歌了
71$1307023$神话$BigZ$2013-11-04 19:45:39$0$放在95年，这电影是部精彩好看的电影！不知道，为什么都05年了，非得整这种流水线式的产品出来浪费大家时间？
72$1307023$神话$无趣$2013-08-19 10:50:03$0$电影院看的，总体还行，起码主题歌在ktv唱了好多回吧？！
73$1307023$神话$Skybow$2009-01-28 09:00:03$1$http://www.douban.com/review/1635408/
74$1307023$神话$游牧$2012-02-29 23:01:35$0$做一个长长的梦 梦里可以见到想见的人 去到想去的地方 还有关于前世今生的故事。
75$1307023$神话$Javier$2017-05-06 11:49:42$8$说实话，这真是一部可看度很高的电影，就是说这是一部好看的电影，只不过它出生在国人对国产电影极度失望又对外国电影极度崇拜的时候。
76$1307023$神话$尽欢$2009-01-03 11:00:20$0$穿越千年，生死不渝，只是最后，为什么放手了呢
77$1307023$神话$张翔森$2022-01-22 11:06:03$1$万世沧桑唯有爱是永远的神话，潮起潮落始终不悔真爱的相约，几番苦痛的纠缠多少黑夜挣扎，紧握双手让我和你再也不离分。
78$1307023$神话$37°2$2008-04-12 19:10:38$3$搞笑版古今大战秦俑情。成龙大哥，您也一大把年纪了，还是别演这种滥感情戏丢范儿了
79$1307023$神话$嘟小七$2007-03-31 23:02:10$0$推荐的是秦始皇陵里那段音乐及吊钢丝
80$1307023$神话$追影$2021-06-20 16:57:07$21$为了作业又细致地拉了一遍，我发现小时候其实没有完整看过全片，但一些片段却彷佛刻进了灵魂一般，在成长的过程中我起码脑补出了复杂10倍的剧情。只能说唐季礼成龙野心还是太小，现代线的杂耍对古代的情绪氛围造成了严重的损害，台词没有好好修改，一些配乐用错了地方，港版的剪辑也相当突兀。然而然而，金喜善演得真是巨tm细腻啊！！！听到宫人那句蒙将军到，她唇角的荡开的弧度真就是睡莲池上的荷花啊！！！一些戏的动作处理还有最后的天宫漂浮充满了女性特有的浪漫，龙哥的秦国古装扮相也意外地耐看，两人举手投足那股发乎情止乎礼的劲头配合主题曲真是让人心碎万里。尽管因为种种原因，过渡到结局时玉漱的处理会不太自然，但这默默飘远、埋恨地宫的杀伤力。。。。蒙毅和玉漱，这可能会是我钟爱一生的电影。
81$1307023$神话$mOco$2017-02-13 14:33:52$15$成龙和金喜善之间真是毫无火花，同情那个在洞里守候丽妃的将士。过了千年反派想的还是长生不老[翻白眼]
82$1307023$神话$宿命论$2010-12-10 00:25:21$0$穿越系…和老娘某年過年時看的，馬麻邊看邊說……胡編亂扯，瞎七八搭…再加上我評頭論足。個手，個部電影就神……經病了。
83$1307023$神话$X$2017-05-29 13:11:28$2$对于国产电影选一个韩国人做主角耿耿于怀了很久，虽然金喜善那时候很红
84$1307023$神话$嘤$2017-03-27 16:15:48$9$初中时看的一部电影，每每听到神话主题曲旋律响起，总是止不住泪流满面，好怀念2005年的我啊~
