$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26270502$绣春刀II：修罗战场$小鬼家的师公$2017-07-15 17:06:00$1696$“由于经费用完，所以只能自己做了”
27$26270502$绣春刀II：修罗战场$欢乐分裂$2017-07-19 13:37:03$386$乱世浮尘中蝼蚁贪生，浓稠暗黑里万象争流，天地之大却无地安生；几方势力制掣，愈是上方愈是修罗场，不同阶层的利益虽异，手法和目标倒是惊人一致；延续前作阴鸷氛围，加强悬疑成分，场景明显开阔，冷兵器技法丰富；狼奔豕突中尚得一丝人性微光，他日相忘江湖也罢，回眸是万种离愁，重逢已是百年身。
28$26270502$绣春刀II：修罗战场$桃桃林林$2017-07-21 13:18:21$572$三星半，相比上一部，明显投入更多，美术、服装、道具等细节都有明显提升，作为古装华语片，影片明显在很多放心准备得很认真，也增加了可信度。不过，其实叙事部分相比上一部略弱，野心很大，却不如上一部简单直接了。男演员集体出彩，尤其是雷佳音的角色，有点邪气。美术还是棒，丁修的彩蛋也好看。
29$26270502$绣春刀II：修罗战场$支离疏$2017-07-15 17:01:23$822$印象最深的是制作精良，服装道具真是棒，质感一流。剧本整体比较严密，还是选择的问题，路阳在镜头上明显更放松了。此外，杨幂比想象中好，辛芷蕾不错。
30$26270502$绣春刀II：修罗战场$大奇特(Grinch)$2017-07-16 13:41:41$713$比起上部，可以说是很有钱了，弥补了上部在动作和美术上的不足。两部都植根于真实历史事件，受日漫和剑戢片的影响深入骨髓，硬派本格严格缜密，动作处理行云流水，最后打斗和立意泄气了。路阳电影中的男配角（雷佳音）始终都比男主更讨巧，感情戏却依旧是死穴。
31$26270502$绣春刀II：修罗战场$眠去$2017-07-21 11:10:04$1060$杨幂的下巴和驼背比演技更出戏；表白雷佳音
32$26270502$绣春刀II：修罗战场$林 淑 桃$2017-06-20 18:31:51$897$沈大人註定要為名字里有”妙“字的姑娘們粉身碎骨了。11號會去2刷的。
33$26270502$绣春刀II：修罗战场$亵渎电影$2017-07-20 16:17:34$199$动作戏的编排硬桥硬马，靠摄影剪辑和声效撑起动作戏，而不是动作指导，整体上香港武侠片和日本剑戟片都沾一点，其实骨子里更像是好莱坞式的动作片，路阳导演这次在动作戏视听层面上的成长进步巨大，彻底没有第一部时电视电影的感觉了。从剧本、节奏、人物到主题，真正学到了好莱坞类型片的套路。7分
34$26270502$绣春刀II：修罗战场$同志亦凡人中文站$2017-08-13 16:37:22$264$除了不知所云的最后20分钟，算是一部制作精良的古风电影，拍出了大明朝的夕阳晚照。实力心疼张震，从刘诗诗到杨幂每集都要搭配面瘫女，不救行不行...
35$26270502$绣春刀II：修罗战场$P酱🇨🇳$2017-07-16 20:08:49$668$如果没有某某就好了……
36$26270502$绣春刀II：修罗战场$扭腰客$2017-07-23 00:07:01$464$不是不可以给张震配女人，你倒是配一个配得上我们张震的女人啊。不过，没有杨幂，就不能吸引到“蜜蜂们”；没有蜜蜂们，下一部可能就拍不了。
37$26270502$绣春刀II：修罗战场$苏七七$2017-07-19 19:38:51$412$就有一个困惑：。。最后那个峡谷戏里，为啥张震杨幂雷佳音不直接三个人一起过了索桥把桥断了。。。而是要杨幂先过，然后两个人在那里等死，然后杨幂又回来，然后张震再断桥呢。。。真的不是很理解。。
38$26270502$绣春刀II：修罗战场$西楼尘$2017-07-16 22:36:10$128$那年山前，他没有带伞不见狼狈；那年桥头，他空拳赤手无惧从容。飞湍瀑流他终是不忍她沉水，断崖绝壁他终是放她远走。今日雨打芭蕉，红了樱桃。画一个剑眉星目的你，且不可娶了美娇娘。此后风月无声，红尘滚滚，你是温柔的刀鞘，等我置嫁妆；往后山高水远，人间清冷，你是斑驳的画轴，已足够慰藉一生。
39$26270502$绣春刀II：修罗战场$LORENZO 洛伦佐$2017-12-17 06:06:15$123$张震简直逆生长，这几年颜值真是越来越佳，让我等基佬看电影心情都有了改善。张震对杨幂喊“滚”的时候我巴不得她滚下吊桥，电影就成神作了。
40$26270502$绣春刀II：修罗战场$恶魔奶爸Sam$2017-07-23 22:54:30$257$哪有什么天长地久的爱情，三个月后，沈炼这个渣男就爱上了刘诗诗。。。
41$26270502$绣春刀II：修罗战场$frozenmoon$2017-07-23 19:19:43$193$即便有的地方有硬伤，但从类型上说已经精良又工整了。除了杨幂做作的演技，其他部分都很不错。相比于第一部众多的隐喻，这一部更像是对于类型的探索。
42$26270502$绣春刀II：修罗战场$谋杀游戏机$2017-07-14 10:28:50$464$沈炼不是英雄主角，只是扰攘年代的旁观者，被卷入一个个故事；他没有古道热肠，内心深不见底，与每个人都保持恰如其分的距离。延续第一部水准，摄影动作运镜娴熟，演员全体演技在线，场景服饰兵器精雕细琢。张震是颜值和气质最配得上飞鱼服的演员，雷佳音刘端端是这集惊喜，最喜案牍库一场戏，一气呵成
43$26270502$绣春刀II：修罗战场$康夫$2017-07-27 14:00:29$285$我要是张震，应该会救雷佳音而不是杨幂吧......
44$26270502$绣春刀II：修罗战场$伊谢尔伦的风$2017-07-23 20:20:06$129$崇祯真是，人在煤山吊，锅从天上来！
45$26270502$绣春刀II：修罗战场$jj73浅之$2017-07-16 00:24:24$418$太久没看过这样有腔有调干净利落浪漫绝望的多情江湖，结尾杀阵打戏真实残酷逼格飙升但略拖节奏，离完美只差一点减法。这一次身陷修罗场但爱艺惜才的沈炼，中二又理想化，基本上是锦衣卫中的文艺青年。连杨幂都贡献了至今最克制的表演，眼神清澈得难以拒绝，成为乱世中令人向往的女性符号。
46$26270502$绣春刀II：修罗战场$哑古$2017-07-15 16:44:52$246$然而你们就没想到一起走了再断桥？
47$26270502$绣春刀II：修罗战场$胤祥$2017-07-20 02:27:15$109$前传虽有些OOC，还是能有7分的。剧作对标的大概是[狄仁杰]，比上一部通顺多了（虽然最后过桥那段真的是为打而打啊），动作戏比上一部有进步，算成武侠片也没毛病。张译最近怎么演什么都那么拿腔拿调，张震虽说仍然一脸性冷淡不过戏还真是准确到位。最大惊喜反而是雷佳音演的这个呆萌胖纸。
48$26270502$绣春刀II：修罗战场$不良生$2017-07-26 21:41:39$73$世人久不见苍鹰，竟觉秃鹫美。
