$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
192$1418019$大闹天宫$美味栗$2013-04-18 13:34:19$0$好想出个全集。。。。
193$1418019$大闹天宫$张朋辉$2010-05-17 09:49:22$0$电影博物馆看了一次影院版的，中国人有功夫翻拍翻拍这个，别闲得没事拍些个垃圾
194$1418019$大闹天宫$代表月亮rock你$2009-08-02 02:44:02$0$这可是我们国家动画的鼻祖啊
195$1418019$大闹天宫$今朝$2010-12-17 21:43:59$0$很怀念
196$1418019$大闹天宫$无咎$2012-09-26 15:35:49$0$看过的，补上
197$1418019$大闹天宫$DK小眼镜儿$2006-01-31 23:38:37$0$国产动画的经典
198$1418019$大闹天宫$贾斯汀$2010-12-23 22:14:04$0$經典啊...我還想看哪吒鬧海!!!
199$1418019$大闹天宫$不朽浩克$2020-10-26 13:50:58$3$此片经典之处绝不在于年代，而在于与本土文化的完美融合。构图上采用山水画为背景，营造出园林美学上的意境。配乐大都为中国戏曲，与人物京剧般的动作相契合。人物形象丰富立体，张力十足，尤其是塑造了这样一个放荡不羁法力无边活泼可爱的齐天大圣形象。唯一瑕疵在于剧情上的单薄，但是作为一出戏来看绝对是足够了的。
200$1418019$大闹天宫$大海$2010-11-16 14:41:26$0$这才是经典！！现在拍的都什么玩意。。。
201$1418019$大闹天宫$黄海$2013-04-01 12:47:04$0$现在看大闹天宫和小时候看感觉完全不一样。故事选的很好。只突出了政治，官僚主义的虚伪。没有谈孙悟空在佛教哲学里的失败。人物塑造的好。尤其是金星。再加一星给当年辛苦工作的电影工作者。
202$1418019$大闹天宫$Dr. ChaLove$2010-06-01 07:02:45$0$老一輩國產動畫製作人永遠值得尊敬！
203$1418019$大闹天宫$冰红深蓝$2015-10-27 22:38:10$3$童年经典，备忘Mark。
204$1418019$大闹天宫$品客$2007-08-31 01:43:51$0$NICE
205$1418019$大闹天宫$鹤农$2008-01-27 03:33:33$0$幸好从小在电影院长大~~看了很多免费的电影
206$1418019$大闹天宫$鉛筆04$2009-03-07 04:46:12$0$真是為國爭光的好片子啊！
207$1418019$大闹天宫$静下来$2008-10-16 20:35:45$0$场面大.没有哪吒来的感动
208$1418019$大闹天宫$pksky$2011-01-17 21:34:23$0$看的好像没那么高清喔...
209$1418019$大闹天宫$BB蓓$2010-06-01 10:44:57$0$好看！
210$1418019$大闹天宫$图拉图拉随夫姓$2013-08-09 11:41:57$0$那些画面，都是一帧一帧的画出来的。
211$1418019$大闹天宫$减肥减肥减肥$2013-03-07 20:48:41$0$童年记忆～～～
212$1418019$大闹天宫$Cobra$2011-07-08 02:05:23$0$中国动画啊，现在唯一给力的就是《秦时明月》了，大闹天宫这种经典只能是历史了。
213$1418019$大闹天宫$一血小王子$2017-02-03 18:06:40$8$烂烂烂，我00后 ，觉得非常难看。
214$1418019$大闹天宫$居北望南 9¾$2011-08-26 14:32:54$0$60年代动画最高水平代表，震撼了国内外，影响了手冢大神的作品。
215$1418019$大闹天宫$骨鲸$2009-02-22 05:47:52$0$国产动画在一个很高的起点上 但一直在走下坡路
216$1418019$大闹天宫$倍儿没谱小姐$2010-05-20 23:32:28$0$经典到不能再经典 小时候还有一个蟠桃会上的拼图没有了555!!
217$1418019$大闹天宫$Evil freedom$2012-09-17 12:30:45$0$童年的记忆
218$1418019$大闹天宫$芥末蘸酱$2009-09-05 14:58:54$1$2015.1.25 @新影联华谊 重看. 将民族传统文化和动画结合在一起 很多场打斗戏很有京剧范儿
219$1418019$大闹天宫$毛球$2010-08-04 21:34:22$0$某年欢度儿童节~
220$1418019$大闹天宫$Easy$2011-03-20 21:29:25$0$小时候一直盼望能有下一集，盼着盼着就长大了......
221$1418019$大闹天宫$inffun$2010-07-17 14:30:01$0$当时的国产动画片真的是好看
222$1418019$大闹天宫$sirius_flower$2013-04-18 01:31:31$0$从那以后就很少看到这么飘逸的画风了！！
223$1418019$大闹天宫$Julia$2010-11-11 16:08:04$0$心中最美好的京剧脸谱样孙悟空
224$1418019$大闹天宫$馋猫麦昆$2013-11-04 23:38:58$0$锣鼓喧天中重回童年。
225$1418019$大闹天宫$竹傲风$2010-11-27 23:01:51$0$多好的作品啊。
226$1418019$大闹天宫$毛嗑$2011-12-18 22:51:54$0$孙行者是自发的革命者，可惜还是被招降了
227$1418019$大闹天宫$木偶$2015-05-27 19:31:40$2$中国风动画第一
228$1418019$大闹天宫$电车痴汉陈胖胖$2011-10-31 19:54:14$0$神作！
229$1418019$大闹天宫$说了我是黑无常$2017-01-28 20:08:32$2$我男神一棍子把凌霄殿的牌子敲粉碎的时候都不知道自己究竟做了什么伟业，这才叫快意。
230$1418019$大闹天宫$今生、唯爱$2013-09-13 16:44:29$0$儿时的回忆，1961年啊，看的国产片里最早的影片
231$1418019$大闹天宫$Muggle、佑。$2010-11-22 15:42:37$0$儿时~
232$1418019$大闹天宫$kylegun$2020-10-13 23:51:13$2$虾兵蟹将挡公民，三头六臂太子党，招安软禁，官阶压人，哪有什么如来神掌，哪有什么救世主，管你神仙罗汉天兵天将，放马偷桃奔自由，砸你权贵特供宴席百姓同享，还不服就砸你全家；小时候没看明白的一些东西，如今重温修复版算看明白了
233$1418019$大闹天宫$颜颜$2010-09-12 11:57:14$0$这个现代的封面- - 一时间吓到我了
234$1418019$大闹天宫$打道$2010-03-24 19:27:05$0$无法超越
235$1418019$大闹天宫$说不清的蓝。$2012-03-28 17:26:37$0$nice。还记得年少看动画的心情。
236$1418019$大闹天宫$碧落亦然$2008-05-28 02:39:49$0$做的很漂亮啊！！
237$1418019$大闹天宫$小J到处乱逛$2008-01-29 21:40:03$0$经典
238$1418019$大闹天宫$friendbeast$2009-04-03 01:27:30$29$猴哥儿可可爱爱!!!
239$1418019$大闹天宫$Se7en丶小七$2012-05-15 17:43:49$0$越往远处飞去，你越在我心里。
240$1418019$大闹天宫$atmosphere$2011-08-26 09:05:12$0$经典
241$1418019$大闹天宫$齊克斯尼力佐飛$2011-02-08 23:44:35$0$还能怎么评价呢！但如果这就已经是中国动画片的巅峰了，我们以后还是看迪士尼皮克斯和日本动漫好了。
242$1418019$大闹天宫$Sunman$2011-11-28 13:41:21$0$中国动画人必须记住的名字：万籁鸣.
243$1418019$大闹天宫$小野山猪$2007-05-16 13:48:22$1$40年来动画技术岂止用突飞猛进来形容，40年来我们对电影对动画片的口味提高了何止十倍百倍，但这部40年以前的动画仍像具有神奇的魔法一样，能将我们牢牢吸引。手绘画稿近七万张，历时近两年的呕心沥血的鸿篇巨制一面世便闪现出经典的光辉。从造型设计到人物动作，从脚本到到音乐，每一个镜头拿到现在仍然足以与世界好的动画相比而毫不逊色，这个腰间束着虎皮裙，手舞金箍棒，神采奕奕，勇猛矫健的猴王成人们心目中永远的孙悟空形象。
244$1418019$大闹天宫$M$2012-08-24 09:46:14$0$蟠桃party好热闹～
245$1418019$大闹天宫$Derridager$2016-12-12 20:48:55$2$年少的梦
246$1418019$大闹天宫$小镇咸鱼$2010-06-01 02:07:36$0$几时还能出这种水准的国货？
247$1418019$大闹天宫$草木有本心$2007-05-22 23:25:18$0$这个悟空的造型永远无法被取代了
248$1418019$大闹天宫$英明不神武$2010-09-04 18:39:11$0$用心做的就是跟最近的一些2B电影大不一样，向认真做事的老前辈们致敬。
249$1418019$大闹天宫$漠$2007-02-07 17:27:04$0$国产动画不是没牛过。真牛！！
250$1418019$大闹天宫$aicbgyihai$2011-05-13 23:45:41$0$这个是经典
251$1418019$大闹天宫$oiseau$2012-09-03 06:28:34$0$童年。
252$1418019$大闹天宫$轩煜$2011-01-29 00:04:43$0$将动画与中国国粹完美的结合，中国最好的动画长片
253$1418019$大闹天宫$格伦夏尔$2007-10-02 00:55:23$0$a
254$1418019$大闹天宫$crystal$2011-01-08 19:29:07$0$很好，小时候看的
255$1418019$大闹天宫$无鬼斋$2011-03-15 15:43:00$0$喜庆，戏曲未脱胎。孙大圣的小国寡民和玉帝的大一统。
256$1418019$大闹天宫$李艳红$2012-01-12 12:34:40$0$国产经典动画
257$1418019$大闹天宫$珞琪桑$2010-04-28 17:58:09$0$小时候生病的时候看了无数遍~还是老爸组录影带看的。
258$1418019$大闹天宫$一Drizzt三$2009-05-28 11:01:30$0$中国动画至今无法超越的经典，不是意义上的，是实际上的
259$1418019$大闹天宫$≧▽≦蚊米$2011-06-25 22:08:49$0$儿时的记忆~ 向以前的伟人们致敬~
260$1418019$大闹天宫$拣尽寒枝$2011-12-23 20:09:41$0$原著本就是一个五星级的故事，只要正常地拍出来就至少是一部合格的动画电影，而这部60年代的水准之上的作品完美的诠释了大闹天宫这个故事，更是创造了无可替代的孙悟空形象，六小龄童的表演一定深受这部电影的影响。目前中国最伟大的动画。
261$1418019$大闹天宫$.$2011-07-03 17:00:12$0$经典又经典
262$1418019$大闹天宫$黑手道空段$2014-05-10 21:08:13$0$内中风格
263$1418019$大闹天宫$龙猫爸爸$2007-12-12 04:02:22$0$我感动了
264$1418019$大闹天宫$千代吉法师$2012-02-14 23:11:05$0$70年代的作品，创作出21世纪的意境。可惜、可惜
265$1418019$大闹天宫$但愿人长囧$2010-03-26 17:13:52$0$最经典的国产动画之一，中国动画史上的丰碑，中国电影珍宝，屹立世界久经不衰！——笑
266$1418019$大闹天宫$Mekena Shek$2011-06-20 00:22:33$0$"这个猴子是我们国产动画片的骄傲，到了今天依然得指望着它说事儿～ 
"
267$1418019$大闹天宫$drunkenstain$2010-10-10 23:56:27$0$小时候把碟都看烂的片。
268$1418019$大闹天宫$斉月$2013-04-12 23:20:55$0$京剧和动画的结合真是一个神奇的东西，也许本来就有很多相似点，里面的打斗也像机了京剧，无语个。所以那么多年的动画一直也跳不出那个圈子。里面大腹便便的各路神仙，后现代画风的小甜圈，看似讽刺的猴子们（想起笨拙的虾兵蟹将）最后的入侵恍惚间觉得有点象赛德克巴莱，这种入侵都是相似的么2013#96
269$1418019$大闹天宫$毛豆咔咔$2013-04-23 17:12:07$0$中国最好的动画电影，整片充满了中国画风的柔美，美的不可思议！
270$1418019$大闹天宫$欺霜傲雪$2012-04-05 19:16:42$0$童年记忆
271$1418019$大闹天宫$windyxp$2007-12-16 13:08:32$0$目前中国国内做动画的应该好好学习下这片子，然后集体去跳楼。
272$1418019$大闹天宫$judecheng$2008-06-06 11:57:18$0$为什么过了四五十年我们反而拍不出这样的动画片了？
273$1418019$大闹天宫$半疯子。$2011-05-11 21:49:06$0$好像是小时候看过的。还以为自己没看呢。
274$1418019$大闹天宫$兔子乖乖$2012-01-13 23:15:53$0$不败经典
275$1418019$大闹天宫$bornfreeyolo$2017-05-06 17:54:09$2$经典之作，历久弥新！
276$1418019$大闹天宫$Sherry$2012-04-25 10:02:55$0$其实这种画风真的很好
277$1418019$大闹天宫$Badula$2009-09-06 23:36:32$0$支持少有的优秀的国产动画片~~~
278$1418019$大闹天宫$自由苍穹$2011-09-30 17:41:44$0$牛逼
279$1418019$大闹天宫$扌丁月佥$2017-04-30 18:05:50$2$很有中国特色的动画片，现在的好像越走越远了。
280$1418019$大闹天宫$arisu$2011-07-17 23:34:04$0$中国动画你究竟怎么了...
281$1418019$大闹天宫$阿北$2011-05-03 22:53:59$0$经典中经典！！！！！
282$1418019$大闹天宫$塔塔$2010-09-30 14:56:26$0$小时候的经典
283$1418019$大闹天宫$IRIS$2010-04-30 18:40:34$0$我觉得老孙抱天马和想念小猴猴带仙酒仙果下凡可有爱~\(^3^)/
284$1418019$大闹天宫$davekozg$2013-09-04 08:55:31$2$中国电影史上堪称伟大的作品，毫无疑问的业界良心。万籁鸣老先生千古！
285$1418019$大闹天宫$文漪$2012-12-10 12:51:45$0$蒋公剿匪不利啊
286$1418019$大闹天宫$邹逊$2012-12-14 22:33:52$0$记忆中的经典
287$1418019$大闹天宫$咖啡薄荷糖$2012-09-10 21:58:18$0$无须评论！
288$1418019$大闹天宫$汤先生$2010-06-15 17:40:24$0$"当时觉得孙猴子超拽了！
现在知道是邱岳峰给配的音，不拽也怪了~~~"
289$1418019$大闹天宫$岚小壹时光琐碎$2010-09-01 10:52:01$0$真的是很经典的动画，影响了很多人，65年的动画极具中国风，即使现在看来都能惊叹画工
290$1418019$大闹天宫$左左☮$2008-06-24 02:47:35$0$棒
291$1418019$大闹天宫$陌生的天花板$2007-12-27 02:30:14$0$好老的记忆啊！！……
292$1418019$大闹天宫$小黄豹$2010-04-08 13:18:42$0$海报居然如此艺术性！
293$1418019$大闹天宫$了了$2010-01-04 17:38:16$0$"太经典了 之后的动画水平再没有超过这个的了
可悲 可叹 "
294$1418019$大闹天宫$裸奔的香蕉$2010-03-08 19:52:56$0$儿时经典!!!!!!!
295$1418019$大闹天宫$薏米$2009-05-28 15:43:12$0$10分
296$1418019$大闹天宫$雷厉风行$2008-11-08 15:16:31$0$中国最棒的动画作品~
297$1418019$大闹天宫$Ni9ht_Kid$2011-05-28 14:16:05$0$重新看一遍、感觉很不一样。。
298$1418019$大闹天宫$那山那云那月$2011-07-17 21:54:54$0$猴哥~~猴哥~~
299$1418019$大闹天宫$甜椒Oli$2017-04-21 22:36:26$3$好好看啊
300$1418019$大闹天宫$维鸥$2005-12-15 14:27:38$0$喜欢，漂亮！
301$1418019$大闹天宫$红袖刀$2010-02-20 19:20:05$0$中国动画片这就是巅峰经典了
302$1418019$大闹天宫$The_Carrot$2010-12-21 13:59:15$0$领先时代了一段时间。。。然后就被超越了＝＝
303$1418019$大闹天宫$白影$2010-02-18 19:51:21$2$60年代的作品比现在的国内作品还强，这让人情何以堪！
304$1418019$大闹天宫$Vivie$2013-04-15 22:50:36$0$五星献给那个时代，堪称60年代的鼎峰之作。童年里冬天阳光照耀下被悟空吸引的那个时代一去不复返了。Done，2013年4月15日
305$1418019$大闹天宫$菲林橙$2008-12-20 11:26:13$0$第一部进电影院看的电影，1周岁
306$1418019$大闹天宫$junepig$2009-04-23 14:09:43$0$"细节上的错误就不要纠缠了，主要看画风，叙事，音乐～人物塑造啊，动作设计还是非常有趣地
"
307$1418019$大闹天宫$月亮背后的孩子$2010-11-15 21:58:51$0$现在搞动画的好好看看
308$1418019$大闹天宫$z3n$2012-11-07 13:19:59$0$画的真是精美
309$1418019$大闹天宫$伝説の少女A$2008-04-16 23:25:39$0$国产的悟空兄好~~
310$1418019$大闹天宫$chrissy$2008-12-31 15:46:17$0$里边的片花比较珍贵，还有铁扇公主居然！
311$1418019$大闹天宫$炮灰lz$2010-12-14 19:40:57$0$幸好早了一年，如果晚了一年……
312$1418019$大闹天宫$pika$2009-02-25 15:41:52$0$天啊,所向披靡的猴子
313$1418019$大闹天宫$我不是柏柏人$2011-09-02 03:41:34$0$唔敢确定我细个阵有无睇过晒，但肯定睇过部分
314$1418019$大闹天宫$Daydreamer$2010-12-25 15:45:01$0$重温童年美好回忆~
315$1418019$大闹天宫$晚安好运$2022-10-30 14:06:41$0$补标
316$1418019$大闹天宫$闲得一塌糊涂$2007-02-03 13:56:57$0$10——10分。经典
317$1418019$大闹天宫$金鱼k.$2019-06-22 18:06:06$2$"siff2019 7/10
跟《天书奇谈》同为修复版，但比起前者，《大闹天宫》的修复让我更喜欢——不是追求一种完全的清晰和色彩的“完美”。
很喜欢以戏曲音乐推进情感和情节的叙述方式，动作设计和神态摹写也太好。
对于结局的设计其实觉得蛮有趣，因为孙悟空并没有被压在五指山下，而是有一种“成功反抗权威”的英雄感。或许是值得探讨的。(其实我更喜欢被压的设置。)
看的时候各种周易知识佛道知识刷刷刷地冒出来，和小时候纯粹当故事的感受真的很不一样。西游和红楼都是值得反复看，以不同角度看的。
唯一不满的就是，电影院不是给某些家长寓教于乐的地方。不知道您是把孩子当弱智还是把自己当弱智？平时不做好父亲，此时变身drama queen。最后孩子来一句，“爸爸你能不能别说啦，我想自己看”。哈。"
318$1418019$大闹天宫$熊猫神菁$2010-05-01 15:15:01$0$下了苦功的东西是看得到的。
319$1418019$大闹天宫$pandora刀刀$2012-01-12 18:26:15$0$更想念这一版了.. 一百分制的一千分怀念
320$1418019$大闹天宫$candy$2008-05-18 13:10:56$0$童年回忆
321$1418019$大闹天宫$晶晶$2009-02-07 21:56:34$0$孙悟空，绝对偶像
322$1418019$大闹天宫$流言$2009-06-11 09:22:59$0$5星，因为是超越了时代的优秀作品。
323$1418019$大闹天宫$辉少$2009-03-18 23:44:03$0$算是中国动画史上的名作了,当时动过的动画水平远高于小日本,可惜国内的环境太扼杀人才了!
324$1418019$大闹天宫$吃盆折耳根$2010-12-26 04:00:47$0$哪个中国孩子又没看过呢？
325$1418019$大闹天宫$范比尼希$2010-02-15 07:33:10$0$至今难以相信这片子是那个年代拍的
326$1418019$大闹天宫$火娃$2013-10-14 21:25:38$4$补遗。至少还看得下去~
327$1418019$大闹天宫$Robin$2017-04-10 17:24:48$3$良心巨制，真心希望现在的动画能学着点
328$1418019$大闹天宫$杰诺拉泽$2013-12-08 22:15:41$0$到底是1961还是1965？？？？？
329$1418019$大闹天宫$Jiajiachan$2012-04-01 23:28:17$0$神
330$1418019$大闹天宫$忧郁的迷星$2011-01-31 22:43:19$0$经典
331$1418019$大闹天宫$41shoots$2012-08-18 09:51:26$0$小时候家里就有的碟片，连同猪就是猪兔八哥摆在一起经常看，包括宝莲灯。而现在碟片已经变成下载，国产动画也再没有能入眼的作品，最好的年代啊你们都去了哪里。
332$1418019$大闹天宫$Tyger Tyger$2019-05-28 00:02:02$2$作为70一代，我们大多是在78年复映时候头一次看《大闹天宫》，当时还是上下集的114分钟版本，后来又在影院和电视上看了无数遍~ 我对84分钟的合并单集版并无印象，是否只出了一个40周年的纪念版光盘，还是也在影院公映过，不太清楚~至于那个3D的重新配音版，基本就是美影厂在糟蹋自己的宝贝~
333$1418019$大闹天宫$leon$2012-05-26 02:51:41$0$很久前看过
334$1418019$大闹天宫$远xx$2010-02-20 14:36:35$0$太美妙了
335$1418019$大闹天宫$Lyanna$2009-04-19 10:37:22$0$"那个上天入地无所不能的孙行者啊。
“我要这天再遮不住我眼！”"
336$1418019$大闹天宫$Giant$2012-01-04 18:36:07$0$感觉肯定看过
337$1418019$大闹天宫$Alex$2012-01-27 06:41:29$0$40多年前经典的动画今年要翻拍真人电影，实在不抱太大的期望
338$1418019$大闹天宫$尾生$2011-09-16 22:13:55$0$中国也派出国属于自己的电影，绝对是世界级的，可惜文革之后再也没有了，绝唱啊
339$1418019$大闹天宫$kathyy$2009-06-28 20:23:07$0$30年前我们还有大闹天宫，30年后只能看蓝猫
340$1418019$大闹天宫$Carl$2010-04-08 20:18:26$0$无需多言
341$1418019$大闹天宫$喜悦之地$2013-10-22 11:24:04$0$2020：为什么我们再也没有这么美的动画了？每一帧都可以做插画，上一次被震撼到还是《海洋之歌》
342$1418019$大闹天宫$Hayden Chen$2012-06-25 23:55:51$0$經典怎麼都不過時
343$1418019$大闹天宫$豆瓣逗你妹$2011-05-02 19:59:05$0$和哪吒闹海一样，现在看来问题挺多的 @2011-05-02 19:59:05
344$1418019$大闹天宫$果子$2009-09-07 22:10:15$0$配乐太帅了~~~结局太喜欢了
345$1418019$大闹天宫$Y2K-nostalgia$2014-01-03 16:38:47$1$结局改为孙悟空凯旋花果山，被如来镇压的段落消失了。这一结构性空白表明，《大闹天宫》是个体造反成功的故事，而50-70年代的英雄形象如果不能与“阶级”相联，与“集体”相关，它必然是被批判的对象。
346$1418019$大闹天宫$艾达与英曼$2010-02-20 14:31:33$0$喜欢的就是这个闹，看孙悟空闯祸是儿时最大的乐趣
347$1418019$大闹天宫$JH$2011-09-28 11:04:15$0$国风阵阵。
348$1418019$大闹天宫$拾间集$2011-01-30 17:56:12$0$这就是国产动画~不知道能不能延续下去这种中国风。。。
349$1418019$大闹天宫$襄襄小朋友$2008-04-13 00:28:50$0$愿大圣在天之灵，大闹美利坚！！
350$1418019$大闹天宫$观者$2010-01-01 18:12:01$0$儿时的回忆！
351$1418019$大闹天宫$F.L$2012-01-18 23:00:27$0$话说小时候，此片并不合我胃口……今天我却特地跑到网吧花了五块钱重新看了一遍，并恨不得打上十颗星！哈哈哈
352$1418019$大闹天宫$Oasis$2012-08-07 23:39:10$0$齐天大圣  人生第一个偶像！
353$1418019$大闹天宫$箫然无痕$2012-06-17 22:40:23$0$我以为新版的，还好老版的，星星多给两颗
354$1418019$大闹天宫$空空$2011-10-01 01:45:02$0$伴我成长。
355$1418019$大闹天宫$bird$2012-12-01 15:50:38$0$敬意之外还能否传承？
356$1418019$大闹天宫$Terabithia$2010-08-31 17:50:09$0$向大师致敬
357$1418019$大闹天宫$不加盐$2010-08-07 21:05:32$0$最纯正也是最好的..
358$1418019$大闹天宫$pbbcc$2009-03-03 21:58:20$0$骚
359$1418019$大闹天宫$daydreamer$2011-02-01 11:12:41$0$八岁的时候看的？
360$1418019$大闹天宫$姜头$2012-08-12 22:47:24$0$万籁鸣。
361$1418019$大闹天宫$鬼鬼$2008-04-27 20:55:04$0$还行吧。
362$1418019$大闹天宫$atutu$2009-04-08 21:54:44$0$瞧瞧 咱国产动画 还是辉煌过的
363$1418019$大闹天宫$情绪精致的疯子$2011-08-01 22:33:36$0$经典。。。
364$1418019$大闹天宫$莱因哈德$2008-04-04 15:37:24$0$登峰造极
365$1418019$大闹天宫$往事如烟$2010-02-24 13:43:43$0$"万籁鸣。
绝对永恒的经典。"
366$1418019$大闹天宫$Jon$2009-08-25 00:38:03$0$如此的动画片，希望中国还能再有
367$1418019$大闹天宫$秋刀鱼$2012-08-30 01:54:56$0$1960年到1964年，历时四年时间创作完成，绘制了近7万幅画作，完全凭手工完成的宏幅巨作。缺点是下集打斗场面配音不好。
368$1418019$大闹天宫$Daneestone$2009-09-10 20:38:38$0$小学四年级看了一本书,讲万籁鸣导演的经历,从中了解了一种神奇的物质:硫酸纸.正是这种半透明的神纸,如同神话中的筋斗云一样,将一位最了不起的英雄,永远留在亿万少年七彩的梦中.
369$1418019$大闹天宫$VincentSakda$2011-05-02 17:38:09$0$5
370$1418019$大闹天宫$一贫$2012-03-27 21:49:29$0$就算以今天的眼光来看，依然精彩，何况这还是差不多五十年前的片子。。。只不过几乎不间断的京剧般的敲锣打鼓让耳朵好难受。。。= =
371$1418019$大闹天宫$偶像的演唱会$2012-07-31 14:08:52$0$当初的人用心认真制作，现在只求快速炒作赚钱，扭曲了的思维。
372$1418019$大闹天宫$伪文艺的猫$2011-11-22 00:06:19$0$美好的童年
373$1418019$大闹天宫$欣风$2008-03-08 21:40:58$0$经典 尤其是京剧里面来的节奏感
374$1418019$大闹天宫$咸菜帮老大$2011-07-26 19:22:59$0$在高铁侠横行的现在，还用得着大圣吗.......
375$1418019$大闹天宫$Singin'in rain$2013-05-07 20:05:54$0$中国动画的巅峰，再未能超越。完美的制作，完美的改编。有几处特别逗，尤其是玉帝那个“这，这这这这这。。。”，看完之后几天不由自主一直重复。。。
376$1418019$大闹天宫$魚大人和小黑喵$2007-01-14 16:04:05$0$反正老孙就是偶像
377$1418019$大闹天宫$dumber$2010-01-26 00:44:03$0$又一部中国动画电影的代表作！在社会主义初级阶段，物质极端不发达的阶段还能产生的优良作品，如今在社会物质极大丰富的今天却再也产生不了了，这实在是我们应该反思的。
378$1418019$大闹天宫$囍弗斯$2012-01-24 19:52:42$0$真的很喜欢中国哪个时期的动画片！童年的美好回忆。真的比现在的喜羊羊之类的好很多啊！
379$1418019$大闹天宫$歪瑞奈斯的困困$2016-10-20 13:16:01$1$好的动画是不需要看特效的！
380$1418019$大闹天宫$C+$2012-08-24 15:45:00$0$何时再现中国动漫辉煌。
381$1418019$大闹天宫$李湘$2012-10-24 09:52:46$0$小时候永久的回忆。
382$1418019$大闹天宫$阿卜$2013-10-12 02:46:04$1$拿到现在还是非常完美的啊！！脸谱悟空是大爱啊！！！评分低于四星都是没有审美吗！！！！！！！！！！！！！！！！！！！！
383$1418019$大闹天宫$So Magic$2009-02-06 19:10:13$0$60年代我们就有这样的极品，为什么现在的中国动画几乎都是垃圾
384$1418019$大闹天宫$東子$2011-03-10 20:24:39$0$1964至今以来最好的国产动漫，没有之一。
385$1418019$大闹天宫$milan527$2009-02-09 11:54:40$0$相信看过人的都会给5星的！
386$1418019$大闹天宫$vva$2010-10-25 12:37:24$0$非常精美
387$1418019$大闹天宫$屎霸$2010-08-18 18:34:08$0$怎么现在拍不出
388$1418019$大闹天宫$齐烟九点$2008-12-02 09:40:15$0$国产动画的扛鼎之作。幸运的我们从小就看就爱。才发现这海报太牛掰了！全靠手工历时四年绘制近7万幅画作...
389$1418019$大闹天宫$Burn In Blue$2009-08-06 20:51:05$0$经典的国产动画
390$1418019$大闹天宫$Kevil.Diab$2010-11-04 21:43:49$0$太经典了，国产动画之极致~
391$1418019$大闹天宫$PSH$2011-04-01 12:51:05$0$虽然不太喜欢看动画片，也不知道怎么评，但的确觉得那时候，现在，中国动画怎么就萎了呢？
392$1418019$大闹天宫$NANA東$2012-05-14 23:03:22$0$经典童年国产动画片之一。我们的童年呀。
393$1418019$大闹天宫$D E S E$2013-08-11 14:56:07$0$节奏慢cry
394$1418019$大闹天宫$喵喵咪呀$2012-05-25 19:16:21$0$很好看~很经典
395$1418019$大闹天宫$天花板的光$2011-01-04 17:26:26$0$和现如今粗制滥造山寨遍地的国产动画形成了鲜明的对比。
396$1418019$大闹天宫$裴彬尼$2012-04-30 11:40:34$0$国产动画片始祖
397$1418019$大闹天宫$喻鸣$2013-02-05 17:54:35$1$都快五十年了呢，致敬。
398$1418019$大闹天宫$newman$2008-10-24 21:52:23$0$2008 10 24
399$1418019$大闹天宫$Cynical$2010-04-12 13:25:01$0$我看过最好的中国动画之一
400$1418019$大闹天宫$XY白手$2010-08-05 21:31:20$0$NBBBBBBBBBBBBBBBBBBBBB
401$1418019$大闹天宫$melo$2009-02-08 09:02:52$4$《大闹天宫》从1960年到1964年，历时四年时间创作完成，绘制了近7万幅画作，成为一部鸿篇巨制。没有现代的特技、电脑和数字技术，完全凭手工制作出来的这部动画片。50分钟的上集和70分钟的下集，仅绘制的时间就投入了近两年。
402$1418019$大闹天宫$渡边$2011-04-25 09:17:18$1$怎么动画就可以做的这么灵动，电视剧非要搞那么拖沓呢。
403$1418019$大闹天宫$小野$2012-02-25 11:12:08$0$致敬童年。
404$1418019$大闹天宫$鬼腳七$2010-05-11 20:03:14$4$第一次看还是录像带。。。
405$1418019$大闹天宫$L酱$2009-02-03 07:47:54$0$悟空美！太经典啦，看了好多遍
406$1418019$大闹天宫$泡面娃娃囡$2008-12-09 21:18:07$0$这部做得真是相当的好啊
407$1418019$大闹天宫$科普段子辽叔$2011-06-16 22:15:41$0$给6星也不为过
408$1418019$大闹天宫$Mnemosyne$2014-02-18 12:06:56$0$这个没法说，就是赞！
409$1418019$大闹天宫$Saximoer*$2011-05-23 05:21:06$0$经典之作，历久弥新。
410$1418019$大闹天宫$花二刀$2014-06-01 22:00:02$1$一切都是太白金星的阴谋，录用孙悟空，提示武曲星授予微末官衔，挑起事端，继而在玉帝面前证明李天王等一干人能力不足，明显是挑拨离间。后提出招安，进一步搅乱天庭，借乱夺权。若不是如来佛祖干预，只怕天庭已经易主了。
411$1418019$大闹天宫$昊月明霜$2012-01-10 11:09:23$0$"高分原因：1，回忆
          2，受众广，情节简单又经典，雅俗共赏。
          3，大闹天空是西游记中最精髓的段落。
          4，难以逾越。找不到替代品。 "
412$1418019$大闹天宫$BenkeyChan$2010-12-02 12:31:38$0$中国最好的卡通片，起码系目前为止
413$1418019$大闹天宫$老狼|铁木阿童臂$2006-01-23 01:37:04$0$经典中的经典！！！！
414$1418019$大闹天宫$国产盘丝大仙$2011-10-08 02:33:26$0$向所有的老一代动画作者致敬，这是真的一帧一帧做出来的动画。 中国动画始于大闹天宫和哪吒闹海。   但也止于此了吧。
415$1418019$大闹天宫$★肓★$2009-12-04 18:14:54$0$现在看还是很精美的国产经典！
