$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
29$1292213$大话西游之大圣娶亲$快乐人生$2018-03-18 20:22:00$244$曾经有份真挚的感情摆在我面前，我不懂得珍惜，直到失去了才追悔莫及。人世间最痛苦的事莫过于此。如果上天给我一个再来一次的机会，我会对那个女孩说三个字: 我爱你，如果非要在这份爱上面加个期限，我希望是  ...一万年。
30$1292213$大话西游之大圣娶亲$Cherry$2005-07-12 16:50:16$377$无法理解无厘头
31$1292213$大话西游之大圣娶亲$隔岸观船$2017-01-11 22:40:21$417$你看那个人 好像一条狗啊  当他还是至尊宝的时候 他还是一个人 白晶晶 紫霞 嬉笑怒骂 爱恨纠缠 初爱 初心 最是轰轰烈烈 然而人总是要成长 要入世 要面对现实 要承担责任 要不辱使命 于是变成了孙悟空 带上了面具 学会了伪装 说不清道不明 活得好像一条狗
32$1292213$大话西游之大圣娶亲$Maggie$2017-04-08 14:27:10$798$谁能告诉我这电影到底好在哪?
33$1292213$大话西游之大圣娶亲$Lydia$2020-04-28 18:48:19$145$我看不懂，真的看不懂。我反思自己是不是理解能力有问题？我翻看了好多影评，依旧毫无头绪，没法产生共鸣。我的年龄和阅历，甚至情怀都不至于无法理解一部电影吧。这部几乎人人称颂的港片经典，评分9分以上的电影，真的不是某个年龄段人们的所谓情怀和过度解读推上去的？我真的怀疑人生了。
34$1292213$大话西游之大圣娶亲$雨果$2016-12-23 19:10:41$73$至尊宝在救晶晶时光倒流的路上，爱上了紫霞的故事。紫霞天真的爱情真的很感人。经典台词也一堆。在心里留下了一滴眼泪；我猜到了开头猜不到结尾~~~问题是，至尊宝被晶晶她姐杀了，看到心里的眼泪，那里他不是死了么？虽然15年后重看，发现很多漏洞和粗糙，仍然瑕不掩瑜。
35$1292213$大话西游之大圣娶亲$尹乃文_eleven$2017-04-13 14:56:32$212$那些喷靠情怀圈钱的，我就特别想问，你既然有这个情怀，难道真的还不值那几十块钱的电影票钱？
36$1292213$大话西游之大圣娶亲$钟楼小奶糕$2011-07-06 12:46:07$800$一定有一些电影 永远都不能被超越
37$1292213$大话西游之大圣娶亲$胡小猴$2017-04-22 00:08:50$228$紫霞开始多骄傲啊。从今往后这里的一切都是我的，包括你在内。快叫主人。可是，从至尊宝拔出紫青宝剑的那一刻，他们的关系就颠倒了。爱情是多么危险的事物啊。轻而易举就能毁掉一个人的骄傲。就像毒品一样，能让最矜持的人当众大小便失禁。想到自己的孩子早晚也要落入爱情的陷阱，我就难过得浑身发抖。
38$1292213$大话西游之大圣娶亲$蔺生$2017-04-15 21:08:38$234$至尊宝在梦里叫了晶晶那个名字九十八次， 叫了紫霞七百八十四次。可是他醒来之后还是想跟晶晶成亲，因为他喜欢晶晶有一条一条理由，理由的存在会让人相信很多事。他不知道自己怎么就会喜欢上紫霞，只是，喜欢真的需要那么多理由吗。我也好想去他的良心里，问一问。
