$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
223$1862151$疯狂的石头$放开那个西红柿$2010-07-10 16:23:31$0$老片子，看过，标记一下。
224$1862151$疯狂的石头$阢陧$2009-08-13 22:26:24$0$中国电影的新希望
225$1862151$疯狂的石头$米开朗鸡肋$2010-11-18 22:10:15$0$模仿剽窃抄袭，只要搞得好，就是好作品
226$1862151$疯狂的石头$Teeny$2011-01-13 22:41:37$0$我爱你亲爱的姑娘~
227$1862151$疯狂的石头$Millo$2012-12-20 23:56:55$0$有两杆大烟枪的痕迹，不过无妨，笑得好欢乐，支持国产！五星！
228$1862151$疯狂的石头$Sarah$2006-10-24 13:24:02$0$源于生活，高于生活，哈哈
229$1862151$疯狂的石头$深层次空间$2011-01-13 09:47:25$0$小成本电影的巅峰！
230$1862151$疯狂的石头$FUNNI$2009-07-02 10:27:13$0$想不出这剧本多少人一起写出来的
231$1862151$疯狂的石头$ewquyy$2010-09-04 02:25:54$0$过这么久再看一遍，还是觉得很好看，很经典。剧本、剪辑、演员和配乐都很赞，小制作的典范。
232$1862151$疯狂的石头$井垚鑫$2009-02-25 19:38:29$0$实在是应该狂夸一下这部影片，如果走的是大片，高投资大明星大场面，那简直就是不堪设想的精彩！
233$1862151$疯狂的石头$卖柚子の大猫$2009-05-01 00:09:43$0$老子要的是翡翠~~
234$1862151$疯狂的石头$语然小语$2011-11-16 02:20:14$2$又一部被虚夸的中国电影，它依靠剪辑和速度的元素撑起了，但，毫无生活依据的胡思乱想是致命伤，脏的不能再脏的内心无法撑起中国电影的脊梁！
235$1862151$疯狂的石头$薇薇在发光$2011-03-31 12:04:41$0$喜欢~
236$1862151$疯狂的石头$道道道士$2012-05-06 17:46:57$0$中国电影新台阶
237$1862151$疯狂的石头$yukainju$2010-12-17 23:35:47$0$黄渤井下那句脏口~着实给力~
238$1862151$疯狂的石头$飘起来的空气$2010-03-11 13:20:57$0$本土化的特性。
239$1862151$疯狂的石头$大角$2008-05-01 15:59:19$0$听说是借鉴了法式的幽默
240$1862151$疯狂的石头$子皿与舟$2012-04-05 16:52:26$0$在火车上看的这部神作，笑得让我身边的一个大叔几次用疑似看精神病患者的眼神看着不是抽搐的我。喜欢其中模仿碟中谍等电影的小桥段。剪辑很棒，节奏很紧，笑点很有吸引力。不错不错~
241$1862151$疯狂的石头$沐晓白$2007-11-19 00:40:25$0$没话说
242$1862151$疯狂的石头$AshEly$2012-09-15 17:14:09$0$节奏紧凑，多线叙述，环环相扣，找不到半点纰漏，而且惊喜连连，当你觉得事情快要终结时，剧情却又峰回路转了~国产黑色幽默的神作之一~
243$1862151$疯狂的石头$胖丁$2012-04-16 14:52:26$0$@王府井w个个
244$1862151$疯狂的石头$Utopia$2008-02-13 10:09:05$0$2006.8.19 部在国内吵的沸腾的电影,感谢石头GG他老人家包月的帐号和密码的奉献,马上下来瞧瞧.疯狂的石头,从国内影视道路的角度看,确实是进步.这也是为什么国内观众非常肯定的原因.很明显,片子借鉴了非常多的欧美尤其是法国电影.这使得批评的一方也大杆旗鼓,死不放人.中国电影业娱乐业是落后的,落后并不可能创新,只有在借鉴齐头并进以后,才可能创新.凭借以我们的悠久历史,深厚人文,我们都等待那一天的到来.疯狂的石头确实不深刻,却很娱乐,比起无极,十面埋伏,它确实更大的影响了中国的电影事业
245$1862151$疯狂的石头$不与哈啤论长短$2016-09-22 23:25:06$7$一直对这种所谓黑色幽默无感
246$1862151$疯狂的石头$AdultChild°$2009-02-27 11:00:27$0$ 黑色幽默 。
247$1862151$疯狂的石头$便便伪装黄金$2007-12-12 13:01:12$0$经典!太经典了!大陆难得拍出俗出水平来的片子.
248$1862151$疯狂的石头$韦恩斯坦_李$2007-08-21 17:53:56$0$黑马就是黑马，故事那么好。。
249$1862151$疯狂的石头$咸豆沫$2007-10-09 20:29:50$0$拍的算是不错的了，叙述手法也挺好
250$1862151$疯狂的石头$大尾巴鱼$2011-12-02 14:19:41$0$后半部分有点单薄。看在大陆最近这几年就这么一个像样的导演份上，加一星！
251$1862151$疯狂的石头$江寒园$2014-10-25 13:46:57$1$一次撞车，三个角度。分别各自叙述。
252$1862151$疯狂的石头$benlovingmusic$2012-03-15 15:35:57$0$惊喜连连
253$1862151$疯狂的石头$晚安小姐$2006-10-17 10:07:00$0$挺有意思的.
254$1862151$疯狂的石头$司岱朴$2007-05-06 21:33:07$0$2006年
255$1862151$疯狂的石头$内触妙乐$2012-01-17 14:58:43$0$悬念，笑料，流行语，演员的表演无一不是当年之最。向宁浩致敬
256$1862151$疯狂的石头$Marcela$2011-04-04 22:32:45$0$明显模仿两杆大烟枪
257$1862151$疯狂的石头$张天师$2017-07-26 06:49:38$2$只不过是一部山寨版盖里奇类型电影，当年欺负国人没看过盖里奇罢了，可我更早看过盖里奇，所以当年觉得呵呵呵
258$1862151$疯狂的石头$晨晨的五月天空$2008-08-04 19:29:17$0$赞赞赞咱的 骄傲呐～
259$1862151$疯狂的石头$ivy$2007-08-27 03:55:29$0$"
"
260$1862151$疯狂的石头$hyskoa99$2011-03-01 17:15:57$0$宁浩能靠一部电影成为中国新生代导演的代表，足以说明本片的质量。本片最值得称道的地方，不是开创了一种新的电影叙事风格，而是“在中国”开创了一个新的电影叙事风格。
261$1862151$疯狂的石头$●,$2011-03-10 17:33:54$0$内地的导演，宁浩是个另类
262$1862151$疯狂的石头$找自己$2008-05-23 15:01:03$0$难得的中国的黑色喜剧片，真真假假，假假真真。
263$1862151$疯狂的石头$狗毛any$2011-01-18 15:55:32$0$几乎是中国最好的黑色幽默电影
264$1862151$疯狂的石头$听琴思凡$2010-08-16 02:08:29$0$难得喜欢一点的喜剧
265$1862151$疯狂的石头$君临梦飞$2010-11-26 04:25:26$0$宁浩啊
266$1862151$疯狂的石头$Ume$2008-02-28 10:27:15$0$曾经很佩服片子的编剧 不过在看完麦姐老公的片后才明白原来不过如此。。。
267$1862151$疯狂的石头$Oo龙芽oo$2011-08-29 09:17:43$0$蛮搞笑，蛮深刻。
268$1862151$疯狂的石头$Crazy Wen$2010-03-09 12:49:24$0$嘿嘿
269$1862151$疯狂的石头$oryzhao$2008-02-04 20:31:55$0$笑点很多
270$1862151$疯狂的石头$德拉库拉拉$2007-10-04 00:33:47$0$2007-10-4 0:33:20 9/7.8(714)
271$1862151$疯狂的石头$轩芪$2010-02-12 04:12:46$0$恩，黑色幽默。也算是中国电影的小希望
272$1862151$疯狂的石头$Miss氢气$2010-12-27 21:27:17$0$一点也不搞笑，但是剧情和表现方式还是可以赞一个的
273$1862151$疯狂的石头$llxx8023$2006-07-17 09:15:42$0$非常好看~!!!!!
274$1862151$疯狂的石头$celestebook$2011-12-17 13:50:19$1$每当我从这个角度看这个城市的时候，我就强烈地感觉到，城市是母体，而我们是生活在她的子宫里面
275$1862151$疯狂的石头$西西弗假面$2012-08-15 10:03:53$0$情节紧凑连续 线索设置巧妙 讽刺笑点得当 最关键的是选材是小民视角下的当代天朝 比起天朝同样投入的大量垃圾低成本影片相比 绝对值得上5星了 （昨晚才第一次完整看完- -）
276$1862151$疯狂的石头$DennisChee$2009-12-16 02:12:55$1$有那么好看吗？
277$1862151$疯狂的石头$记得当时有风$2010-12-25 10:03:16$0$看在是内地产的，本来只有四星的，鼓励鼓励~
278$1862151$疯狂的石头$皮蛋瘦肉粥$2008-12-29 20:32:10$0$娱乐片也有技术可言
279$1862151$疯狂的石头$asfishinwater$2010-03-22 19:05:37$0$★★★★☆本土化得相当彻底.盖里奇剪辑的精髓与中国市井情节的完美结合
280$1862151$疯狂的石头$matchredbean$2010-02-07 00:47:10$0$freaking funny...
281$1862151$疯狂的石头$猫猫eko$2006-07-28 16:25:28$0$四川话终于能听懂一点了！哈哈！搞笑的腔调！经典句子不少：我顶你个肺！牌子！班尼路！入行要低调。有智商才能上档次。高科技也比不过生抢的。
282$1862151$疯狂的石头$弃$2007-01-11 16:18:47$0$值得一看的片子，个人觉得看到这样的片子比看到黄金甲这样的大片有价值。
283$1862151$疯狂的石头$坏坏$2012-06-29 15:30:22$0$宁浩的成名作
284$1862151$疯狂的石头$子期已归西$2014-02-14 18:06:51$0$有两杆大烟枪的影子 ~~~比赛车好看
285$1862151$疯狂的石头$巴巴罗莎蠢猫脸$2011-04-21 18:11:29$0$对《两杆大烟枪》的全盘localize，说句过度借鉴投机取巧不为过。
286$1862151$疯狂的石头$怀山鹿$2007-03-04 15:06:50$0$高票房~~当时高中黎老放的时候感叹国产竟有如此之作！~
287$1862151$疯狂的石头$梦魇$2017-04-15 12:44:04$3$有没有和我一样想到了石头
288$1862151$疯狂的石头$mau$2007-01-10 21:00:51$1$有些意思的片子，恐怕离黑色幽默还有距离，也就是搞笑而已
289$1862151$疯狂的石头$泥鳅鳅$2010-02-11 13:06:10$0$头次看真很搞啊
290$1862151$疯狂的石头$mintvanilla$2011-01-01 19:26:14$0$去过罗汉寺~
291$1862151$疯狂的石头$默默仔是呆萌仔$2010-04-29 22:23:30$0$反正就是两杆烟枪的china版～虽然是国内不错的电影～但是！没办法！就是不如烟枪
292$1862151$疯狂的石头$&gt;烏鴉&lt;$2012-09-06 14:40:52$0$终于看这片了……感觉也就这么回事儿……
293$1862151$疯狂的石头$教主饶命$2009-10-08 12:02:28$1$宁浩最大的功劳是将盖.里奇在中国普及化
294$1862151$疯狂的石头$Lan~die$2009-01-01 20:29:45$0$手法生硬，人物不讨喜。但是有质感，值得表扬。
295$1862151$疯狂的石头$豆友1167238$2006-09-19 13:17:11$0$这种片下下看还行买了就看一遍估计，我看完觉得很受骗啊，虽然不算太赖，但是真的不够猛，而且里面有点物化女的老（不过有些美女真的很撮，但是很美）总的来说这个片不就是杂糅的抄袭了好多流行的非主流片么？而且也不消化一遍拉出来。不摆不摆
296$1862151$疯狂的石头$-Lovi。$2010-04-25 13:11:27$0$哈哈。。。看了好多次。很喜欢。
297$1862151$疯狂的石头$Mannialanck$2010-06-02 23:57:55$0$7.
298$1862151$疯狂的石头$匆匆li$2017-03-24 15:03:36$3$好电影
299$1862151$疯狂的石头$文森从牛A到牛C$2012-01-13 22:59:09$0$两杆大烟枪的皮毛
300$1862151$疯狂的石头$lanca$2007-03-14 20:39:39$0$better
301$1862151$疯狂的石头$WIKI魏$2011-01-17 11:46:53$0$标志性
302$1862151$疯狂的石头$Rice$2010-12-06 08:12:49$0$看了好多遍。。。
303$1862151$疯狂的石头$SUOLON$2017-05-18 21:04:00$3$演技派黄渤，黑色幽默电影，演员们都很有演技。
304$1862151$疯狂的石头$Sean$2007-07-28 00:42:20$0$大陆电影一贯真实的风格，又包含了深深的幽默，我喜欢！
305$1862151$疯狂的石头$梁珺$2009-06-06 19:42:37$0$我觉得很一般 
306$1862151$疯狂的石头$阿笨$2011-10-17 22:36:33$0$疯狂的票房，不过真的很搞笑，哈哈哈哈哈
307$1862151$疯狂的石头$烟视媚行$2011-03-03 09:01:22$0$宁浩的一鸣惊人。虽说有盖里奇的意思，但绝对拍出来自己的味道。音乐镜头都运用得很牛逼。
308$1862151$疯狂的石头$合疾||白痴$2008-03-06 10:50:39$0$石头的威力
309$1862151$疯狂的石头$SonicDe$2011-07-13 18:05:30$0$支持！
310$1862151$疯狂的石头$tricky_V$2012-07-30 20:52:39$0$哈哈哈哈哈你妈里个逼的！！！！
311$1862151$疯狂的石头$qianqian$2007-12-12 17:04:06$0$不错
312$1862151$疯狂的石头$吃瓜的小土豆儿$2017-04-05 22:00:39$16$黑色幽默电影，演员演技非常好，喜欢电影的节奏，色彩，值得一看
313$1862151$疯狂的石头$已注销$2017-04-18 20:07:12$3$很喜欢的喜剧，幽默搞笑，演技都很棒
314$1862151$疯狂的石头$林小童$2009-02-16 14:02:35$0$20092春节后，cctv6，btv同一时间放宁浩的访谈，关于疯狂的赛车
315$1862151$疯狂的石头$吴冕之$2006-11-21 00:06:06$0$难得的国产电影
316$1862151$疯狂的石头$漂流瓶bb$2009-04-14 17:53:17$0$宁浩 不错
317$1862151$疯狂的石头$枫露茶$2006-07-11 17:29:04$0$实在不行就虚心地学学洋片也行,起码能当电影看.
318$1862151$疯狂的石头$现在进行时$2008-01-29 00:59:33$0$"最初知道这部影片 是因为刘德华是制片人 投资方 觉得这种大噱头的东西不值得一看 但是还要让我们认识了宁浩 开创了中国电影小成本畅销的先河 开始了中国式的黑色幽默
无关大雅小雅 有点好玩 有点思索就好"
319$1862151$疯狂的石头$暖暖$2008-03-03 21:42:51$0$黑色幽默
320$1862151$疯狂的石头$Fantasy$2008-12-11 10:21:33$0$盖里奇也要跪下
321$1862151$疯狂的石头$只手撕天$2011-08-28 14:50:16$0$喜剧剧本逻辑是经不起推敲的，这部也不例外，难得的是新一代电影人勇于尝试新的电影语言的胆识，一个喜剧看完之后能给人留下点回忆，而不是单单一笑，已然足够。
322$1862151$疯狂的石头$[已注销]$2008-06-19 23:06:20$0$徐峥的重庆话好别扭..
323$1862151$疯狂的石头$能嘛$2008-02-01 21:18:16$0$大烟枪是外国的幽默 这是咱中国的
324$1862151$疯狂的石头$Scorpion$2011-12-25 02:44:41$0$当年看的时候，笑岔气儿了都，后来才知道有模仿大烟枪，不过，依然是部好电影
325$1862151$疯狂的石头$Lies and lies$2008-07-13 01:41:49$2$以前看的。就这点幽默功力啊
326$1862151$疯狂的石头$creasy$2010-10-23 06:33:41$0$难得叫好又叫座的国产喜剧
327$1862151$疯狂的石头$瞪鞋派$2009-04-10 14:24:02$0$第一部可能宁浩还在被骂抄袭盖里奇····到赛车一出··他的能力已经足以能够让人们叫盖里奇滚蛋了····
328$1862151$疯狂的石头$君宝同学$2011-04-21 13:12:43$0$看了好多遍
329$1862151$疯狂的石头$Out Man$2007-12-03 21:13:54$0$中国电影终于有起飞了，好电影！
330$1862151$疯狂的石头$木雅游$2010-01-29 23:52:20$0$虽然比不过老烟枪，但是先从学习别人开始，老老实实学也好过瞎糊弄
331$1862151$疯狂的石头$木馬114$2007-11-29 22:05:08$0$学盖里奇很成功
332$1862151$疯狂的石头$未卜$2011-06-07 02:15:14$0$超喜欢
333$1862151$疯狂的石头$怪奇妇女$2008-08-14 19:31:39$0$勾肩搭背的情节
334$1862151$疯狂的石头$小老虎邱球球$2014-05-20 09:22:41$0$不错
335$1862151$疯狂的石头$小矮人没有童话$2008-07-22 06:56:09$0$为着石头转的众人
336$1862151$疯狂的石头$Vita Kei。$2009-08-09 04:24:38$0$如果没看过两杆大烟枪，它是部不错的电影。但就国内来讲，我给它打四星一点都不亏心。
337$1862151$疯狂的石头$汤圆$2011-12-27 00:42:46$0$里程碑？应该算吧
338$1862151$疯狂的石头$已注销🇨🇳$2011-09-20 22:04:43$0$也算开创了国产喜剧的先河啊 现在想起还是会笑 太经典了
339$1862151$疯狂的石头$全力少年eason$2010-02-02 21:57:52$0$没感觉
340$1862151$疯狂的石头$城大王不是老虎$2011-07-13 21:34:35$0$疯狂的喜欢这个，虽然是几年前看的了，但是太经典了……也是唯一一部刘德华投资有回报的，这种电影要是多一点儿多好，在平凡中看到巨大的身影，然后在黑色幽默里看见小人物的喜怒哀乐，茨威格说过，我们讨厌英雄，我们不喜欢他们是因为我们永远也成不了英雄，所以我们宁可去描写与英雄一步之遥的小人物
341$1862151$疯狂的石头$fight for you$2010-07-30 01:40:33$0$其实远不如两杆大烟枪 但是节奏不错
342$1862151$疯狂的石头$Tony偷你$2009-07-26 01:00:27$0$哈哈哈
343$1862151$疯狂的石头$yocofcjx28$2017-10-11 16:00:47$2$非常经典的黑色喜剧电影，开辟了国产电影黑色喜剧的新时代！
344$1862151$疯狂的石头$嘉 玲$2009-06-16 15:06:21$0$06暑假
345$1862151$疯狂的石头$密使小张$2007-11-18 23:23:27$0$牌子~班尼路~
346$1862151$疯狂的石头$桉树森林13/4$2008-07-25 09:46:24$0$好编剧！
347$1862151$疯狂的石头$小饺卷$2008-08-31 22:33:23$0$大陆片这个印象特别深刻。
348$1862151$疯狂的石头$媚水之珠$2007-09-12 20:46:59$0$看这部电影时我还没看到《两杆大烟枪》，不知道这是部抄袭作品。当时太多太多人推荐这部电影，为这部电影叫好叫到发狂。我看了，没感觉有什么特别。非常令人讶异的是，后来我看了《两杆大烟枪》却十分喜欢。并且我承认两者手法的相似度达到90％。
349$1862151$疯狂的石头$萌萌哒$2017-05-12 18:57:48$5$哈哈哈哈哈记忆力看的第一部方言电影，超搞笑的。喜欢重庆。也想去。
350$1862151$疯狂的石头$半边番茄$2010-03-11 14:42:34$0$难得
351$1862151$疯狂的石头$沉默的若亚$2010-09-20 19:53:39$0$他娘的从头笑到尾
352$1862151$疯狂的石头$打少$2008-01-07 15:36:12$0$不知道为什么~我就是觉得不像评论那样说的好~总是缺了点什么~呵呵~笑的也没怎么尽兴~
353$1862151$疯狂的石头$肚腩小胖$2010-01-13 22:03:55$0$开启疯狂标签
354$1862151$疯狂的石头$平原上的漫游者$2008-10-16 19:44:18$0$这个更好~黄勃~
355$1862151$疯狂的石头$·謎語語語語$2009-05-16 16:08:21$0$哎。。为了块破石头~
356$1862151$疯狂的石头$hiphop$2006-11-20 10:03:21$0$具有乡土气息的模仿之作没，但作为低成本的电影，它做的不错
357$1862151$疯狂的石头$lomo36$2007-05-23 16:03:12$0$继续发展草根力量！
358$1862151$疯狂的石头$VincentTakarai$2008-10-24 13:51:00$0$搞笑的香港大盗：我顶你个肺啊
359$1862151$疯狂的石头$你绝对想不到因为这也出乎我意料$2008-03-02 18:04:13$0$我被逗死了，于是你就功成名就了
360$1862151$疯狂的石头$單行線$2007-07-23 05:06:20$0$有点意思！
361$1862151$疯狂的石头$语无伦次田先生$2007-09-28 14:20:38$0$光怪陆离的事件。
362$1862151$疯狂的石头$j♣lie$2011-04-18 19:40:36$0$我喜欢高速度剧情...
363$1862151$疯狂的石头$活桑→新西蘭$2012-09-03 18:55:18$0$沒有傳說中那麼好笑呢。。。雖然在小成本電影裡面確實算不錯了。
364$1862151$疯狂的石头$神游少年欣小欣$2008-02-18 03:25:16$0$"恰倒好处..
国产片的阵痛剂.."
365$1862151$疯狂的石头$Blue Moon$2010-02-09 23:22:18$0$职业杀手也可以这么sb
366$1862151$疯狂的石头$stknight$2009-02-06 22:55:55$0$宁浩学盖里奇还算是学的不错，不是照搬，而是加入了自己的特色
367$1862151$疯狂的石头$冇有$2006-07-21 03:35:16$0$funny
368$1862151$疯狂的石头$惧色$2009-04-20 14:42:44$0$横空出世，模仿盖里奇也无妨
369$1862151$疯狂的石头$泳池里的蓝$2011-12-30 22:40:16$0$遥远
370$1862151$疯狂的石头$Bailey$2009-01-01 14:31:24$0$惊奇的发现这部现象级的作品，初打分的时候才给了三星，我当时怎么想的？
371$1862151$疯狂的石头$荒也$2019-02-19 23:47:58$1$重看。制片厂时代B级片的气质，是不存在女主角的霍华德霍克斯喜剧。
372$1862151$疯狂的石头$面B$2011-03-05 12:46:39$0$谨以五星，表彰其在国产商业电影领域所作出的贡献
373$1862151$疯狂的石头$一位少男$2006-10-10 23:33:19$0$国产的精华
374$1862151$疯狂的石头$蝈蝈$2012-06-17 22:06:19$0$我就觉得是两杆大烟枪了
375$1862151$疯狂的石头$Rosenmont$2017-07-11 05:35:34$1$太接地气了。故事情节，语言，配乐，人物都中国化到了一个新台阶，这才是属于国产喜剧。黑色幽默，笨贼一箩筐，真真假假的翡翠，莫名的巧合造就了其乐无穷，一环扣一环的搞笑。突然出现的粤语也是惊喜无比。唯一不足的可能是结尾收得有点草率，要再升华一个更高的黑色结尾那就更完美。
376$1862151$疯狂的石头$易$2009-09-22 09:40:13$0$绝对不是抄两杆大烟枪的，倒是和偷抢拐骗有一点相似，但是有原创性是肯定的。
377$1862151$疯狂的石头$狄飞惊$2010-08-02 18:54:14$0$不说了，我就是来记录的。
378$1862151$疯狂的石头$呼$2010-06-20 13:34:41$0$抄，也得看怎么抄
379$1862151$疯狂的石头$黠$2007-12-17 22:24:36$0$从前有座山山上有座城，城头没得神住了一群重庆人。
380$1862151$疯狂的石头$哈姆雷特的石磨$2008-04-19 02:27:13$0$这是一种革命吗?我不这样认为,至少在某一方面是成功的
381$1862151$疯狂的石头$大芝$2012-05-25 17:00:02$0$剧中充满笑点，又充满感动点。
382$1862151$疯狂的石头$Lisa$2007-08-13 10:47:27$0$偏爱新街口多点,顶你个肺~~后后
383$1862151$疯狂的石头$狐卿۩$2006-07-28 02:06:00$0$模仿得不错
384$1862151$疯狂的石头$偶然香芋$2012-03-24 12:35:44$0$一群欢乐的2B，笑得我泪都出来了！！哈哈哈！
385$1862151$疯狂的石头$Eggplant$2010-07-06 15:06:08$0$笑完以后呢
386$1862151$疯狂的石头$妈渴-瞪啃$2011-02-24 16:28:14$0$宁浩消化得不错
387$1862151$疯狂的石头$MetalDudu$2006-07-15 23:12:18$0$笑，还是笑
388$1862151$疯狂的石头$一颗麻团$2006-07-24 14:23:22$0$难得一见 很惊喜
389$1862151$疯狂的石头$思鄉の風$2010-01-02 12:39:07$0$这年头流行crazy
390$1862151$疯狂的石头$Fan$2009-12-21 23:22:19$0$BMW  别摸我
391$1862151$疯狂的石头$无良腹黑井上君$2010-01-26 18:51:06$0$非常精彩的一部神作～
392$1862151$疯狂的石头$鱼丸子$2012-12-22 12:00:04$0$一群傻瓜和一块宝石围绕着偷与守护的故事.
393$1862151$疯狂的石头$半透明$2009-05-16 21:18:48$0$还可以,有点意思.搞笑,娱乐
394$1862151$疯狂的石头$小嶋さとこ$2008-07-15 17:48:15$0$神剧啊~~~~~~
395$1862151$疯狂的石头$小星子~~$2007-12-18 19:17:58$0$。。。
396$1862151$疯狂的石头$Shonleva$2006-08-05 22:03:26$0$没想到四川话这么过瘾,第六代导演的功力不可小瞧,黑色幽默很到位
397$1862151$疯狂的石头$常减常肥的温绮$2007-05-25 01:28:48$0$黑皮黑皮
398$1862151$疯狂的石头$杨咩仔$2013-01-25 12:54:04$0$能不给5分吗？
399$1862151$疯狂的石头$电影未遂$2022-11-30 13:29:30$10$数不清第几遍了，真的是中国最好的喜剧片之一。借鉴很正常，抄袭算不上，最重要的是本土化很彻底，人物立体，细节经得起推敲。要说缺点，只能从制作上说事，经费原因，服化道一般，摄影和灯光也不够好，但是分镜很牛逼，真的是能做到的都做到了。
400$1862151$疯狂的石头$木偶$2007-03-20 11:12:17$0$一石激起千层浪
401$1862151$疯狂的石头$jacqie$2008-02-07 23:40:16$0$一块石头引发的离奇故事，哈哈，中国的黑色幽默电影终于有希望了，希望导演能从一开始的模仿最后成就自己的风格，开创一片天地啊。
402$1862151$疯狂的石头$路可可$2006-09-09 08:32:17$0$镜头不错 搞笑不足
403$1862151$疯狂的石头$蒜 | BOY A✎$2008-02-09 01:12:54$0$2006.7.27 DVD home
404$1862151$疯狂的石头$唱唱反调$2011-01-02 17:46:01$0$不喜欢抽抽的画面感。。
405$1862151$疯狂的石头$Lo$2007-07-16 18:45:05$0$支持
406$1862151$疯狂的石头$雷斯特雷波$2012-04-10 19:05:34$0$中国也有多线程了。。。
407$1862151$疯狂的石头$泰尼$2009-04-17 00:33:27$0$这恐怕是近很多年以来华语电影最大的惊喜和收获了！
408$1862151$疯狂的石头$虎。$2009-05-28 13:10:29$0$牌子~ 班尼路！
409$1862151$疯狂的石头$猫罐头$2010-09-03 09:44:43$0$名气大于好看......
410$1862151$疯狂的石头$catorleo$2007-03-26 11:32:04$0$新尝试
411$1862151$疯狂的石头$mayfly$2008-04-06 18:49:09$0$不错。
412$1862151$疯狂的石头$KL$2009-03-03 20:55:51$0$难得一见的，国产小投入大产出的作品。剧本的创新，令宁浩一炮而红。
413$1862151$疯狂的石头$Daisy♫$2008-04-20 14:15:49$0$小成本大电影。
414$1862151$疯狂的石头$Anday$2011-06-04 12:27:28$0$聪明的宁浩，能走多远？
415$1862151$疯狂的石头$Takuya家小吹吹$2009-09-12 11:44:11$0$看到几个演《生活麻辣烫》的客串演员。哈哈，挺搞笑的，特别是重庆人看到勒部电影，特别有感情！
416$1862151$疯狂的石头$M.差$2009-09-26 16:54:18$0$宁浩 内地的彭浩翔  不过还差点 
417$1862151$疯狂的石头$阝女$2017-02-19 13:57:59$1$天才級別的劇本！
418$1862151$疯狂的石头$Stanley$2008-10-23 20:14:05$0$作揖,再不作揖,我就把你微波了
419$1862151$疯狂的石头$饭夫斯基$2009-08-05 16:20:34$0$不就是两杆大烟枪的翻版吗？我就特么记住黑皮了
420$1862151$疯狂的石头$口腔溃疡$2007-01-31 15:32:16$0$没有传说中的那么好啊
421$1862151$疯狂的石头$木叶$2009-07-04 19:37:18$0$每遍看都会开怀大笑的片子
422$1862151$疯狂的石头$JS$2009-02-07 17:37:15$0$闪光
423$1862151$疯狂的石头$Sunny$2010-02-13 07:16:32$0$First watched 3 years ago,hilarious.  Watched again last night, funny but not as funny.  Its a movie meant to be watched once.
424$1862151$疯狂的石头$momo$2013-01-06 18:25:14$1$哈哈哈，黄渤这费了那么大的劲儿，吃点面包还被人拿刀追杀。
425$1862151$疯狂的石头$PHDD$2010-03-28 03:18:00$0$自认为是国产最棒的影片（宁浩那个有才！！）
426$1862151$疯狂的石头$漫随天外$2008-05-30 17:49:30$0$太巧。
427$1862151$疯狂的石头$KitajimaJunko$2017-01-08 21:05:09$1$多线叙事下出色运用各种类型的蒙太奇，打乱的时间线又构成互为因果的关系，最妙的应该就是相似体转场，看者还没理清思路，电影就已经完成了前后段落表象上的完美衔接。丰富的技巧和凌乱的线索易使人目不暇接，可是过多的技巧和刻意的安插编排也使电影过于注重形式而忽略了事件本质。不是我喜欢的类型。
428$1862151$疯狂的石头$Zola$2011-03-23 23:09:08$0$虽然借鉴了两部盖里奇的电影，但这部中国人自己的黑色幽默电影还是给人惊喜，很好。
429$1862151$疯狂的石头$北野海德$2008-08-30 13:28:38$0$疯狂的石头
430$1862151$疯狂的石头$dizzydancer$2007-12-16 01:08:10$0$al请我在华星看的!
431$1862151$疯狂的石头$arlmy$2008-04-10 19:53:12$1$080410 180519 回看，仿若寓言
432$1862151$疯狂的石头$不过如此$2009-01-29 01:08:57$0$最后一段实在是高
433$1862151$疯狂的石头$白熊大王™$2012-06-25 22:28:59$0$抄得不错
434$1862151$疯狂的石头$你好牛逼$2019-11-28 09:08:46$2$哈哈哈，太搞笑了，郭涛后来咋没什么作品了呢
435$1862151$疯狂的石头$代表月亮rock你$2009-08-01 13:47:48$0$我后来再看了该导演很久以前拍的王菲的MV，实在很难联系在同一个人身上
436$1862151$疯狂的石头$胤$2009-06-27 18:09:31$0$抄袭的胜利，山寨的胜利。
437$1862151$疯狂的石头$流风焰火$2011-10-21 23:20:35$0$大陆多了一位拿的出手的导演
438$1862151$疯狂的石头$哼哼的Edge$2007-10-15 14:51:03$0$值得一看。
439$1862151$疯狂的石头$Skybow$2008-10-01 06:20:47$0$我顶你个肺
440$1862151$疯狂的石头$璃人泪@2011$2014-02-13 16:45:46$0$不喜
441$1862151$疯狂的石头$城南一霸贾十七$2011-06-14 01:34:15$0$过了一百年终于把这个片给看了
442$1862151$疯狂的石头$今朝$2010-12-17 21:30:20$0$不需要评价了吧，你看去吧
443$1862151$疯狂的石头$ZIKE$2008-02-09 04:36:02$0$低成本小制作优秀电影的典型
444$1862151$疯狂的石头$Mr Lefty$2007-09-28 23:37:56$0$虽然抄袭,但难能可贵
445$1862151$疯狂的石头$zonovo$2006-07-17 20:09:17$0$黑色幽默.
446$1862151$疯狂的石头$某J。624$2012-01-31 14:05:36$0$兜兜转转，结尾是亮点。
447$1862151$疯狂的石头$放把火烧了$2008-05-10 00:54:51$0$娱乐片就应该这样拍
448$1862151$疯狂的石头$习习龙卷风$2007-05-06 13:11:47$0$没有评价那么优秀的喜剧
449$1862151$疯狂的石头$蓝颜祸水$2009-08-30 22:25:25$0$看了好几遍。道哥……
