$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
38$1862151$疯狂的石头$蓝下老婆$2017-04-26 11:26:39$13$很诙谐的幽默，这部剧火了黄渤，郭涛
39$1862151$疯狂的石头$你爹语重心长$2017-04-11 14:05:28$27$现象级的电影了。
40$1862151$疯狂的石头$蓝色啄木鸟$2017-04-26 13:17:29$10$这搭配不错，很有戏！
41$1862151$疯狂的石头$徐若风$2012-10-05 10:13:42$7$国产独立里程碑作品
42$1862151$疯狂的石头$斑斑点点$2017-02-27 12:51:55$37$黑色幽默，发人深省
43$1862151$疯狂的石头$shield$2017-02-11 12:16:51$51$这算是黑色喜剧吗？理解不了
44$1862151$疯狂的石头$bornfreeyolo$2017-05-11 19:39:04$11$大爱的一部，太接地气太有意思了，小人物的搞笑，笑点密集贴近生活，全程无尿点！！
45$1862151$疯狂的石头$索扣天天儿$2017-04-12 22:37:33$7$满满的中国味儿的喜剧电影，接地气儿，各种梗接连不断，从头笑到尾，哈哈
46$1862151$疯狂的石头$新桥妖妖$2017-06-02 16:18:13$7$黄渤和徐峥从这里开始出名……
47$1862151$疯狂的石头$柠檬海盐$2017-04-03 20:33:55$7$搞笑
48$1862151$疯狂的石头$月涩$2017-02-18 21:16:31$44$从这部剧开始知道了黄式幽默，认识了这个双智极高的男人。
49$1862151$疯狂的石头$沧海一小生$2017-04-26 06:27:40$8$黑色幽默，剧情不错，演员更不错，个个演技派！
50$1862151$疯狂的石头$少数派的报告$2017-05-27 11:22:33$21$笑点在哪？
51$1862151$疯狂的石头$墨明棋妙$2018-05-11 08:11:42$8$搞笑够疯狂黄渤从这电影里出来
52$1862151$疯狂的石头$:-O一觉醒来$2017-03-25 12:42:30$17$我是石头，我很疯狂
53$1862151$疯狂的石头$Vamei$2012-11-21 13:32:28$9$国产经典，很有本土黑色幽默味道。
54$1862151$疯狂的石头$娜莉梦游仙境$2017-02-23 21:49:41$8$笑的根本停不下来的一部影片！几位主演真的是很用心的表演！
55$1862151$疯狂的石头$櫛森隅$2017-04-02 20:19:50$8$挺有趣的黑色幽默影片，重庆话版真接地气。
56$1862151$疯狂的石头$无尤$2017-04-07 12:13:54$8$大陆喜剧经典之作，黄渤最后从井底爬出看一次笑一次
57$1862151$疯狂的石头$sosovipp$2012-04-05 14:49:01$4$语录：像真的也就是说不是真的。
58$1862151$疯狂的石头$miseria❀$2011-07-01 09:40:51$11$中国式恶搞由此片迈出了重要的一步
59$1862151$疯狂的石头$慕詩$2017-03-18 18:46:34$25$问我为什么那么喜欢黄勃，无条件的去支持他的电影，就是因为疯狂的石头啊
60$1862151$疯狂的石头$高詩遠$2019-11-26 21:25:27$3$前面感觉有点看不懂，可是到后面大家都为了石头费尽心机一下子把我拉进剧情了。川话真的好接地气啊，而且这片子的搞笑也不是那种把观众当傻子的搞笑，这在十几年后今天的国产喜剧片中已经很少了。看完以后不知道为什么留在我脑子里的是那个五万元钱的可乐瓶盖。
61$1862151$疯狂的石头$番茄炒蛋不加蛋$2017-04-16 08:38:48$2$很欢乐，还不错的电影
62$1862151$疯狂的石头$Song³$2008-12-09 12:23:32$4$模仿《两杆大烟枪》，讲究的是线索
63$1862151$疯狂的石头$花落  思量错$2017-05-04 08:36:23$4$黑色幽默的喜剧效果，用反讽的方式映射出人生百态。
64$1862151$疯狂的石头$搬砖侠$2015-05-03 18:31:27$5$国产黑色喜剧的巅峰
65$1862151$疯狂的石头$熊仔俠$2010-02-09 21:26:04$2$黄渤依旧正！故事很紧。
66$1862151$疯狂的石头$Panda的影音$2012-08-07 01:56:42$4$石头不是很疯狂，赛车觉得更疯狂。
67$1862151$疯狂的石头$游坦$2009-12-28 12:51:49$3$借助一句年度流行语来概括本片，那就是《疯狂的石头》这部电影继承了黑色幽默电影的光荣的传统。盖里奇、汤姆提威克、昆汀塔伦蒂诺及所有无厘头港片在这一刻灵魂附体！在这一刻，宁浩不是一个人在拍片，他不是一个人！在他身后，至少还有几千张DVD。
68$1862151$疯狂的石头$战国客$2007-10-22 11:05:35$4$具有中国特色的黑色幽默片，令人捧腹之处比比皆是，好看~~
69$1862151$疯狂的石头$幸运遇见你$2017-03-25 10:34:29$9$好看      喜欢黄渤    这是第一部吧
70$1862151$疯狂的石头$连城易脆$2014-01-01 16:41:21$4$开中国小成本喜剧片的先河！
71$1862151$疯狂的石头$王写写$2009-07-14 21:05:12$4$虽然盖·里奇味儿浓厚，但它就是引人入胜
72$1862151$疯狂的石头$李厂长📖$2017-11-03 13:22:31$2$真好看啊，粗制作但是耐不住演员演技好和环环相扣的剧情
73$1862151$疯狂的石头$苏苏$2011-02-17 01:09:21$0$充满笑点
74$1862151$疯狂的石头$庹博雅$2012-07-12 11:07:47$0$小信号和小手机，加顶你个肺，最后还了结了两条生命……
75$1862151$疯狂的石头$第七大陸$2017-06-01 17:06:36$2$迷影少年本土化环形叙事经典
76$1862151$疯狂的石头$Sancruz$2010-11-08 13:18:27$0$不错，喜欢
77$1862151$疯狂的石头$花椰小C$2011-01-19 21:31:21$0$with u~
78$1862151$疯狂的石头$会笑的昨天$2016-04-13 20:43:31$2$寺庙中的追逐戏在极富中国味道的场景里，配以纯粹的地方戏剧音乐，非常有趣。
79$1862151$疯狂的石头$爱情海$2017-04-25 23:11:16$9$黄渤，黑色幽默效果非常好，笑疯了。
80$1862151$疯狂的石头$一人吃瓜难$2008-11-04 17:09:11$0$我只是不喜欢西川话
81$1862151$疯狂的石头$荔枝超人$2007-03-14 16:24:59$4$31/07/06
82$1862151$疯狂的石头$的云$2007-12-27 22:52:54$0$闹归闹，乐归乐。
83$1862151$疯狂的石头$cassidy$2009-02-23 22:34:58$2$大爱用锤子砸取面包
84$1862151$疯狂的石头$阿罗海$2018-03-04 11:05:18$8$让这块石头砸过来吧！剧里的人都这么想的
85$1862151$疯狂的石头$0932313$2008-03-14 23:37:43$0$Haiz...
86$1862151$疯狂的石头$MAO1BING$2007-03-08 12:25:45$0$还可以~
87$1862151$疯狂的石头$shawnj$2006-07-16 16:52:56$4$模仿盖·里奇和SABU像那么回事，幽默的地方能让人发笑，比很多人强得多
88$1862151$疯狂的石头$炫3D$2017-03-24 18:36:07$6$这是我第一次知道重庆的样子，多年后我去了重庆，这座城市真的与众不同。
89$1862151$疯狂的石头$Hunter$2011-10-12 03:33:33$0$没有两杆大烟枪好看，但已经着实不错了
90$1862151$疯狂的石头$暖暖的阳光$2017-04-27 16:42:15$4$黑色幽默电影
91$1862151$疯狂的石头$圣无常$2010-07-10 22:04:34$0$我以前没标记“看过”么？
92$1862151$疯狂的石头$阿朽$2020-06-07 11:05:51$3$在2006很有趣味了。
93$1862151$疯狂的石头$筱蓝$2008-08-10 22:51:28$0$值得表扬的国产片儿，认真滴搞幽默的人都是值得表扬的
94$1862151$疯狂的石头$Bill$2007-03-13 00:30:02$1$石头
95$1862151$疯狂的石头$文文周$2007-03-02 23:18:33$0$不是神仙但是一条路
96$1862151$疯狂的石头$小A$2013-04-08 05:46:04$5$8 拍得真够糙的，演得也就那么回事，剪辑节奏也有点快……但是毕竟是小制作，人家好歹也花了力气编剧，没有功劳也有苦劳，没有苦劳也有疲劳……
97$1862151$疯狂的石头$yuanhan$2011-02-27 18:58:17$0$《无人区》被毙了!
98$1862151$疯狂的石头$🫀Psyche$2011-04-30 08:18:03$3$第四遍看疯狂的石头，感受那年的郭涛多么会演，杜媛老师的剪辑多么值得一帧一帧来看，值得学习，那年的国产喜剧多么有意思，这两年萎的什么跟什么一样
99$1862151$疯狂的石头$=_=秋叶$2011-01-03 17:42:41$0$难得大陆拍的这么精彩黑色幽默电影
100$1862151$疯狂的石头$一片云$2006-07-27 10:41:21$1$笑，大笑，暴笑。你还想奢求多少快乐？
101$1862151$疯狂的石头$yuanhan$2011-02-27 18:58:17$0$《无人区》被毙了!
102$1862151$疯狂的石头$blb$2009-08-14 00:47:14$0$10年后重看，仍然觉得好，仍然是宁浩最好的。
103$1862151$疯狂的石头$=_=秋叶$2011-01-03 17:42:41$0$难得大陆拍的这么精彩黑色幽默电影
104$1862151$疯狂的石头$夏夏夏夏夏夏夏$2010-08-09 18:48:29$0$猛戳我笑点！！！！！！！萌的一塌糊涂！！！！！！！！！
105$1862151$疯狂的石头$三番目の真红$2006-08-07 01:26:01$2$疯狂并快乐着的中国本土电影
106$1862151$疯狂的石头$月球漫舞者$2008-09-09 11:11:54$0$没有追捧的那么好
107$1862151$疯狂的石头$鹿丸の伪装$2017-05-14 01:02:35$5$重温。感叹各种铺设几近完美！
108$1862151$疯狂的石头$小小白药不能停$2011-04-22 15:54:46$0$有才。
109$1862151$疯狂的石头$豆瓣天后董小姐$2010-11-05 16:09:14$4$NB
110$1862151$疯狂的石头$🌙e-L°。$2010-03-26 04:45:47$1$媽呀  笑死我了   &gt; &lt;，中前段非常好。后面有点闷，不过已经很好了，估计是近几年来，内地最好的影片
111$1862151$疯狂的石头$井行$2012-06-06 19:37:00$1$竟然没有标注过！
112$1862151$疯狂的石头$趙小漁$2008-05-05 00:28:48$0$國內電影人的一次小嘗試，結果還不壞……
113$1862151$疯狂的石头$小变态$2007-08-11 20:42:14$0$因为有老烟枪在，只能评4分，这个没办法。
114$1862151$疯狂的石头$玩儿少$2021-09-29 16:06:23$1$挺有意思的，四方人因为翡翠闹出的一出荒诞喜剧，重庆话也非常接地气
115$1862151$疯狂的石头$★冰凌宫★$2010-05-28 23:40:28$0$不是吧，我记得之前收藏过啊，去看房回来的路上，车子放的本来还以为很灾难呢，结果不错啊！
116$1862151$疯狂的石头$BIGD$2007-09-02 11:02:06$0$笑笑足矣
117$1862151$疯狂的石头$克里斯朵嘎$2011-01-03 13:04:18$0$挺搞笑的片子，拍摄手法令人印象深刻
118$1862151$疯狂的石头$忏聒$2010-05-21 21:53:08$0$抽象 具象都是笑料
119$1862151$疯狂的石头$之彦$2010-02-11 16:17:46$1$黑色幽默，很喜欢
120$1862151$疯狂的石头$避开目光$2008-12-13 14:59:12$0$这也是SKA
121$1862151$疯狂的石头$Anni P$2010-10-12 01:08:13$0$哈哈啊。。搞＝3＝
122$1862151$疯狂的石头$虹口一条龙$2009-02-06 16:18:47$2$公共厕所吗，想来就来想走就走？中国的电影，投资越小，反响越好。
123$1862151$疯狂的石头$一一$2008-06-12 02:12:22$0$7.0/7.7
124$1862151$疯狂的石头$geek$2011-09-23 23:02:54$0$中国希望就这么陨落了
125$1862151$疯狂的石头$zenz$2008-03-20 17:28:19$2$两杆大烟枪的全面本土化，主要的看点还是本土幽默，很好玩，很纯粹的娱乐片。
126$1862151$疯狂的石头$5$2012-04-24 20:17:40$0$当年看完了以后立马又看了一遍！！！！(̴̅ͤ̈́̈́̂̒̄̄́͂̃ͩ͑̀͟б̞̰̹͇̰̯͚̹̻͕̼̬̯̺̘ͥͭ̐͗ͧ̚͟͠ω̱̥͎̫̥͖͉̮̲̥͙̺̯̝̉̄͑ͩ
127$1862151$疯狂的石头$minyee13$2007-11-07 15:43:00$0$我喜欢聪明的导演
128$1862151$疯狂的石头$阿粲曜日骄阳~$2011-01-08 05:22:57$0$继周星驰以后所看的相当有水平, 又好笑的电影
129$1862151$疯狂的石头$刘小青$2010-05-16 23:15:26$0$还行吧。
130$1862151$疯狂的石头$littletwo$2007-07-07 23:22:54$0$a crazy movie
131$1862151$疯狂的石头$kangzhs$2008-12-25 14:48:07$0$诚心之作
132$1862151$疯狂的石头$鲁大师-鲁提辖$2012-01-30 00:00:41$0$此片竟然忘了马，作孽啊
133$1862151$疯狂的石头$frankerstein$2006-07-05 16:44:16$0$模仿痕迹太重
134$1862151$疯狂的石头$madaoooo$2011-01-23 21:51:41$0$赤裸裸的学习两杆大烟枪和投蒙拐骗啊
135$1862151$疯狂的石头$KO DAN$2010-10-23 23:02:54$0$草根式的幽默喜剧。黄渤演技相当风趣，郭涛潦倒的样子不好看，徐峥你演奸商不是很到位。总体来说恶心的挺精彩。推荐！
136$1862151$疯狂的石头$爹 我亲爹$2010-04-08 05:01:40$2$罗汉寺门口的井盖由此出名
137$1862151$疯狂的石头$鴕鳥小姐$2007-12-18 15:19:06$1$我学会了一句脏话~顶你个肺...= =
138$1862151$疯狂的石头$平头阿秋$2009-06-29 18:42:24$0$真棒
139$1862151$疯狂的石头$zongzi$2010-01-31 23:03:40$0$真好玩~！
140$1862151$疯狂的石头$懊恼$2007-12-20 06:40:08$0$做的挺成功。
141$1862151$疯狂的石头$Layla $2008-11-16 01:16:54$0$喜欢武锐配的音乐   可惜然后他就走了
142$1862151$疯狂的石头$安狄$2010-05-14 17:22:13$0$一个宁浩引发的疯狂。
143$1862151$疯狂的石头$龙肥不buy$2006-08-23 22:07:43$0$06.08.23
144$1862151$疯狂的石头$你的芝士$2012-02-18 21:30:10$0$笑毁。
145$1862151$疯狂的石头$大獨家$2010-01-25 21:37:10$0$重庆，盖里奇式
146$1862151$疯狂的石头$亢龙无悔$2007-11-26 14:07:28$0$低成本的票房轰动，内容上适当的模仿，但台词很原创，值得学习
147$1862151$疯狂的石头$小美人鱼$2011-08-12 15:46:49$0$太棒了
148$1862151$疯狂的石头$无题$2018-05-29 09:33:11$6$宁浩导演的经典喜剧电影，影片内容非常接地气，贴近生活反映现实，另一特色是有方言，让人感觉更真实。
149$1862151$疯狂的石头$scarly$2009-01-05 13:57:55$0$小成本制作中的超级经典咯
150$1862151$疯狂的石头$sylvia lee$2011-01-13 17:04:19$0$哟，这个真的好！
151$1862151$疯狂的石头$麦乐脚$2008-05-28 23:43:40$0$"很是搞人的一部电影
"
152$1862151$疯狂的石头$影毒肥佬$2013-09-12 12:24:28$1$最好笑最搞野的就是黃渤先生, 票房帝真不是浪得虛名,  演技關鍵,  最能演喜劇的人演技最好!!! 發哥青云秋生朝偉鎮宇家輝(張梁)都演過很多喜劇!!  被看低的劉華喜劇就少!!!
153$1862151$疯狂的石头$四季烧鹅$2009-01-13 20:20:30$0$介于是国产电影，给五星
154$1862151$疯狂的石头$小牛魔王$2008-08-16 17:41:11$0$我看了7遍了！
155$1862151$疯狂的石头$莫云轩$2009-01-14 21:29:52$0$小成本，大收获
156$1862151$疯狂的石头$浪遏飞舟$2010-01-19 23:54:00$2$“2002年的第一泡屎”，你觉得很搞笑吗？
157$1862151$疯狂的石头$JK$2009-09-25 16:59:20$0$有智商的电影才是好电影
158$1862151$疯狂的石头$至尊寶『x_x』$2008-12-05 23:33:26$0$狗日，高科技，无人驾驶！~这句把我笑翻了！~
159$1862151$疯狂的石头$🌵🌵$2015-08-10 17:02:50$3$拿个锤子砸开抢了就跑 谁能追的上 其实抄不抄不重要 重要的是抄得好不好
160$1862151$疯狂的石头$西北之境$2010-05-19 01:52:22$0$"很喜欢拍摄风格·····太有冲击力了···
很少的剪辑像这样的···老早看的电影····
喜欢···"
161$1862151$疯狂的石头$公主【旋转→私念`】$2007-05-30 21:18:47$1$学了句方言：顶你个肺啊~哈
162$1862151$疯狂的石头$Maggie啊啊啊$2012-04-29 21:31:05$0$真真假假~我也弄不清的~
163$1862151$疯狂的石头$Sean$2009-02-01 23:17:49$0$对影片本身的惊喜多过于对片中包袱的反应
164$1862151$疯狂的石头$putian74$2012-06-18 21:09:25$0$中国式黑色幽默
165$1862151$疯狂的石头$刘康康$2012-12-16 23:42:03$4$就是结尾有点马虎，别的都很不错
166$1862151$疯狂的石头$陈小桃$2007-06-16 02:29:33$0$因为在自己家门口拍的，不过不是很喜欢，总觉得不是别人说的这么搞笑
167$1862151$疯狂的石头$老喻伪文艺$2012-05-25 16:11:53$0$宁浩初长成！
168$1862151$疯狂的石头$宋耗子$2011-02-09 11:53:31$0$还好吧！喝喝
169$1862151$疯狂的石头$Bright Sun$2010-01-17 16:49:24$0$别人喜欢的我不一定喜欢，就比如这部，没什么意思啊？
170$1862151$疯狂的石头$尔黑我！$2012-01-07 00:36:43$0$虽然是小制作，但还是有些许不敬业~ 但带给我们的足够了！
171$1862151$疯狂的石头$donglao$2009-06-13 01:53:12$0$开创了一种电影
172$1862151$疯狂的石头$小样儿$2017-05-31 00:07:00$3$节奏感很好，演员也很有张力，黄渤不愧是实力喜剧演员
173$1862151$疯狂的石头$铁皮骑士$2007-02-06 13:34:10$0$很重的痕迹模仿盖·里奇的 两只大烟枪 与 Snatch ，拍出来还是不错。MD，陈凯歌还模仿黑泽明勒，所以模仿还是讲得出些东西来。
174$1862151$疯狂的石头$息为$2008-07-15 21:42:47$1$小成本怎么了,国产怎么了. 
175$1862151$疯狂的石头$露娜peace$2006-11-14 16:40:23$0$恩，挺牛比了，人家致敬得相当代三个表。
176$1862151$疯狂的石头$Arrhyth$2009-07-25 11:03:14$0$看過的少數算得上的國產片之一。
177$1862151$疯狂的石头$私房歌$2011-09-19 08:54:56$1$聪明的宁浩，能走多远？
178$1862151$疯狂的石头$一个劳动人民$2011-02-09 11:16:31$0$国产片拍到这个程度真的很不容易
179$1862151$疯狂的石头$咗咡$2012-07-31 18:33:26$0$时隔几年回头去看，当初新颖的剧情结构（在国产片而言）确实勾人眼球。
180$1862151$疯狂的石头$眠去$2007-02-10 10:59:05$4$生活
181$1862151$疯狂的石头$蛮吉$2006-07-19 10:01:38$0$中国大陆
182$1862151$疯狂的石头$White Shadows$2010-05-19 01:03:34$0$国产小成本戏剧的大效果
183$1862151$疯狂的石头$旺财sindy$2009-01-09 17:09:47$0$比较经典的喜剧，哈哈
184$1862151$疯狂的石头$ᥫ᭡້໌$2017-02-18 13:51:50$4$还可以吧
185$1862151$疯狂的石头$今年夏天$2010-01-13 21:49:15$0$让你看看什么是专业
186$1862151$疯狂的石头$Chariey$2010-12-20 18:29:00$0$高中的时候和好朋友在录像厅看的，只记得笑得很high~
187$1862151$疯狂的石头$utm$2011-02-25 15:13:37$0$模仿的很有中国特色，好片
188$1862151$疯狂的石头$洋葱圈$2010-02-17 03:35:11$0$赞就一个字，这样的片子，目前来说大陆最上乘了杯具( ⊙ o ⊙ )啊！
189$1862151$疯狂的石头$东呆$2008-09-11 00:28:44$0$不错~
190$1862151$疯狂的石头$豆友37382057$2010-12-21 15:38:52$0$模仿盖里奇的风格
191$1862151$疯狂的石头$啸如$2011-07-24 12:58:58$0$平民喜剧加黑色元素加现代叙事
192$1862151$疯狂的石头$bobobo$2008-02-21 13:53:35$0$非常有新意的电影！
193$1862151$疯狂的石头$二藤润一$2007-08-20 14:01:17$0$进步奖；另外，太像盖里奇的Snatch了吧？
194$1862151$疯狂的石头$师兄在家$2011-06-22 21:33:44$0$疯狂的不只是石头
195$1862151$疯狂的石头$我不会死的$2012-03-04 15:02:01$0$7.5分
196$1862151$疯狂的石头$Archipiélago$2012-08-03 05:39:53$0$黑色幽默
197$1862151$疯狂的石头$第十个缪斯$2010-10-10 22:51:51$5$我居然没收藏过石头。。。。。。。。。。。。。。
198$1862151$疯狂的石头$Alexander$2013-01-02 21:47:25$0$继续mark，虽然借鉴了创意但是好歹这个是良心作，后续的赛车真心看不得
199$1862151$疯狂的石头$Chaos$2008-12-22 20:35:36$0$难得!
200$1862151$疯狂的石头$四郎$2009-12-28 10:08:11$0$第一次觉得自己这么没有幽默细胞，为什么大家笑得前仰后合的段子我一点反应没有。努力过N次，N次都没坚持看完。
201$1862151$疯狂的石头$小心和小欣$2008-03-05 17:55:29$0$中国的喜剧也可以这么让我笑，中国电影有希望了！（抚须淡然一笑）
202$1862151$疯狂的石头$国产盘丝大仙$2009-09-11 10:34:06$0$宁浩的时代来临了。
203$1862151$疯狂的石头$还没想好叫什么$2011-10-31 17:17:43$0$比较搞笑
204$1862151$疯狂的石头$贾俊&amp;PONYO$2010-12-10 17:13:33$0$让死了一样的国产电影又活了
205$1862151$疯狂的石头$圣徒$2008-08-04 12:55:25$0$！！
206$1862151$疯狂的石头$Крис$2012-07-01 10:35:32$0$3.5 真遗憾 盖里奇式电影从来不是我的茶
207$1862151$疯狂的石头$福鹿$2008-10-06 03:21:52$2$想家的时候看一看。
208$1862151$疯狂的石头$潇洒小姐Molly$2010-05-16 14:20:07$1$那个厕所真恶心，都赶上猜火车了
209$1862151$疯狂的石头$Sophieven$2012-05-08 15:08:42$0$也许是因为我欣赏不了这里面的慢幽默。
210$1862151$疯狂的石头$竹或子$2008-06-11 12:13:32$0$顶你个肺！
211$1862151$疯狂的石头$上帝在高处吸烟$2010-11-17 19:41:54$0$抄得还算妙趣横生。
212$1862151$疯狂的石头$仓郡$2009-06-29 13:45:16$0$从多角度看一个问题
213$1862151$疯狂的石头$小豆子$2007-09-20 19:32:10$0$这个我一定要说,实在是太赞了,去年的快乐一半归功于它
214$1862151$疯狂的石头$绿岛小夜曲。$2012-05-25 20:31:32$1$喜欢得不行好么，台词至今都霸占着口头禅好么。
215$1862151$疯狂的石头$王大大$2012-02-08 14:33:50$0$挺普通的，并不是十分精彩。
216$1862151$疯狂的石头$骑马的丁丁$2010-07-28 20:05:49$0$DVD
217$1862151$疯狂的石头$claireC$2011-05-18 16:40:18$0$难道那一年，这部片不是一个奇迹？
218$1862151$疯狂的石头$vii07$2012-03-17 16:49:30$0$这么有名的片子这么晚才看是以为我一直对这种类型不感冒，今个一看这结局立马让我想起了《买凶杀人》&amp;《夺命金》。五颗星给编剧！
219$1862151$疯狂的石头$小鸭鸭$2012-01-13 22:25:22$0$bmw别摸我哈哈哈
220$1862151$疯狂的石头$一计落甘$2008-03-29 00:52:17$1$没炒得那么好
221$1862151$疯狂的石头$幸福超市总经理$2006-07-25 02:13:58$0$中国的黑色幽默
222$1862151$疯狂的石头$半岛$2014-03-29 14:32:47$0$牛逼
