$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$4271894$非诚勿扰2$影联国艺$2010-12-05 22:38:58$504$"比非诚1好看。对于台词方面，故事情结上，比1都下功夫了。几个看点：
1、离婚仪式。搞笑。
2、给活人办告别会。搞笑。
3、有跟非诚1呼应的地方。比如：建国、比如一年一次的内个。
4、有句台词严重讽刺了电视相亲节目《非诚勿扰》
5、葛优真的老了。但还是爱他。爱冯小刚。"
1$4271894$非诚勿扰2$天亮天黑$2010-12-24 23:43:30$234$冯氏幽默+王氏感悟。前半部分许多搞笑的情节都来自生活，有人情味儿，但转折却来的比较突兀，有点儿不明就里。最棒的主演是孙红雷，他的最后一段戏份让人特堵心，尤其是最后的最后，把我难受坏了，擦了点泪，我最受不了听遗言，即便是在电影院。葛优姚晨很可爱，舒淇很美。圣诞快乐，喝瓶红酒，睡了。
2$4271894$非诚勿扰2$春生他娘$2010-12-22 04:34:18$199$非2的辛辣与苍凉、豁然和平静，难道真的没人看到心里去吗？反正姐是哭肿了双眼。生命到底是什么，也拼也淡，最后还是顺其自然。PS：负责任地说，非2真的比非1好多了。真的没有那些人骂的那样差。
3$4271894$非诚勿扰2$卫洒酱$2010-12-16 11:27:23$1388$《非1》说的是，再不相爱就老了；《非2》说的是，再不做爱就死了
4$4271894$非诚勿扰2$荔枝超人$2010-12-05 01:05:14$307$你不诚，我不扰，2。掏钱买票的百姓们，祝你们愉快。
5$4271894$非诚勿扰2$Q。$2010-12-23 00:22:33$173$“谁在前世约了你？”不管别人怎么评价，我个人是十分喜欢《非诚勿扰》，也因此对《非诚勿扰2》特别期待。但纵观此片——拖沓冗长，支离破碎，还时不时来一下广告植入，要不是有王朔在撑着，很难想象……片尾曲歌词用的仓央嘉措的《十诫诗》，也让人觉得十分古怪。好在还有美人、美景。★★★
6$4271894$非诚勿扰2$影志$2011-01-19 01:56:03$63$“没有了激情还能不能不离不弃？时间可以把人拉近，也可以推的很远。活着是一种修行。” 娘的，第一部那么水，第二部居然可以扭转，最后半小时的“人生告别会”，当时我就醍醐灌顶了。
