$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1961963$长江七号$颜良辰$2008-02-12 12:13:47$2352$"你相信我看这部片看哭了吗。
238$1961963$长江七号$[已注销]$2008-05-11 21:11:30$0$还是和你一起看的～～～
239$1961963$长江七号$能嘛$2008-03-28 23:26:20$0$挺逗的.星爷的片子很好识别,平民化的搞笑手法,不滥情的道德优越.
240$1961963$长江七号$pz0$2009-02-04 02:38:33$0$是儿童片把
241$1961963$长江七号$Haru$2008-02-17 13:22:30$0$原来是励志片
242$1961963$长江七号$小小小楼$2010-01-29 03:48:14$0$华人电影史第一烂片
243$1961963$长江七号$瞪鞋派$2009-04-10 14:43:25$0$一堆娃娃都是女生来的···诶··
244$1961963$长江七号$丹$2008-02-05 19:56:43$0$失望啊！
245$1961963$长江七号$想想$2010-01-08 14:50:33$0$不喜欢。。。
246$1961963$长江七号$Out Man$2008-05-27 12:40:38$0$刚开始有点恶心，最后又挺感人的，最最后又很囧。
247$1961963$长江七号$木雅游$2010-01-29 23:56:06$0$他真的老了
248$1961963$长江七号$鸭大人$2008-12-07 14:25:35$0$七仔早就了D仔
249$1961963$长江七号$嘉嘉兔$2010-04-17 10:19:59$1$无法做出评价，虽然尊重周的转型，但是个人不习惯这种风格。下了5，6次决心看，开头的灰白画面，沉闷剧情，让我每次在前半部就睡过去，在这方面，他的催眠效果出奇的好。
250$1961963$长江七号$且歌且走$2008-02-14 23:56:54$0$有几段让我很不爽
251$1961963$长江七号$Yaya~$2009-04-27 19:26:48$0$还行~
252$1961963$长江七号$歌尔德萌$2008-07-17 13:17:45$0$多给它一颗星是因为他的立意和献给孩子的缘故。
253$1961963$长江七号$Pisces$2012-08-12 01:50:17$0$能一部片子里面全是小桥段也不容易撒..
254$1961963$长江七号$未卜$2011-06-07 00:28:28$0$周星驰用心良苦啊
255$1961963$长江七号$JS$2009-09-26 10:28:30$0$许仙后继有人了
256$1961963$长江七号$小矮人没有童话$2008-07-15 21:02:14$0$星爷老矣，尚能笑否?
257$1961963$长江七号$兀$2011-10-30 15:21:50$0$三年前看的
258$1961963$长江七号$捡垃圾的提莫$2008-02-29 16:43:43$0$星爷的电影变味了
259$1961963$长江七号$竹生$2011-12-22 22:09:16$0$七号好萌&gt;&lt;
260$1961963$长江七号$fight for you$2010-10-22 22:29:59$0$我讨厌张雨绮
261$1961963$长江七号$MADAO的万事屋$2012-06-18 17:54:31$0$影院看的，只是奇怪，工人孩子也上贵族学校？
262$1961963$长江七号$桉树森林13/4$2008-07-25 10:23:16$0$垃圾。
263$1961963$长江七号$小饺卷$2008-07-07 11:05:09$0$我爱小七~
264$1961963$长江七号$半边番茄$2008-02-21 13:13:58$0$感觉就像是去富侨做按摩，架势做够了，就是不够爽
265$1961963$长江七号$打少$2008-02-14 15:09:30$0$不大喜欢，好单调，感觉
266$1961963$长江七号$vali$2010-08-18 11:18:18$0$配音问题是最大问题 
267$1961963$长江七号$[已注销]$2011-11-11 13:38:37$0$星爷作品越来越烂了
268$1961963$长江七号$唐伯猫$2008-03-27 18:23:52$0$挺煽情的，呵呵
269$1961963$长江七号$肚腩小胖$2010-01-12 22:43:36$0$感人
270$1961963$长江七号$·謎語語語語$2009-05-19 09:51:44$0$除了这个女孩挺可爱~~别的我就没觉得有啥可乐的了~
271$1961963$长江七号$hiphop$2008-04-07 04:21:34$0$说是喜剧片 它不够好笑 说是剧情片 它不够曲折 说是感情片 它又不够感人 说是科幻片 就这么一个橡皮弹力小人儿 你能说它能科幻到哪里去？
272$1961963$长江七号$蒙大拿$2008-02-19 11:15:50$0$走失周星驰 
273$1961963$长江七号$八点💦$2019-10-02 17:00:13$6$你们现在还觉得烂吗？每次经典都要等到若干年后才被想起吗？
274$1961963$长江七号$神游少年欣小欣$2008-02-18 03:13:27$0$"那个小东西很可爱..
故事感动多余搞笑...
编剧有点太多简单化了吧?
不过周星驰的电影成熟了不少.."
275$1961963$长江七号$忍者神龟$2008-09-13 00:07:10$0$星爷的风格变了····
276$1961963$长江七号$千寻亿选$2010-12-26 17:28:27$0$周星驰的温情
277$1961963$长江七号$Blue Moon$2010-02-08 10:23:15$0$和XY，YFZ在美嘉看的，大失误啊！雷死人不偿命
278$1961963$长江七号$冇有$2008-02-05 22:11:02$0$嘛嘛地
279$1961963$长江七号$luc1en$2008-02-09 20:14:21$2$下一代的霹雳贝贝。我要代理长江七号的那陀屎...假设7仔是坨长毛的青团，那便便的味道应该是...豆沙
280$1961963$长江七号$泳池里的蓝$2011-12-26 22:57:44$0$nothing to me
281$1961963$长江七号$白月光$2011-06-23 00:12:48$0$不给力啊星爷
282$1961963$长江七号$兒子$2008-07-03 14:54:43$0$o(╯□╰)o
283$1961963$长江七号$Bailey$2011-08-17 16:29:19$0$星爷还是脱离了群众啊
284$1961963$长江七号$Shaofa$2008-03-15 00:17:28$0$一定要当成温馨的家庭片来看
285$1961963$长江七号$狄飞惊$2010-11-08 20:12:14$0$千万别因此一蹶不振啊周星星。
286$1961963$长江七号$昆仑有人衣青衣$2016-12-15 13:23:49$3$很多人说不是周星驰成熟的喜剧，可是我很喜欢这部！
287$1961963$长江七号$坏坏小丑鱼$2008-02-26 12:04:59$0$可爱的狗狗成为亮点
288$1961963$长江七号$黠$2008-03-03 12:09:14$0$和四宝的武昌电影院首行
289$1961963$长江七号$a$2011-12-28 14:09:37$0$当时七仔shi的时候都哭出来了·······
290$1961963$长江七号$狐卿۩$2008-02-19 22:57:38$0$欲哭无泪！周星星死了！！！！
291$1961963$长江七号$一颗麻团$2008-09-03 22:42:27$0$电影频道看的 7仔搞笑
292$1961963$长江七号$猫龟🐌$2011-03-31 21:09:03$0$只记得好多小强啊……
293$1961963$长江七号$软蛋黄$2011-12-05 22:32:42$2$星爷配角，徐娇上位。
294$1961963$长江七号$思鄉の風$2010-01-02 13:00:42$0$烂！
295$1961963$长江七号$一只野鸡$2008-05-22 23:15:56$0$周星星同学你变得主旋律了,让我失望了...
296$1961963$长江七号$半透明$2009-05-16 16:48:48$0$烂得不能再烂了,侮辱观众的智商
297$1961963$长江七号$seeme | 北北$2008-02-18 00:12:42$0$我最讨厌的就是做作到死的小朋友 = =！！！ 浪费了我买的贵宾票！！
298$1961963$长江七号$Cherry。$2010-03-04 09:38:32$0$儿童教育..
299$1961963$长江七号$困冬。$2008-02-27 22:33:26$0$冲这可爱的小东西去看的,确实可爱.从出场便开始受欺凌,最后还付出了生命,善良得让人愤怒.这可悲的人世.
300$1961963$长江七号$木偶$2008-02-14 17:00:16$0$无厘头从良
301$1961963$长江七号$水色恒久$2014-03-01 15:44:48$0$剧情简单了点。
302$1961963$长江七号$c7小小$2010-02-23 16:19:40$0$这个电影唯一带给我的只有张雨绮，没有她这个电影本身一无是处，空洞的虚假的说教，星爷好好的当好你的演员才是王道啊！
303$1961963$长江七号$蒜 | BOY A✎$2008-02-09 23:39:08$0$2008.1.30 长虹影院 Mtime时光网
304$1961963$长江七号$K.K.$2008-02-29 22:29:17$0$劣质儿童片……霹雳贝贝＋妈妈再爱我一次
305$1961963$长江七号$yaoyao$2008-02-03 10:42:44$0$喜欢七仔
306$1961963$长江七号$雷斯特雷波$2011-12-24 17:34:27$0$期待了2年的CJ7没有让我失望，我也没有想过会失望，只要有星爷的认真劲就足够了（正宇琼天）
307$1961963$长江七号$Mr.杨$2012-11-29 18:58:26$1$感觉没有以前的作品那么好笑了，星爷不是主角，像是要退居二线。被一个小孩子和一个小生物抢去了风头。
308$1961963$长江七号$虎。$2009-05-08 09:44:35$0$艰辛的背后。
309$1961963$长江七号$Bejdlxl$2012-08-11 10:57:51$2$初中看的，当时感觉不错，也许以成年人眼光看会更苛刻。
310$1961963$长江七号$KL$2009-01-05 23:53:55$0$"星星的转型之作，首次看完颇为忿忿。

还写了篇博声讨，O(∩_∩)O~"
311$1961963$长江七号$Anday$2011-05-14 18:58:29$0$没有功夫精彩，但是7仔很可爱 
312$1961963$长江七号$M.差$2011-01-04 20:26:53$0$给小孩子看的科幻片还不错
313$1961963$长江七号$梦游$2008-02-16 00:27:48$0$和小侄儿一起看的，他看电影笑，我看他笑
314$1961963$长江七号$BBBALL || 进城$2008-03-08 22:55:56$0$可能是星爷长大了
315$1961963$长江七号$薇羅尼卡$2016-02-12 17:25:16$3$竟然没有标记这部片子，不科学。看了不止一遍，电视重播的时候也会看看，比较喜欢徐娇的表演，七仔看多了也比较呆萌，笑中带泪，周氏喜剧人生。
316$1961963$长江七号$狐狸先生的货车$2015-04-15 20:27:07$2$至今想不通老师怎么会看上一个农民工。
317$1961963$长江七号$Icey$2017-03-11 11:20:34$5$长江七号曾经勾过多少小孩儿的心啊。
318$1961963$长江七号$PHDD$2009-12-14 01:20:50$0$很失望..但有些桥段还是很搞..
319$1961963$长江七号$Esther GDB$2011-01-18 18:40:38$0$七仔好玩~
320$1961963$长江七号$小透明🌸$2019-04-05 00:39:50$2$宠物很萌…
321$1961963$长江七号$樂啊樂$2017-09-17 22:23:55$1$补标
322$1961963$长江七号$runforever$2008-03-31 11:55:03$0$我长大了.
323$1961963$长江七号$冉笛$2009-08-23 10:35:24$0$星爷很狡猾
324$1961963$长江七号$Zola$2011-03-24 06:23:16$0$傻傻的剧情，放松一下不错。
325$1961963$长江七号$茜茜$2010-07-20 01:38:41$0$为差评略尽绵力
326$1961963$长江七号$不过如此$2009-01-29 22:27:46$0$又一次星爷纯真童心的展现,可惜剧本弱了点;徐娇的表现虽然可圈可点,但某些状态下过了
327$1961963$长江七号$Jasmine R$2009-05-30 02:24:31$0$完全无语
328$1961963$长江七号$小雨$2010-09-20 22:27:03$0$星爷还是适合演戏=,.=
329$1961963$长江七号$大v$2008-02-11 01:53:58$0$看得想死，不是笑死，更不是无聊死，是被周星星气死的
330$1961963$长江七号$谦谦$2009-02-08 21:46:41$0$其实挺好玩的
331$1961963$长江七号$.$2011-05-07 20:35:49$0$好早了 记得当时挺失望的
332$1961963$长江七号$cherrie$2008-02-14 23:44:48$0$周星驰
333$1961963$长江七号$胖得来要戏$2017-02-11 12:32:05$5$刚上映时跟老婆说这是儿童片，9年后的现在，我六岁的儿子看的津津有味
334$1961963$长江七号$左胸上的吸盘$2009-01-22 12:41:36$6$手法粗，唯一亮点在懒洋洋的派头
335$1961963$长江七号$卡羚$2008-03-30 22:42:50$0$星爷在培养下一代啊~！小家伙演得还不错~
336$1961963$长江七号$zonovo$2008-03-14 22:14:47$0$周星星玩科幻还是不行。
337$1961963$长江七号$习习龙卷风$2008-02-23 01:23:14$0$依然是无厘头，但是感觉周星驰做导演和编剧就没天分……
338$1961963$长江七号$蓝颜祸水$2009-08-31 08:21:42$0$7仔很可爱，其他的就没什么亮点了
339$1961963$长江七号$kikiya$2008-01-31 22:37:48$0$我数一、二、三，你却再也醒不过来……
340$1961963$长江七号$纵你寻$2008-04-11 16:59:22$0$没有意思
341$1961963$长江七号$小子$2008-03-11 13:12:45$0$大忽悠
342$1961963$长江七号$路过蜻蜓$2013-09-26 01:15:21$0$星爷老了，搞笑不再。
343$1961963$长江七号$邹璐炜$2009-10-16 16:05:02$0$七仔。。。太可爱了。。。
344$1961963$长江七号$哗啦啦$2008-02-03 00:09:10$0$返璞归真不是坏事，功成名就也不是坏事，挺好的。
345$1961963$长江七号$red_blur$2010-12-01 17:16:43$0$唉
346$1961963$长江七号$大海$2011-08-13 22:03:04$0$周星驰最差的电影 没有之一！
347$1961963$长江七号$金小神$2008-03-30 20:20:02$0$"7仔乌溜溜的眼珠.
好听的配乐.各占1星."
348$1961963$长江七号$aiya风$2010-05-26 17:15:29$0$以前看星爷的电影的感觉不在了，挺难过了，真心觉得自己老了。
349$1961963$长江七号$大智若鱼$2009-01-30 21:33:35$0$期望越大，失望越大，估计周星驰再也拍不出&lt;喜剧之王&gt;了
350$1961963$长江七号$品客$2008-02-19 00:49:23$0$20块的学生票+一把落在电影院的雨伞+推荐失败遭到朋友逼迫下请的夜宵=HARD FEELING!
351$1961963$长江七号$甜滋味$2010-02-08 23:34:30$0$七仔太可爱了~~
352$1961963$长江七号$大思级$2017-03-25 23:18:57$4$很好看很感人，徐娇很适合小狄这个角色
353$1961963$长江七号$dodo$2009-06-11 20:04:21$0$周星驰玩自己
354$1961963$长江七号$静下来$2008-02-14 16:40:17$0$"""他并没有说过他很厉害啊!难道是我误会了?是不是我错了?我真的错了!!"""
355$1961963$长江七号$迷🐘$2009-09-07 17:50:56$0$失水準
356$1961963$长江七号$Norah$2008-03-01 23:22:45$0$啊？
357$1961963$长江七号$七爷$2008-02-12 19:48:11$0$也许功夫真的是星爷的巅峰之作了？！
358$1961963$长江七号$洛洛$2011-07-24 17:36:25$0$幽默和深度总是难以平衡
359$1961963$长江七号$一黑到底$2008-02-20 19:31:38$0$没什么亮点的电影...
360$1961963$长江七号$01802$2008-02-21 15:09:11$0$实在是很烂的片子，不值票价。太一般了，本来算比较差也行，不过这年头星爷还弄这种，太失败了。
361$1961963$长江七号$公園仔$2008-02-02 23:25:17$0$20080202 2025 UA Shatin
362$1961963$长江七号$jessiestone$2009-02-13 15:23:02$0$09.1.16好像事隔多年的感觉。还行吧。为星爷，虽然是三星其实也跟吴宇森的三星截然不同。
363$1961963$长江七号$M$2008-02-09 15:12:59$0$爛
364$1961963$长江七号$Cobra$2011-07-09 03:18:06$0$星爷老了。。
365$1961963$长江七号$世纪末日卢瑟王$2011-02-09 14:45:17$0$受不了，烂的真蛋疼
366$1961963$长江七号$黑稻子$2008-02-03 17:08:14$0$假专业，真傻逼 分析个屁 我笑了，死去活来
367$1961963$长江七号$骨鲸$2009-04-09 19:56:36$0$编剧惨点儿……中国儿童剧怎么都那么脑残……
368$1961963$长江七号$叶子的歌唱$2008-02-08 23:05:09$0$随便看看
369$1961963$长江七号$leemajia$2011-05-03 20:20:34$0$周星星的电影，很难不支持啊
370$1961963$长江七号$鹌鹑之丘白桃挞$2008-02-01 17:13:16$0$比较可爱
371$1961963$长江七号$西看电影$2011-09-09 17:25:05$0$只能说，还行。
372$1961963$长江七号$轩晢璘$2010-06-05 17:10:00$0$小星星看哭了
373$1961963$长江七号$风向未来吹去$2008-03-11 22:25:01$0$总算做起配角，狗还可以
374$1961963$长江七号$信仰是一种脆弱$2008-10-22 18:23:45$0$星星这次发挥不好
375$1961963$长江七号$渺渺$2012-05-26 00:49:19$0$小学看过的，当时很感动，这情分就给个四星吧
376$1961963$长江七号$Easy$2011-03-16 13:21:38$0$周星驰还是当演员好
377$1961963$长江七号$张迅$2008-02-04 21:54:50$0$面对白发苍苍的星仔不知道该说什么
378$1961963$长江七号$bureaucracy$2011-10-19 22:55:10$0$我们虽然穷，但我们不偷不抢，星爷就是星爷
379$1961963$长江七号$远行的猫$2009-11-12 19:13:20$0$长江七号玩具从此风靡。
380$1961963$长江七号$想我说yes$2011-06-23 13:29:59$0$"有喜剧的桥段，但是很少。主要突写 亲情吧 、
"
381$1961963$长江七号$kobie$2009-07-21 20:55:31$0$星爷老矣
382$1961963$长江七号$lee$2011-04-09 00:53:46$0$2007了
383$1961963$长江七号$skysunny$2008-03-28 13:32:37$0$"虽然七仔很逼真，孩子们很可爱，但是面对一个个单纯得虚假的角色，和褪掉无厘头风格台词，不得不说长江七号只是星爷送给小孩子和大孩子的一场美丽的梦。
也或许，这就足以了。"
384$1961963$长江七号$归云不是海$2021-02-17 16:22:00$5$醉了，一些垃圾都上7分了，就因为是周星驰所以分低？好牛逼哦你们。
385$1961963$长江七号$幻想旅人$2018-10-20 13:37:34$3$"这个豆瓣评分居然才6.4，这班打低分的观众才是真的做作。
星爷的电影，多看几遍，那种滋味都不一样。如果你们觉得做作，那是你们看不懂星爷。
这是用童话故事讲无力的底层的故事，不是做作。
只是，这部电影的国语版配音存在一点问题，石斑鱼的声音，已经不太适合这部电影，比较出戏。"
386$1961963$长江七号$cherry0592$2008-02-03 13:42:51$0$20080203 10：30am 金逸5号厅，别人的赠票，本来是第一排，结果我挤到了最后一排，应该是我年前看过的最好的电影了
387$1961963$长江七号$小核桃$2009-03-07 21:33:07$0$"多么给人希望的外星生物。。。
=，="
388$1961963$长江七号$Cappuccino$2009-12-30 15:39:04$0$烂……开始用特技加用以前桥段制造笑料了……星爷没落了……
389$1961963$长江七号$单线程青年$2008-02-04 00:33:23$0$烂演技+冷笑点+幼稚情节+星爷是配角……烂片。也就那个电脑动画我才多扔一颗星出来。
390$1961963$长江七号$風立ちぬ$2011-06-28 17:59:35$0$蛮适合小朋友看的。7崽真可爱~
391$1961963$长江七号$USTCBao$2010-05-30 23:01:40$0$"星爷的片子越拍越悲情啊
"
392$1961963$长江七号$逆十字の荣光$2009-09-05 19:12:26$0$为毛，我觉得好无聊
393$1961963$长江七号$狐$2008-05-09 23:56:34$0$Stephen Chow的没落……
394$1961963$长江七号$螺丝இ$2008-02-17 22:03:58$0$星爷还是演电影比较靠谱，不过七仔实在是太可爱了~
395$1961963$长江七号$京片儿$2008-12-08 17:29:09$0$做作了
396$1961963$长江七号$Hcaep$2008-07-21 15:49:03$0$星爷老了
397$1961963$长江七号$乐不思蜀$2008-04-29 20:29:10$0$转型？休息吧
398$1961963$长江七号$嘉沐難再續.K$2008-02-20 19:29:02$0$很失望啊很失望.一部科幻亲情伦理惊悚爱情的四不像电影.
399$1961963$长江七号$小素人$2008-06-28 14:51:45$0$感动不了我
400$1961963$长江七号$老天使$2010-07-17 11:12:37$0$周晓狄，你这个低俗肤浅、人面兽心的学生！~
401$1961963$长江七号$zZ$2008-03-04 21:47:56$0$也许是有史以来星爷拍的最烂的片子
402$1961963$长江七号$一日三餐为续命$2011-05-15 17:59:08$0$长江七号在我家箱子里
403$1961963$长江七号$geek$2011-10-16 16:31:33$2$星爷也温柔
404$1961963$长江七号$贝琪$2008-06-23 17:53:56$0$星爷,抱
405$1961963$长江七号$Bill$2008-03-08 16:25:43$0$张雨绮胸好大//shy
406$1961963$长江七号$命--假如...$2008-09-19 12:26:03$0$喜欢结尾得复古舞曲!
407$1961963$长江七号$颜颜$2010-07-16 01:54:16$0$想象力丰富 风格混乱
408$1961963$长江七号$金属$2010-01-04 14:18:12$0$因为是周星驰所以要求总要高一点
409$1961963$长江七号$[己注销]$2011-03-18 10:45:06$0$徐娇还是留短发好看
410$1961963$长江七号$信电影得永生$2012-07-16 18:03:07$0$"此片诞生了一个童星。
里面有贫富差距，还有父子亲情，不能不说周星星导演转型成功。"
411$1961963$长江七号$xiaoiou$2012-03-15 00:18:01$0$以前看的，虽比不上功夫，但是我觉得还好啊！
412$1961963$长江七号$公子吴十$2010-05-09 19:51:08$0$-，- 当年也大哭不止。。
413$1961963$长江七号$甲姊$2009-09-22 08:55:16$0$没看完
414$1961963$长江七号$嗷拜拜$2009-03-18 20:44:40$0$都是你
415$1961963$长江七号$碧落亦然$2008-07-18 16:39:18$0$嗯……无话可说……太无趣了……
416$1961963$长江七号$さらばエリカ$2014-01-11 15:45:45$1$徐娇超级棒
417$1961963$长江七号$胡子一大把$2009-06-11 21:36:15$0$只因为爱这个曾给我快乐的人……
418$1961963$长江七号$atmosphere$2009-06-10 11:57:44$0$唯一一部有周星驰而可以看得下去的电影
419$1961963$长江七号$犬诹$2019-04-02 23:13:32$2$我小时候真的想要一只七仔。
420$1961963$长江七号$Sunman$2011-12-03 19:39:34$0$不是我们的良心都被恶搞吃了，而是打着恶搞的幌子去换良心那根本就不是恶搞，也TM换不来良心。
421$1961963$长江七号$支离破碎$2008-09-28 14:06:59$0$看了开头被雷到了，这哪里是喜剧片，这分明是暗黑系，看到老成那样头发胡子都花白的民工星爷我觉得太虐心了，再看看他的工作环境生活条件，真是惨到不能行。简直比苏乞儿还要底层。许多地方遭到了疯狂剧透所以许多感触荡然无存，比如开头的吃便当和最后一堆CJ7跑出来。星爷的戏份真不多，但是这个不搞笑只专心爱儿子的父亲他演得很好。林子聪戏份也很少，如果没有那幕人后道歉就完全被忽视掉了。这个片子另个特色是所有新人演员从念台词到表演方式无不透着一股很生硬很做作的气息，就像一群不会演戏的人在演戏，应该是故意的吧。
422$1961963$长江七号$润昕$2011-09-24 13:08:43$0$小七特别可爱，“爸爸”也特别辛苦
423$1961963$长江七号$畸零人$2009-02-22 02:10:40$0$多的一星给徐娇，小女孩很棒
424$1961963$长江七号$花痴袭人$2008-02-08 21:48:38$3$好看的儿童片。这绝对是赞美。因为我们没有什么儿童片。
425$1961963$长江七号$unsheath$2009-07-27 23:21:53$0$"科幻、戏剧、温情，看似哪儿都沾边，实际十三不靠。
不是我熟悉的星爷风格"
426$1961963$长江七号$草木有本心$2008-02-23 22:43:05$0$周星驰技穷了……
427$1961963$长江七号$白驹在空谷$2011-08-26 11:10:40$0$好欠揍的孩子
428$1961963$长江七号$鸟甲$2008-06-27 02:00:49$0$网上看的，失望啊
429$1961963$长江七号$兔山小$2008-03-05 19:56:51$0$不好,没有张力,或者说一点力量都没有
430$1961963$长江七号$苏小殊$2008-02-10 22:00:02$0$除了搞笑，更觉感人．可爱的七仔．
431$1961963$长江七号$良夜正迢迢$2008-02-14 19:26:19$0$我等到这盘豆腐时还是很失望的
432$1961963$长江七号$盲忙$2009-01-10 23:18:08$0$不该看 是给小学生看的
433$1961963$长江七号$潜入深水的鬼魂$2012-01-31 10:03:30$0$多年前看的，其实我还挺喜欢的吧 ==
434$1961963$长江七号$lmp$2008-02-13 05:48:20$0$三星还是给七号的。星爷的确有何不食肉糜之误。不过，星爷这么做已经很难得了。
435$1961963$长江七号$小鬼$2008-05-01 10:20:19$0$原来你是个女生么！？
436$1961963$长江七号$蘑菇猫会吐泡$2011-10-30 13:20:11$0$记得看到长江七号死去时还哭来着。。
437$1961963$长江七号$若存$2011-10-01 00:07:19$0$星爷开始转型了
438$1961963$长江七号$natapeng$2009-05-09 01:33:11$0$做表情那一段好厉害啊……放烟花……
439$1961963$长江七号$Valkyria$2012-06-19 13:57:42$0$星爷老矣……
440$1961963$长江七号$火残夜$2008-07-13 20:42:24$0$周星驰很善良的
441$1961963$长江七号$空心人$2008-10-27 21:08:36$0$这回感触不深 星爷的片就是适合以后再回味 前段看功夫又觉得感动的不行
442$1961963$长江七号$冰点之1234$2008-02-05 02:28:43$0$对于周星驰来说只得2
443$1961963$长江七号$戒男$2008-07-11 20:58:48$0$失望，真的很失望
444$1961963$长江七号$kerrysun$2012-08-25 16:45:33$0$5分
445$1961963$长江七号$Yinsu$2009-01-16 23:51:22$0$咆哮教
446$1961963$长江七号$随喜$2016-12-29 04:52:12$1$周星驰不好笑系列第一弹。
447$1961963$长江七号$礼拜文$2008-09-21 14:59:56$0$。。。我都忘了我看过这个了
448$1961963$长江七号$贝克$2011-11-27 18:33:39$0$很好笑
449$1961963$长江七号$littletwo$2008-04-11 19:09:58$3$江郎才尽
450$1961963$长江七号$≧▽≦蚊米$2008-04-05 16:57:15$0$星爷～
451$1961963$长江七号$Nyctomy$2008-02-02 14:21:44$0$那个   7号很逗~其他没什么大的亮点
452$1961963$长江七号$Erizalebeth$2010-12-26 03:07:04$0$为了七仔加颗星
453$1961963$长江七号$yanagi是只$2008-02-12 06:20:43$0$不知道小鸣看完了有没有觉得像期待中的搞笑，我是只在前面部分笑了几声，也已经想不起来了。倒是觉得最后一幕直接截下来作QQ糖玩具狗广告还挺好的。
454$1961963$长江七号$152****5540$2017-07-09 10:12:13$1$不喜欢这个，搞笑不多，故事一般。我还以为是我有问题，一看，原来大家都不喜欢。
455$1961963$长江七号$小鱼@苏樱$2008-05-23 08:34:00$0$哪儿来的那么多蟑螂啊
456$1961963$长江七号$字母君$2008-05-02 19:19:56$0$后来我回忆在电影院看过的最难看的电影。无数的电影在我脑中交错……但是最后我选了我给了三张电影票钱的长江七号
457$1961963$长江七号$强尼 走着$2009-01-01 20:52:33$0$失望
458$1961963$长江七号$narcissus$2008-06-07 01:38:47$0$"覺得沒意思了。
炒作的最厲害的是里面周星星的兒子，現實中周星星的干女兒。但我不喜歡，倒是愣沒發現一直欺負主角的闊少同學也是反串＝皿＝，那孩子太強了!!!
那個七仔還蠻可愛的，但話說回來那是電腦制作＝ ＝＋
http://www.youku.com/playlist_show/id_1402221.html（觀看地址）"
459$1961963$长江七号$不是假发是桂姬$2010-07-03 21:46:45$0$其实还是哭了，因为我有父亲情节什么的
460$1961963$长江七号$Dreamer-Echo$2009-08-24 00:18:47$0$周星星开始打亲情牌 
461$1961963$长江七号$胖胖女超人$2010-09-01 15:31:07$0$星爷还是很深刻地~
462$1961963$长江七号$Lazy Designer$2011-08-19 01:40:00$0$看过
463$1961963$长江七号$kingstarsss$2010-08-03 02:54:22$0$唉，星爷……
464$1961963$长江七号$MiuMiu$2008-02-06 00:14:28$0$天使
465$1961963$长江七号$yadiel$2008-04-07 14:10:06$0$看豆瓣上有人说很怕看到周星驰江郎才尽的样子，是啊，真的希望看到曾经那个周星驰，《大话西游》《国产凌凌漆》里的那个周星驰。只要再出一部这样的作品，相信周星驰能使所有电影人黯然失色。
466$1961963$长江七号$Space Oddity$2010-01-03 01:43:30$2$張雨綺 !!!
467$1961963$长江七号$功不唐捐$2011-11-23 18:35:11$0$我忽然想起我看过这玩意。
468$1961963$长江七号$Hannah$2008-04-15 22:20:42$0$剧情嘛，不说了。那只太空狗肯定看过《演员的自我修养》。
469$1961963$长江七号$paopao$2008-03-27 18:29:17$0$儿童片，嗯
470$1961963$长江七号$xc75675$2010-08-28 15:06:44$0$不喜欢啊
471$1961963$长江七号$慧慧头$2008-09-10 16:45:55$0$七仔很可爱
472$1961963$长江七号$HUAICI WANG$2009-06-16 13:01:23$0$一般吧。
473$1961963$长江七号$艾茉李$2011-12-08 20:17:15$0$真够烂的
474$1961963$长江七号$黑黑黑心肠$2008-02-05 20:24:23$0$哦～他怎么能不犯贱了呢
475$1961963$长江七号$暖鱼$2008-01-31 23:53:46$6$四星：打字幕的时候，很意外，这么快就结束了？这就结束了？这么快就结束了，说明电影不错，让时间变短了；这就结束了，说明电影小段子多，却没有高潮，没有完全释放情绪。
476$1961963$长江七号$但愿人长囧$2010-03-20 00:26:21$0$周星驰最垮的一部电影
477$1961963$长江七号$Zeki$2010-02-16 23:58:19$0$就楞是看出了点ET的味道
478$1961963$长江七号$苏莫$2008-03-06 12:31:27$0$"结尾不尽如人意
但总体还不错"
479$1961963$长江七号$米哑，$2010-03-14 01:30:47$0$我真的没有笑、
480$1961963$长江七号$song$2018-08-22 12:51:30$4$还可以，以前我在看这部片子的时候一直以为小狄的扮演者是个男孩子，现在才知道，小七也超级可爱的，周星驰把爸爸这个角色演出了苍老、辛苦，片子还是有点搞笑。
481$1961963$长江七号$一条小咸鱼$2012-05-25 22:01:41$0$七仔好有爱~！
482$1961963$长江七号$肋骨酱$2008-03-05 12:58:07$0$长江七号太萌了,其它没什么好说的,星爷一辈子都在演悲情的小人物,竟然也成为了喜剧演员.
483$1961963$长江七号$YY$2008-01-30 17:12:43$0$42一张票,非常不值.
484$1961963$长江七号$ymo$2009-09-22 09:57:46$0$堆填区不合适了，打回娘胎吧
485$1961963$长江七号$某J。624$2012-01-31 12:57:15$1$似乎从功夫开始，周星驰的电影就不再能让我爆笑又心酸。
486$1961963$长江七号$大院21#$2019-04-06 04:15:40$2$天啊，我的童年咧！和妈妈一起去电影院看的，很感人呢！！当年七仔真的很红！！
487$1961963$长江七号$苏娃$2008-03-01 09:50:05$0$还行
488$1961963$长江七号$azhen$2010-09-07 13:34:09$0$down
489$1961963$长江七号$欺霜傲雪$2011-03-06 20:27:09$0$进入新千年，随着星爷的急流勇退，香港电影无厘头模式已经结束了。
490$1961963$长江七号$張春秋$2009-09-12 02:02:33$0$没有搞笑起来 憋的紧
491$1961963$长江七号$windyxp$2008-03-28 02:46:01$0$一蟹不如一蟹
