$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1961963$长江七号$颜良辰$2008-02-12 12:13:47$2352$"你相信我看这部片看哭了吗。
41$1961963$长江七号$茹影随形$2017-06-04 16:46:40$12$这算是星爷风格最弱的影片了吧？相依为命的父子生活和星爷总有点那么不合。
42$1961963$长江七号$我lu不会飞$2017-02-28 22:51:36$16$星爷的电影还是不错的，当年的假小子也已经变成了一位亭亭玉立的青春美少女，不错。
43$1961963$长江七号$九尾黑猫$2008-03-31 00:09:29$50$完全看不下去，俗套死了
44$1961963$长江七号$杨大志°$2017-02-11 23:23:50$9$一般，不太喜欢
45$1961963$长江七号$🇦🇷🇦🇷$2017-03-25 21:19:47$13$初中时 学校统一放映的 很好看 我还哭了呢 那是我最后一次看到星爷在电影中出现了 好怀念
46$1961963$长江七号$榴莲妹$2017-06-07 15:52:05$15$父爱如山，童年幻想出来最好的朋友。嗯，不知道自己说什么，不过片子还是可以看的
47$1961963$长江七号$安狄$2010-05-17 22:27:31$0$儿童剧？儿童杯具……
48$1961963$长江七号$乐事$2009-08-05 16:33:34$0$无语，老套。甚至带点无聊和幼稚。
49$1961963$长江七号$璐baby$2017-03-26 08:51:30$7$现在已经忘了剧情了，只记得七仔玩偶很可爱
50$1961963$长江七号$大河马$2010-06-08 06:42:45$0$和周星驰早期的电影怎么能比噢
51$1961963$长江七号$正义B胜$2010-12-22 20:58:05$0$星爷老了，老的有点快
52$1961963$长江七号$LORENZO 洛伦佐$2011-08-08 07:16:59$5$我擦荷兰台居然放这个，而且还全程带字幕的，就是翻译得比较离谱。
53$1961963$长江七号$嘉兴路派出所$2018-04-21 00:06:06$29$经典啊！！！！！！后来的后来才知道那小孩竟然是个女孩，啧啧，厉害了
54$1961963$长江七号$胤祥$2009-09-10 22:32:45$4$结尾让我想起了《红气球》恩……当然，还有ET。
55$1961963$长江七号$元宝宝$2017-03-16 13:47:56$10$这部作品并没有多好的呈现出星爷的特质，感觉是星爷比较弱的作品这一，纯属个人意见。
56$1961963$长江七号$浅笑ソ安然$2017-03-24 17:19:37$5$一般，并没有什么笑点。
57$1961963$长江七号$kalcium$2008-02-01 22:02:01$0$不悲不喜,不能带入.
58$1961963$长江七号$莫云轩$2009-08-04 10:42:24$0$乐点在何方
59$1961963$长江七号$娜莉梦游仙境$2017-03-25 22:05:19$9$长江七号，光看名字，还以为是中国卫星或是火箭名呢，自以为是的认为与科技有关！然而看了影片发现自己错的离谱，这个是讲外星人👽的故事！小狄爸爸为他捡了一个毛绒玩具，恰好是外星人！还是星爷无厘头是搞笑，但此片情感基调有点凄凉！
60$1961963$长江七号$好事发生$2018-08-22 17:16:05$8$当初怎么也想不到那个小男孩居然是徐娇，有搞笑，有催泪，挺好看的
61$1961963$长江七号$REX$2010-07-10 01:29:41$0$看得都快哭了，实在是很烂！
62$1961963$长江七号$外星纪-南庄座.$2012-07-18 12:11:17$0$装13烂片 无聊到要死
63$1961963$长江七号$ᥫ᭡້໌$2017-02-23 20:36:42$7$蛮好看的。
64$1961963$长江七号$樂$2008-04-14 23:26:04$0$还行
65$1961963$长江七号$swan$2008-03-28 22:31:58$0$不好玩
66$1961963$长江七号$蛋蛋蛋大胖子$2010-11-26 17:49:48$0$一点都不好笑
67$1961963$长江七号$霧雨魔理沙$2011-10-09 20:14:30$0$哎。。
68$1961963$长江七号$:-O一觉醒来$2017-03-25 12:53:11$7$嘿嘿
69$1961963$长江七号$Max$2008-02-17 22:59:57$0$9'@080218
70$1961963$长江七号$我有一把小左轮$2008-05-09 21:33:34$2$某个画面会心酸 我总觉得星爷这部电影出发点不单一 时间证明我想多了
71$1961963$长江七号$那谁$2011-05-01 11:23:56$0$我咋觉得你就不适合严肃呢 
72$1961963$长江七号$筱蓝$2008-02-01 00:23:43$2$在电影院难得能再被逗乐，不愧是星爷~
73$1961963$长江七号$尔黑我！$2011-12-31 17:59:11$0$完全不想说这是喜剧片
74$1961963$长江七号$Vince♫$2008-08-06 02:22:19$0$我加你有点晚了。。。。
75$1961963$长江七号$卡卡卡卡卡卡卡$2017-04-07 21:33:49$8$喜欢萌萌哒七仔
