$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$4873490$失恋33天$哈维尔$2011-11-03 23:55:55$2834$"  真正失恋要经过三个阶段：第一阶段当然丧尽自尊，痛不欲生，听到他的名字都会跳起来。第二阶段故作忘记，避而不提伤心事，可是内心隐隐作痛。到了最后阶段，他的名字与路人一样，不过是个名字，一点儿特别意义都没有。
                                   "
28$4873490$失恋33天$蓝下老婆$2017-02-27 15:10:59$51$失恋很难受，要走出失恋很难，走出了失恋会又有另一番天地，这是很多人经历过的，青春就是这样有快乐有痛苦，这样的青春才完整
29$4873490$失恋33天$桃桃林林$2011-11-08 13:43:33$886$典型的小妞电影，也典型的更适合女生。所有的角色刻薄起来，对白都跟一个人似的，那就是来自原作者的。蓝翔技校、非正常儿童中心，很亲切的豆瓣成分。成也台词，败也台词，尖酸刻薄的对白对有些观众很受用，可大段的爱情独白总让人想起配乐诗朗诵，画片式的电影，情节平且无序。两星半。
30$4873490$失恋33天$玉藻前烬$2011-11-09 22:25:19$34$是一部没看过原著没进电影院凭片名就知道讲什么怎么讲的电影，无惊喜也不跌价，值回25元。通片塞满耍嘴皮子的台词，加我不是太喜欢的旁白式叙述，除了贱抹唇膏和仙掉眼泪有看头外，基本可以忽略画面。没有感动没有共鸣没有收获。
31$4873490$失恋33天$Hey Johnny$2011-11-11 09:41:14$33$——“问世间情为何物？”——“一物降一物。”黄小仙的案例告诉我们：爱情里太把自己当回事儿，遭罪！
32$4873490$失恋33天$多看电影爱电影$2017-03-05 07:14:23$30$失恋33天小成本文艺片。要投资没投资，要档期没啥档期，要大牌没啥大牌，但是演员演技真的很好，剧情也合理完美，是国产片的楷模之作！
33$4873490$失恋33天$爱情海$2017-03-25 10:03:34$24$看到这个，让我想起一个豆友，我想跟你说，地球并不会因为你的失恋而停止运转，失恋只是一个过渡期。
34$4873490$失恋33天$shininglove$2011-11-08 17:02:14$27$国产小妞电影的新高度，京派文化后继有人，贫倒你没商量。片中文章的校训是尊师重道薪火相传，bfa自寻亮点。前半段的接地气到了后半段没hold住，华丽丽滴空中楼阁了。
35$4873490$失恋33天$汪星的小公主$2011-11-08 07:15:48$641$我不喜欢文章贫嘴那样。演什么都千人一面。崩溃。和王络丹一样了，没有灵气了。
36$4873490$失恋33天$西楼尘$2013-09-03 21:43:29$20$惊艳的小成本电影，我的自尊虽然一文不值，但是也不容得这样践踏。
37$4873490$失恋33天$袁牧$2011-11-07 09:16:45$327$比想象中好点，拍的太长不紧凑，镜头没什么运动，场景调度也没啥，哥有点坐不住，旁白和对白铺下来的电影，闭着眼睛也不妨碍理解剧情，看着没太大成本，票房应该会好，铁甲钢拳与这个片观众层不冲突，丁丁15号上映还能给它留一周时间，没准还能成个吸金的话题电影，可能是十一月唯一能活着的国产片。
38$4873490$失恋33天$蓝色啄木鸟$2017-02-12 07:40:53$25$虽然轻松搞笑，但并不喜欢也许是好人但嘴巴非常刻薄矫情的人物—王小贱！
39$4873490$失恋33天$璐baby$2017-02-26 19:35:49$15$白百何把失恋的过程演绎的很好，从一开始的歇斯底里 到最后那个名字已经没有任何意义，是每个人都会经历的过程，看完感同身受，另外，王小贱太贱了←_←，扣一分
40$4873490$失恋33天$苏多多$2018-02-10 12:46:33$71$可惜了文章，演技真的不错，本来能成为中国喜剧界的接班人的。人还是不能作，女人不能作男人，男人不能作自己，摊手……
41$4873490$失恋33天$石头星$2017-03-09 22:00:02$14$剧情不喜欢，演技都不错。
42$4873490$失恋33天$Jasmine-YA$2012-09-04 17:48:36$2$不喜欢电影的结尾。原著的结尾更吸引我！
43$4873490$失恋33天$Sophie  Z$2011-11-09 20:32:53$8$陈珊妮的插曲出现两次，都是泪点。
44$4873490$失恋33天$E。$2012-05-23 18:35:25$0$王小贱。
45$4873490$失恋33天$猛汉世雄$2011-11-12 15:28:24$250$能预感到这部片会开启一个怎样的傻逼国产爱情片时代
46$4873490$失恋33天$丁丁$2012-05-24 13:00:01$0$怎么看怎么象电视剧
47$4873490$失恋33天$理想多钱一斤啊$2011-11-10 17:48:39$130$真没劲 无病呻吟
48$4873490$失恋33天$jude™$2011-11-04 22:01:34$19$故事比较紧凑，不做作，文章表现出色，给4颗星，怎么白百合现在看起来那么像王洛丹？
49$4873490$失恋33天$苌苌$2012-05-24 13:13:13$0$想身边有个王小贱自己又不是黄小仙啊
50$4873490$失恋33天$甜椒Oli$2017-03-04 13:44:38$30$过去的别太在意 该怼的就怼回去
51$4873490$失恋33天$尾随滑稽$2012-05-23 22:36:29$0$黄小仙儿……
52$4873490$失恋33天$春风不解意$2018-02-13 16:54:54$70$白百何大器晚成，小妞电影真的是她的主场。剧情不错，文章在这部剧算是亮点了，婚礼那场真解气。
53$4873490$失恋33天$Lavender$2011-11-09 15:46:57$12$前面太精彩了，后面没收好，文章这个角色真颠覆，我也想有个王小贱这样的男闺蜜~~
54$4873490$失恋33天$队长$2012-05-24 16:09:56$0$舍友每每攻击他人都用这其中一句：你以为所有人都是你妈啊
