$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$25824686$变形金刚5：最后的骑士$杰尼杰尼$2017-06-20 08:26:37$4481$从初中拍到我工作，一堆废铜烂铁炸了十年。
28$25824686$变形金刚5：最后的骑士$咩咩咩$2017-06-23 01:45:07$1247$整个电影除了特效能看，其他都是什么野鸡鬼东西啊。为了特效和植入，剧情编的你妈都不认识了，剪辑和逻辑也是一塌糊涂。前一个小时不知所云，看的人简直想愤然离场。整个过程如坐针毡，全程尿点，讲真，观影过程中请随便睡觉，玩手机，上厕所，错过任何一个镜头你都不会觉得遗憾的。
29$25824686$变形金刚5：最后的骑士$Bless_U$2017-06-26 09:45:51$71$不知道是不是没看过前面的原因，看得挺尴尬挺晕的。那个小女孩我也不晓得镜头那么多干嘛的？最见不得这种没脑子只有一腔热血的配角。故事框架很大，但略显浮夸，莫名其妙。冷笑话实在冷，尴尬。但是特效还是不错的，美国英雄电影也就只剩特效了
30$25824686$变形金刚5：最后的骑士$张小北$2017-06-25 09:05:13$247$螺丝打螺母的机器人色情片终于走到了穷途末路，从第一部的5星一路走到了第五部的1星，也算完满了。但因为它还能卖钱，所以估计还会继续拍下去，一直拍出一个宇宙。拜拜了您呐！
31$25824686$变形金刚5：最后的骑士$Brockiller$2017-06-23 03:05:03$424$可能是因为我太困，所以我懵逼了。看完电影有人试图鼓掌，还好全场观众用沉默阻止了他
32$25824686$变形金刚5：最后的骑士$桃桃林林$2017-06-27 23:38:37$155$感觉就是为了铺垫一个庞大的变形金刚宇宙，而去讲了一堆莫名其妙的背景，无用情节和信息太多、太多、太多，看到疲倦。一到文戏的部分就让人打不起精神，当然，动作戏也打得一团乱。这样的电影，真是让人明显感受到审美疲劳到乏味到绝望。另外，现在大片怎么都拍这么长
33$25824686$变形金刚5：最后的骑士$命中注定的爱$2018-02-03 18:54:03$50$3D效果很好，剧情一般，带着情怀去，带着失望回！
34$25824686$变形金刚5：最后的骑士$Leon Winters W$2017-06-23 02:42:32$164$从当年的疯狂这个系列到彻底失望，变2以后水准一路下滑，变5彻底沦为圈钱的烂片，很难过，替派拉蒙感到不值，卖拷贝请言有信，滚吧，开头的酷狗音乐植入广告惊到我了，神TM转折，大黄蜂一嗓子:主公，还记得大明湖畔的蜂蜂吗？
35$25824686$变形金刚5：最后的骑士$rune1121$2017-06-23 00:38:50$299$逻辑 节奏 剧情都崩了。看到一堆狂热粉还在高喊，只要是变形金刚就好看。。这和只要是tfboy就好看的小姑娘有什么区别？？以后真别笑话人家看小时代的。虽然我也喜欢情怀，但是好就好差就是差，胡乱吹捧情怀，只会让制作方不求上进！！
36$25824686$变形金刚5：最后的骑士$瓦力$2017-06-21 07:00:51$141$没有重蹈前作被雷人植入拖垮的覆辙。为了卖更多玩具大量出现然并卵金刚的毛病越发严重、擎天柱黑化洗白快过翻书、反派统统战五！模仿《达芬奇密码》搞“梅林密码”为变形金刚硬溯源强拓世界观、给《变6》打预告，步子太大扯到没谱。虽说双IMAX 3D摄像机拍摄致视效惊人但难掩大场面新意匮乏的尴尬。5/10
37$25824686$变形金刚5：最后的骑士$李小丢$2017-06-24 23:51:51$100$辣鸡，给一星都嫌多，又臭又长，全片无高潮，仿佛看了一百集意难忘那么无聊，如坐针毡。每个人都可以那么尴尬，假大空，所有人物的行为逻辑比卓娅与舒拉，草原英雄小姐妹，董存瑞和刘胡兰更难以理解。社会主义都培养不出这样的英雄，只有卖拷贝可以。
38$25824686$变形金刚5：最后的骑士$曾良君$2017-06-23 22:53:29$101$一部爆米花电影，竟然能让人完全不知道它在讲什么，拯救世界和儿戏一样。
39$25824686$变形金刚5：最后的骑士$核斗$2017-06-23 09:30:56$115$"截止到23号上午9点，《变形金刚5：最后的骑士》 的内地票房就赶超它北美首映日票房了，首周三天票房有望达到16亿。

事实证明，只要让你爽过，即便他是个渣，他现在能力不行了，依然还会很多人爱他。

没错，中国人就是这么恋旧。"
