$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
20$1578714$神奇女侠$frozenmoon$2017-06-04 13:02:40$846$手撕鬼子+伪女权+超级英雄+反战情怀…一切投机元素的集合。女主角被塑造成既性感又呆萌的形象，有着成熟的肉体和连雪花都没见过纯洁，这本身就是男权视角的，还非要表现得特别女权化。
21$1578714$神奇女侠$旧书君$2017-06-01 00:00:13$883$第一感觉是Bright，仿佛不在DCEU。奠定亲民基调。它很好，不仅仅在于女性英超，也好在它就是一部普适改编的起源开篇。这点就值得满分。公主的每套衣服都帅出血、派派全程明目张胆开车、阿瑞斯的人设反差达成预期。对了对了，DC的LOGO新片头甩M家综艺节目片段集锦几条街！
22$1578714$神奇女侠$邓安庆$2017-06-07 16:29:25$178$带两个小侄子看的，生怕有过火镜头，看完可算松了一口气。出来后，我感慨了一下，“女主角还是挺好看的啊！”小侄子大声说：“叔叔，你是个大色狼！”我……
23$1578714$神奇女侠$裘笛$2017-05-30 23:20:26$154$3.5，中規中矩的起源電影。導演調度動作戲也有相當水準。從壕溝打進小鎮那段尤其出彩。但意外的是最豐富的角色與演繹反而不是WW，而是Chris Pine演的Steve，一個凡人，在戰爭中看盡一切，有許多遺憾與無力，也懷疑過，但仍然堅持信念。演得很好，倒是對比下Gal Gadot文戲較為短板，是以武戲彌補
24$1578714$神奇女侠$基瑞尔$2017-06-01 16:31:07$74$可能事前对Gadot本人以及WW这个角色有太多期待了，所以对这个故事观感一般般。觉得评论界比较不苛刻的评价很大程度基于里面传达的女性主义和平等的赞扬---当然在这个时候这件事变得十分重要。基于历史背景的传达也有加分。【后半段有一种“刚刚开始高潮怎么就完了，但好像都演两个小时”的感觉。】
25$1578714$神奇女侠$风间隼$2017-05-31 23:31:13$86$特效之外，加朵女王曼妙的身材和写实的一战背景撑起了影片的阴阳两极。最好看的是战场冲锋一幕，从亮相开始，到钟楼突破结束，节奏和场面都撑得起“神奇”二字。最后的兄妹对决反而流于过分依赖特效的俗套了。那些动不动就扯到“女权”的，莫非不知道有一路动作片就叫做“girl with gun”么？
26$1578714$神奇女侠$托尼·王大拿$2017-06-02 17:45:55$53$"除非有超乎常人的丰硕才华，否则""不折腾""就是搞类型片的巨大美德"
27$1578714$神奇女侠$朝暮雪$2017-06-02 12:47:21$539$"从盲目认为人类都是善良的；
到发现战争的恐怖之处，发现杀死鲁登道夫并不能阻止战争，因为人性就是如此，于是，她认同“人类不值得拯救”；
再到被史蒂夫等人不惜以生命为代价战斗到底的品质所感动。
从井底之蛙，到有所见识，知道了丑恶的存在，再到见识得更多，发现善恶是并存的，这就是成长。
世界上只有一种英雄主义，那就是认识生活的真相后依然爱它。
刚刚来到伦敦，史蒂夫对她说真话，她不理解；
帕特里克·摩根（阿瑞斯）伪装成平易近人的样子，她就信以为真。
宁愿相信虚假的美好，也不接受真实的丑恶。导演将神奇女侠初入社会，不懂人情世故的形象刻画得太细腻了。
不夸大女性，不贬低男性，不谄媚，不意淫，不矫枉过正地认为优秀的女性必须单身、必须不需要男性的陪伴，最重要的是它不标榜女权，从来没有说自己是一部“女权电影”。"
28$1578714$神奇女侠$欢乐分裂$2017-06-02 14:50:31$41$3.5；从远古神话的油画中幻化出神迹与争斗，开篇天堂岛美得不可思议；真·女神如何褪去自身怯弱，成长为真神，暖心男票和绿叶龙套助攻，打斗场面慢镜头全方位开启加朵美颜（选角百分百正确完美），感情戏套路虽老，但铺陈细腻，结尾煽情，“我希望有更多时间……”不同场景的色调差异明显，用心的。
29$1578714$神奇女侠$雾中风景$2017-06-02 02:34:17$304$吓死了，感觉我看了部起点上的玄幻穿越文
30$1578714$神奇女侠$遇见彩虹🌈$2017-11-27 10:50:42$25$女超人，很美也很燃。特效和画面大赞。
31$1578714$神奇女侠$朝阳区陆依萍$2017-05-31 23:25:16$216$挺好看的，盖尔·加朵是真美！但不太欣赏导演对其她女性角色以男人婆或粗线条的形象出现，除了拯救世界，女主还是太单薄，最后觉醒的台词太蠢。但这位女导演有做的非常出色的地方：1.男主很帅，很风度，很可爱；2.有些地方挺甜的，看完真想恋爱。#至于DC到底是什么风格，大概就是画质比较黑吧#
32$1578714$神奇女侠$王xx$2017-06-06 22:28:41$44$每个人心中都有一个神奇女侠，也都有一个阿瑞斯。本片中，神奇女侠作为所有人类心中的爱及和平之神，她的表现是人类为了和平所采取的行动，和所做出的牺牲的外化。特雷弗是一个平凡人类的代表，他也是把神奇女侠所代表的和平和爱带到人间的桥梁。这是一部立意崇高的电影，如果以神话的象征手法来理解。
33$1578714$神奇女侠$深夜声噎$2017-05-31 23:03:12$429$I wish have more time…to二刷！！！
34$1578714$神奇女侠$荔枝超人$2017-06-02 17:49:26$41$女导演拍女侠，原本以为会比较婆妈的围绕故事和情感线大做文章，结果除了比较饱满的情节和还算丰富的情感外，没想到最厉害的居然还是动作戏。WW初登战场那段“漫画片cross战争片”的连场动作戏华丽流畅又不失黑暗粗暴的独特风格（尤其是侧身跃出玻璃窗外那个shot）可是相当漂亮！
35$1578714$神奇女侠$過期貓糧$2017-06-03 00:18:23$184$相当平庸，没有剧情。前面的战斗还能看个新鲜，再往后就腻了，招式除了回旋踢就是回旋劈。情节漏洞百出，还以为几个配角能打出个combo，结果打出个酱油。女主的心路历程特别中二，对人类由爱到恨，最后被男主睡服又相信爱…小姑娘你要走的路还很长啊。不过对于DC来说能看就已经是奇迹了。
36$1578714$神奇女侠$搞事的豆豆$2017-06-01 17:54:29$1448$"好久没看过这么难看的超级英雄片了....上次看超级英雄电影觉得“这特么是什么鬼”的时候应该是看铁人3最后一堆铁人在天上炸烟花那段，简直同样的一脸懵逼
最后大boss跑出来莫名其妙，我是少看了一段吗请问
真是白瞎我卢平教授了，这么低能的反派，千里送人头，然后死于话多，简直在逗我
"
37$1578714$神奇女侠$射革$2017-06-02 22:09:54$51$不知道那些口口声声说人物没改变的人是怎么看的电影。大概是爱看漫威导致看超英片习惯性不带大脑，所以看dc也就同理了。可惜写影评的时候却自动开启双标模式哗众取宠。
38$1578714$神奇女侠$小水$2017-06-03 00:48:38$245$极端幼稚、轻浮、浅薄，这也是我讨厌大多数超级英雄片的主要原因，三岁以上的人看到这种片理应感到愤怒！
39$1578714$神奇女侠$幻觉的黎明$2017-06-02 08:39:25$298$DC一姐坐稳了送你上天
40$1578714$神奇女侠$圣墟$2017-06-01 15:05:57$268$选角选的太正确了！！！黛安娜拯救了DCEU
41$1578714$神奇女侠$t0psh1t$2017-06-02 15:29:27$90$就这也能拯救DC？幼齿到像看了场美少女战士 还信真爱救世界呢我的天🤦
42$1578714$神奇女侠$小明$2017-05-31 22:18:12$55$一部弯男看了会变直，直女看了会变弯的电影
43$1578714$神奇女侠$柴斯卡$2017-06-03 00:54:16$94$爱情戏好感人啊 简直泰坦尼克 我都快看哭了 凤凰女进城 家长过度保护 少男一夜春梦 各种服务镜头 终极美人鱼物语 我要整牙 我要锻炼 我要当海淀区盖尔加朵 我要把头埋进正版盖尔加朵的胸里 一埋一个世纪
44$1578714$神奇女侠$肉多多$2017-06-03 21:09:20$165$烂。
45$1578714$神奇女侠$你虎哥$2017-05-31 16:54:04$1559$满满槽点不知从何吐起、感觉编剧是小学生导演是中二病配乐是懒癌、战争戏拍的就像是开玩笑（一个盾吸引全部火力你敢信、男演员丑、一张前番里的破照片拍了一个半小时、台词特别水、女神变身仪式太朴实无华了、女神还是美但是再也不酷了
46$1578714$神奇女侠$Touma$2017-06-04 03:24:20$79$@常营卢米埃 近些年看到唯一一部十分钟就开始感到生理不适的电影，全程不知道翻了多少白眼，忍了多少句傻逼
47$1578714$神奇女侠$恶魔的步调$2017-06-02 22:55:43$98$女神的战裙让人误以为葫芦娃是她失散多年的兄弟……却不想，她兄弟是蝎子精！
48$1578714$神奇女侠$如是$2018-02-12 23:31:18$27$DC总算找回一点场子了。合格的商业大片，剧情单薄，特效不错，盖尔加朵真心美。
49$1578714$神奇女侠$麒麟之翼$2017-05-31 23:10:19$104$卡老师说的对啊，好好看看异形吧
50$1578714$神奇女侠$冰山李$2017-06-03 19:11:42$54$灾难片
