$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$2131940$魔兽$隐$2016-06-07 01:00:31$3030$请接着往下拍！
20$2131940$魔兽$地平线的旧火车$2016-06-08 07:53:24$937$魔兽≈周星驰现在的电影≈小时代……
21$2131940$魔兽$rainmanyuan$2016-06-07 22:59:42$680$故事一般，特效凑合，排片量太大了，ume23:59居然排了8场，加上0点的，2点的午夜场一共11场，太惊人了，营销做得不错，前无古人啊，故事没有太多惊喜！
22$2131940$魔兽$阿勒曼尼亚酋长$2016-05-31 02:06:55$254$天啊天啊！！看的我眼泪都要掉下来了！！十年的梦想终于实现了！！终于可以在大银幕上看到了活生生的人族和兽族的大战！！啊啊啊啊！！我简直要燃爆了！！简直难掩激动的心情呀！！写个屁影评呀！！我就是脑残粉！！小时代的粉丝你们看看什么叫做真正的脑残粉！虽说是德语版我屁也没听懂，但是准备二刷
23$2131940$魔兽$键盘侠$2016-06-08 07:40:31$268$剧情乱的不行
24$2131940$魔兽$放心办事员小李$2016-05-31 04:05:04$376$你们的世界好难懂…为什么人类首领那么弱…为什么人类首领不会魔法…为什么会魔法的隐居了还要被揪出来打架…哎……
25$2131940$魔兽$kevin枫$2016-06-07 22:53:15$350$剧情不新鲜，特效早都视觉疲劳了，魔戒之后，都是山寨… …后续冒出的魔兽2、3、N，魔兽前传、后记，魔兽精编版、浓缩版、黄金版、白银版、钻石版，魔兽5D复刻版、加长版，魔兽5周年纪念版、十周年、N年纪念版（等等变种版），嘿嘿，也，坚决不去看首映凑那个热闹了！
26$2131940$魔兽$微風$2016-06-08 00:24:21$167$陪好友去看。他是玩家我不是。那就（5+1）➗2=3
27$2131940$魔兽$红军教父$2016-06-08 06:55:06$221$垃圾游戏，毁我一生废我钱财。电影也是难看的一逼。为了部落！
28$2131940$魔兽$飞雪连天射白鹿z$2016-06-08 12:03:52$252$情怀吗？和那些郭敬明小说情怀的少女们有啥区别，但论剧情我给2分、剪辑1分，CG3分，只是这份情怀在现在这些有话语权的人手里、你们以后千万别嘲笑小时代了，都是乌鸦，一般黑.
29$2131940$魔兽$弘$2016-06-08 07:06:57$143$谁理你……我喜欢就好了
30$2131940$魔兽$Evarnold$2016-06-08 02:47:12$113$质量超过预期，目测魔兽可以拍四五部。然后暴雪娱乐就走漫威路线，接下来是星际系列，暗黑系列，稳赚十年。将来中国贡献的票房，就是十多年前我们欠暴雪的正版费。
31$2131940$魔兽$豆瓣酱$2016-06-08 00:42:53$269$男票说魔兽相当于手机界的苹果，没玩过游戏，今天陪他去看的，可能预期太高，并没有想象中的传奇，是游戏粉太多还是有些人跟风头脑热，不过拍片很高，可以期待一下他的票房。
32$2131940$魔兽$影评终结者$2016-06-08 06:52:58$211$先不扯情怀回归电影本身可谓无聊至极，人物塑造和叙事结构极其平庸，场面调度分镜设计和剪辑简直灾难，剧情老套俗气又狗血不说连个基本故事都没说清楚，尽管视效和打击感出众但一帮蹩脚演员全程叨逼偶尔没高潮的打2下还是让人昏睡，讲真就整体而言与平庸的霍比特人差了有1万部指环王，消耗情怀真是够了
33$2131940$魔兽$摩羯座的猫$2016-06-07 19:50:27$112$整体来说还是不错的。我没玩过游戏，但不妨碍我懂这部电影，一定会有续集的。比《美人鱼》好看100万个《捉妖记》。
34$2131940$魔兽$亵渎电影$2016-06-11 01:42:36$118$适合睡觉的那种大片。
