$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
34$24879858$分手大师$兎酱Sissi$2014-06-27 14:00:59$59$这个片也不用写影评了吧、、三流小品的水准、、还耽误我看球赛
35$24879858$分手大师$随心飞翔$2014-05-30 17:58:43$55$杨幂=1星
36$24879858$分手大师$aiwoshuoai33$2014-06-26 18:50:51$49$不用看了，几把垃圾，海报就看吐了 ……
37$24879858$分手大师$有幸和你在一起$2014-06-26 21:15:19$157$糟践电影，浪费生命，恶心人无下限
38$24879858$分手大师$村长爱烧鸡$2014-06-27 13:57:53$46$还是贴10块钱看变形金刚4吧 不然真的要哭晕在厕所里
39$24879858$分手大师$曾良君$2014-10-30 00:31:48$45$邓超是不是觉得自己挺有趣的
40$24879858$分手大师$睡不着的猫怪$2017-07-22 19:04:24$26$大幂幂简直尬演
41$24879858$分手大师$kakakarl$2014-06-27 01:56:53$37$叫分手大师，是烂的让看的人都分手对吧：）
42$24879858$分手大师$写给竹马$2014-06-19 12:10:11$34$不是卖蠢耍贱就是喜剧，就能逗人笑的！
43$24879858$分手大师$身居地狱求杯水$2014-06-26 22:01:10$39$人生第一部中途退场的片子，一辈子不想再在大银幕上看到海报上的这两张脸。一星拿好慢走不送。
44$24879858$分手大师$画下天籁$2014-06-24 22:43:51$64$没有逻辑性地鬼扯，情节也苍白无力，不过有个别包袱还是好笑的，但，好笑不代表它就是好电影。
45$24879858$分手大师$呆瓜$2018-02-18 09:32:44$29$男主那么有演技为啥要演这样的剧，不太适合这样的喜剧，还是喜欢美人鱼，乘风破浪之类的表演，很走心！
46$24879858$分手大师$HanNah$2014-06-26 23:13:19$53$各种很low的耍贱，邓超功力明显不及徐峥啊！
47$24879858$分手大师$弗洛格$2014-06-20 02:32:02$32$实在有够蠢的。除了韩少。
48$24879858$分手大师$百变吸血女$2014-05-31 19:55:08$23$看腻了没有演技的两个主演。
49$24879858$分手大师$M小姐$2014-06-27 11:35:47$31$请问有负分么？
