$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
175$24879858$分手大师$矫情的反面$2014-10-15 10:57:29$4$难脱浓重的国产烂片的臭味，不过我还是嗅出了“周星驰”，我喜欢！！！
176$24879858$分手大师$壹安²$2014-06-29 21:17:16$4$一部由邓超的癫狂式表演和杨幂的小脸撑起来的喜剧大片。剧情无异于普通国产喜剧，但是个人秀的比重太高，整个沦为邓超导演+表演大秀场。
177$24879858$分手大师$skaz$2014-06-18 20:03:26$6$屎尿屁电影！
178$24879858$分手大师$汐澄$2016-06-19 23:32:15$13$里面有几个镜头还是很感人的，不过仍需加把力，好的喜剧是可以赚眼泪的。很喜欢杨幂的小春，怀着糯米拍的还是不容易，更何况演的还那么好，点赞，敬业和演技，当然，还有颜值，毕竟杨大美女。
179$24879858$分手大师$洛漓淅$2016-12-14 19:41:48$10$还行吧，就是搞笑
180$24879858$分手大师$烈焰红唇龙$2016-01-14 11:09:00$3$其实这部比恶棍天使要好一点点。
181$24879858$分手大师$她还没有死$2014-07-01 20:12:14$8$这么好的国产CULT电影一定要打五星
182$24879858$分手大师$四十四次日落$2016-10-10 18:11:03$7$用力喊，山谷里总会有回声的，心疼那个黑夜里默默自语的叶小春。
183$24879858$分手大师$Amo-StayReal$2014-06-21 23:32:02$7$= =如果說只想給一星會不會被黑？（就是不喜歡看這種類型的喜劇啊擦……
184$24879858$分手大师$( ´ ▽ ` )$2014-12-29 11:57:37$7$当时看预告片还是漫感兴趣，考完试就和小伙伴去看了希望可以开心一下。但是成片和预告的差距还是蛮大的，搞笑是好笑，但是是那种笑完之后立马冷场的感觉，席间也几次穿越以为自己在看百变大咖秀……有点一言难尽
185$24879858$分手大师$燕子$2016-07-11 13:36:36$9$整体还是不错的，邓超很逗比，杨幂是怀孕拍戏的，为她的敬业精神点赞，而且是素颜出境，很有感觉
186$24879858$分手大师$雪扬囧囧囧$2020-03-13 00:12:24$5$"邓超是个好演员和他是个烂导演有冲突吗？

没有

真的，邓超别演这种喜剧了，浪费才华"
187$24879858$分手大师$乐事$2016-07-11 08:07:53$6$演的挺好的
188$24879858$分手大师$随风的蒲公英$2017-02-14 20:43:28$7$我觉得看电影只要自己看开心了，开怀大笑了就好，我觉得挺搞笑的，看完心情也会很好啊！
189$24879858$分手大师$安小小慕$2014-06-27 12:30:41$11$邓超个人秀，杨幂整形秀，函数出现之前的20分钟还行，后面剧情狗血的不忍直视
190$24879858$分手大师$古怪因子$2017-06-27 11:09:37$3$邓超好拼
191$24879858$分手大师$铃儿响叮当$2017-04-13 15:56:02$6$海报挺吸引人，但也仅止于此了！邓超江郎才尽了吗？
192$24879858$分手大师$九尾黑猫$2017-12-26 11:48:58$4$这。。不是电影
193$24879858$分手大师$有有$2017-05-28 18:02:51$7$笑点挺多的，但是搞笑方式比较单一
194$24879858$分手大师$萌萌哒$2017-05-10 10:39:20$6$为了搞笑而搞笑，干巴巴。。。。超哥千万别再跟俞白眉搅合了。。。
195$24879858$分手大师$🤙🏻$2014-06-15 15:29:21$3$不知道他们哪儿来的勇气和变4一天上映……
196$24879858$分手大师$堂本曦$2014-06-19 17:45:34$3$我也黑一回……
197$24879858$分手大师$七十七里香$2014-06-14 00:23:37$3$国产电影都这德行。
198$24879858$分手大师$娜莉梦游仙境$2017-03-05 18:30:19$6$搞笑，称不上是喜剧！
199$24879858$分手大师$藤椒虾虾$2016-11-12 00:44:00$13$情节不怎么样，一星给超哥
200$24879858$分手大师$懂哥就是我$2017-06-27 22:12:28$6$邓超简直就是烂片之王！
201$24879858$分手大师$基瑞尔$2017-05-01 21:00:55$1$装疯卖傻，劣质搞笑我看邓超是最拿手。他最大的问题就是Try too hard。即使在事先知道是话剧改编可能会有一些比较夸张的表演手法，也会在观影过程被劣质笑话以及脑残演技弄到观感不适。
202$24879858$分手大师$祝您好运1$2014-06-17 08:24:44$3$预告片剪的是神马玩意儿？
203$24879858$分手大师$安东$2017-12-14 00:13:31$2$这……也配叫电影？
204$24879858$分手大师$蓝色啄木鸟$2017-05-28 22:15:06$6$不喜欢邓超的表演，二星给大幂幂!
205$24879858$分手大师$呼噜噜$2014-06-20 20:47:37$3$那些打出五星的同学，我们看的是同一部电影么？那夸张的表演、恶心的桥段、无厘头的台词！虽然是试映送的票，但浪费时间也不应该啊！
206$24879858$分手大师$二月鸟语$2014-07-01 01:47:02$3$唉，虽然是师哥拍的吧。。。
207$24879858$分手大师$Seros Lee$2014-06-28 22:42:17$3$虽然很搞笑，但是情节弱智。
208$24879858$分手大师$谋杀游戏机$2015-06-20 04:04:41$3$飞机上看了一半，这是情景短剧集么。今天还说这个属于“挠咯吱窝式喜剧“，票房那么高也真是撞了狗屎运
209$24879858$分手大师$danyboy$2014-07-07 22:30:01$2$片子实在是太二了，南周还做了一大版。邓超模仿金凯瑞，很卖力，有些桥段虽然恶心还挺搞笑，虽说不求有什么内涵，可剧情实属傻逼，杨幂依然毫无演技。总得来说还是可以一笑的。
210$24879858$分手大师$小肉兔$2017-05-09 19:44:40$5$不知所谓 很难看 希望邓超别浪费自己的演技多拍点好片
211$24879858$分手大师$山人阿苍苍$2014-06-29 14:02:15$5$我承认我笑了好几次，呵呵那种
212$24879858$分手大师$沧海一小生$2017-04-12 23:21:51$6$我是来看喜剧的，我是想发自内心的笑来着，可是挠你胳肢窝的感觉呀。
213$24879858$分手大师$myhards$2014-06-18 15:48:32$3$因为没有负分，所以不平
214$24879858$分手大师$桃子$2016-01-09 23:22:08$2$如此自恋……到底是为什么非要拍喜剧啊……由此，大概知道《恶棍天使》是个什么级别了……
215$24879858$分手大师$吃瓜少年$2017-05-12 14:07:25$6$看完就一个想法：还好是在家看的。后面剧情太乱了，有点莫名其妙
216$24879858$分手大师$徐若风$2014-08-22 14:51:09$4$视觉污染+精神污染。
217$24879858$分手大师$海豚爱大咖$2014-06-28 19:49:09$7$应该是暑假开始第一周吧，即使大雨倾盆，电影院仍然是热闹非凡，更何况变4这部年度爆米花的上映。而我选择了《分手大师》，尽管觉得打完折还要花我54元的价格虚高了，但能够让我大笑一场，缓解一下近一个月工作上的压力还是值得的。剧本很烂，笑点密集虽然是低俗了点恶搞了点。但总比看雷剧好吧
218$24879858$分手大师$也是个故事$2016-10-11 16:30:16$5$一般吧 还行 
219$24879858$分手大师$小A$2014-07-15 16:16:16$3$节奏不错，镜头不行，剧情与其说好笑不如说无语。看在前半段反转和拼命三郎邓超的份上勉强给个三星。为了宣传，超哥在发布会上差点把打火机吃了，结果电影里演得更拼命。本片应该去戛纳，让阿萨亚斯河濑直美阿巴斯好好看看，怎么拍不把人看困的电影。
220$24879858$分手大师$如错看了都好-$2017-06-09 18:11:42$3$当时还是笑了的 但这种片子的意义在哪？
221$24879858$分手大师$Lovely fox$2017-06-01 19:29:28$8$蛮有趣的剧集. 很适合放松，生活需要这样的调节
222$24879858$分手大师$花落  思量错$2017-04-27 14:43:49$5$邓氏喜剧路线，看着挺搞笑的。
223$24879858$分手大师$默默的蘑菇$2017-04-22 17:40:00$4$恍恍惚惚，不知所谓……现在回回头想想邓超好像真没出什么好片，代表作：跑男。
224$24879858$分手大师$瓦达西瓦又又又桑只爱这巧克力$2014-07-17 18:32:58$4$要么导演是傻逼，要么导演当观众是傻逼。
225$24879858$分手大师$兼葭$2016-07-29 14:58:09$5$当时看的时候是一个人，一直笑个不停。然后这部电影幂怀孕拍的，无论是演技还是敬业的方面都可以打100分～
226$24879858$分手大师$嘤嘤嘤的树树$2014-07-04 02:38:48$4$做人还是要走内心
227$24879858$分手大师$陌上花开枫叶$2015-11-07 12:25:21$7$还不错，及格分，我觉得还挺好笑的，哈哈
228$24879858$分手大师$mOco$2016-09-05 15:13:09$3$你以为真的无法更糟糕时，它居然还能给你惊喜，没有最糟只有更糟！
229$24879858$分手大师$随意$2017-04-12 13:25:41$4$我是善良的人
230$24879858$分手大师$南瓜君$2014-08-29 11:51:04$7$为笑而笑的卖笑
231$24879858$分手大师$灵隐季$2016-03-25 09:11:20$4$其实男女主角都是小人物，一个玩世不恭，一个执迷不悟，一个感动另一个的真实，一个被另一个的另一面打动。很喜欢超哥女装，九儿真好看(●'◡'●)ﾉ❤
232$24879858$分手大师$皮革业$2014-12-22 10:30:23$4$应该是2014年国产片的平均分吧。
233$24879858$分手大师$幽人私语$2016-10-16 16:30:34$4$不是很棒，也不差。演员就要演不同类型的电影，期待更好的邓超和杨幂
234$24879858$分手大师$香菜给我多一点$2018-09-02 01:34:04$2$挺搞笑的，超哥女装好看诶，喜欢叶小春
235$24879858$分手大师$西渚$2014-10-15 08:37:00$3$要点脸吧，跟国足学学，至少人家没粗来宣传自己。。。
236$24879858$分手大师$RYZ$2014-07-19 22:45:45$2$还。。。比较喜欢这个剧情，二货和人渣的爱情故事，有头有尾有小高潮有小转折，只是有点本末倒置，搞笑的点太过了，忽视了努力拼凑起来的感情线。邓超真卖力，幂幂也超搞笑，客串真豪华！【土豪】
237$24879858$分手大师$鹰婕$2014-07-08 21:22:03$5$自己跑到电影院看的，笑死了
238$24879858$分手大师$贾小年$2014-06-30 16:38:23$2$为了把笑话讲完，于是故事讲了很久很久…邓超把翠花的劲儿拿出来，引来许多青年的不敢直视。还是没能讲好故事啊，拍成电视剧吧。很适合在影院看不过。
239$24879858$分手大师$jj73浅之$2014-07-02 21:23:18$4$喜剧真的不是简单的逗人笑，你们误会了
240$24879858$分手大师$元気一杯咪噶酱$2014-09-22 14:07:06$2$邓超挺能演的，其它都很烂
241$24879858$分手大师$秀才Bui出门$2016-12-18 10:27:27$1$虽然是邓超自导自演的，终归是一部烂片。讲述了“分手大师”梅远贵，在开展“分手”业务的过程中，相识北漂彪悍女汉子叶小春，并由此上演了一出“史上最蠢却感人至深的爱情喜剧”
242$24879858$分手大师$i want to ...$2017-11-04 19:22:39$16$还挺搞笑的，邓超还是一如既往的好，但剧情太老套。
243$24879858$分手大师$千寻亿选$2014-11-06 21:16:00$0$分手大师算是营销不错，这么烂的一部电影，通过各种营销手段，广告铺天盖地，票房竟然达到了7亿
244$24879858$分手大师$黄悦_$2015-01-06 15:12:22$2$不好笑 只不过当时心情好笑得开心
245$24879858$分手大师$得儿然$2014-12-27 00:27:15$2$这是喜剧吗？呵呵
246$24879858$分手大师$Mickey$2016-10-24 11:33:08$3$越看越尴尬。
247$24879858$分手大师$闪耀~~$2014-06-02 21:39:20$4$居然有人想去电影院看，你钱没处花了吧
248$24879858$分手大师$峰峰峰峰$2015-01-07 13:54:41$2$邓超用一种节操碎一地，豁出去的态度找到了讨好观众最好的方式，但从质量上借用一句台词吧，即使做了很多，却依然拍不好一部电影。
249$24879858$分手大师$JoeyLu陆柏宇$2014-06-27 19:18:39$1$这是邓超自我疯狂自嗨的最高境界。（没想到有几个角色居然是配音点球。更没想到配音居然是廖菁张伟导的，谁叫他们关系好。）
250$24879858$分手大师$Wechat$2014-06-15 21:26:04$3$听名字就是捞钱烂片
251$24879858$分手大师$看官人$2014-06-18 16:40:43$3$有些人啊
252$24879858$分手大师$笑泪365$2014-06-04 19:10:33$3$看完预告片给一星
253$24879858$分手大师$穷三代$2014-06-01 22:10:33$3$有杨幂就一星。
254$24879858$分手大师$塔拉胡$2014-12-08 01:04:00$2$一场自编自导自演的自high~
255$24879858$分手大师$听风阁$2016-03-23 15:58:35$3$中二病了感觉
256$24879858$分手大师$Ｍ．$2014-12-18 10:20:23$2$我完全不懂这个原作话剧是为什么存在，邓超还要拍成这么浮夸的电影也是醉了。吐槽无力力，一星给真的很拼很没下线的邓超。自己老婆第一个段子也是拼
257$24879858$分手大师$瑶瑶$2014-09-05 16:05:52$2$纯恶搞、低节操、古力娜扎和柳岩很美，邓超很帅。
258$24879858$分手大师$Irreversing$2014-07-10 20:45:43$4$不能再多，这种反电影的垃圾只能呵呵
259$24879858$分手大师$富嶽百景$2014-09-06 10:35:33$2$笑了就OK了，但看完之后也不剩什么了。把大幂幂拍得挺好看哒，邓超舞台上那幕有点像大佬佑呀！！！
260$24879858$分手大师$烤酱麻鸡麻辣油$2017-06-23 09:53:52$4$难看
261$24879858$分手大师$小米=qdmimi$2014-10-05 03:27:07$1$能看
262$24879858$分手大师$刘小青$2014-10-11 00:05:33$2$前半段搞笑有理！后半截扯犊子呢！？
263$24879858$分手大师$昌锴Kenneth$2014-12-07 10:33:58$2$电影可以给零星，2颗星是给邓超的，我想提名邓超最佳男主角，虽然这是烂片
264$24879858$分手大师$浩子菌$2014-09-12 22:12:20$2$爆米花电影，笑笑就够了，不要当勾践了。
265$24879858$分手大师$林三郎$2014-08-31 21:45:28$2$过火，问题很多，但不算难看，至少比同档的《老男孩》强点。
266$24879858$分手大师$少年夏不安$2014-09-13 20:26:45$2$邓超也是蛮拼的，可还是比较适合上刘老根大舞台。
267$24879858$分手大师$二顺$2015-03-08 05:37:06$2$电影真不是有钱就能拍的
268$24879858$分手大师$ピラミッド$2015-08-10 18:38:54$2$无底线无节操的审丑 以及无营养无逻辑的恶搞
269$24879858$分手大师$蜷蜷$2014-07-02 19:25:13$2$看在邓超如此卖力
270$24879858$分手大师$Dita$2015-07-06 08:23:57$2$一直没看过邓超的电影。发现跟跑男里面没什么区别。一直在演自己！
271$24879858$分手大师$某J。624$2014-11-17 12:47:31$2$原谅我一生笑点高……太无聊了……
272$24879858$分手大师$智$2017-01-07 11:13:14$9$没演技是硬伤，邓超还好，可能只是不适合这种类型的电影
273$24879858$分手大师$孑然殇逝$2016-01-02 12:43:37$2$"毫无电影感，甚至连MV都不如，全片就记得古力娜扎真大啊
"
274$24879858$分手大师$张苑希$2019-10-03 22:03:50$1$粗制滥造的剧作+浮夸癫狂的表演，处处透着一股子廉价山寨风，就这种水准的片子还能在当年狂揽6亿票房不得不叹国人观影品味实在堪忧。
275$24879858$分手大师$关倪㔻氏$2016-02-13 01:02:47$4$邓长江可以再低级一些吗
276$24879858$分手大师$Asayake$2018-09-14 16:26:05$3$一直觉得 &lt;你知道XXX有多努力吗&gt; 这句话极其傻逼，看完这部电影我真的感受到了，请这些个人客串爆黑点，自己装疯卖傻cos一万个角色，看着我都累，我觉得邓超是真用心努力，真付出了。然而残酷的现实是才华真的是有差距的，除了一开始的故事让我以为是个甲方乙方的感觉，有小小期待，整个剧真的是一烂到底。
277$24879858$分手大师$面白饭Θ☉Θ$2014-07-06 23:15:42$2$三星全给男神
278$24879858$分手大师$登登啷凳啷滴登$2018-11-06 14:41:10$2$终于洗脑成功！作为喜剧片及格。故事没问题，细节没问题，演员没问题，但给人一种奇怪的呼吸感。大概是节奏出了问题，而且个人喜欢有点留白的电影，就是不需要多么深刻或者多么正能量的台词，用故事本身引导观众思考。演员邓超超级棒，导演邓超要加油～～
279$24879858$分手大师$狗富贵$2017-06-10 12:43:16$2$不好看，剧情是尬笑吗？冲着邓超给多一星。
280$24879858$分手大师$小肚子✨$2016-03-12 23:36:37$2$看过这部才能说自己爱看烂片
281$24879858$分手大师$曼特宁$2014-10-08 11:33:58$2$玩得太夸张了
282$24879858$分手大师$Stillwalking$2017-06-25 06:21:59$5$真有人喜欢在电影院里看傻逼
283$24879858$分手大师$春风颜色$2018-09-17 01:17:09$1$邓超很爱演啊，喜剧感可以。
284$24879858$分手大师$崔小西$2014-06-23 13:07:55$36$目前看过的最烂的预告片，没有之一
285$24879858$分手大师$卢卡瓦$2015-06-24 11:32:36$2$看得好累 辛苦了 这么卖力的表演
286$24879858$分手大师$啊么吸溜$2014-07-20 10:51:47$2$还行了，有那么几个场面拍得还真像大片风范。稍稍的卖肉也还蛮成功哒。(９￣ー￣)９
287$24879858$分手大师$豆友46125593$2016-09-03 19:30:04$2$中规中矩。光靠耍贱不会有高分的。
288$24879858$分手大师$loneliness$2018-08-12 12:27:25$1$怎么是一出闹剧。
289$24879858$分手大师$马什么梅？$2014-07-09 11:10:06$2$确实烂，但没有传说中的那么烂，50分可以有。邓超有够卖力，诚意get√。
290$24879858$分手大师$夏日的小西瓜$2014-10-06 20:41:32$2$突然很喜欢北京。邓超演技挺棒，也挺放得开，收放自如。
291$24879858$分手大师$雨雨$2017-03-08 01:39:28$4$“分手大师”是个双关语，另一层意思是和“大师”分手。的确不要迷信权威，分手“大师”获得自我。可惜“大师”扮演者太丑太猥琐，以至于两段感情没有说服力，对衣冠楚楚者的讽刺也就没有了对比的落差。为了票房选了杨幂可以理解，但从角色本身来说，选一个更有演技的女主角，本片会提升一个档次。
292$24879858$分手大师$踢地哥$2014-08-12 19:58:51$2$我擦 邓超演的太好了 真是为艺术献身啊
293$24879858$分手大师$小太阳$2018-11-12 17:13:25$2$"开始铺垫的时候剧情紧凑也还不错，进入主线以后就不好了。

邓超演的很卖力，杨幂在现代剧里的表现似乎都是一样的，《翻译官》、《小时代》、《分手大师》等等，演的都是不同情绪状态下的杨幂。

但是杨幂在《三生三世》里的上仙的表现我还是非常非常非常非常喜欢的！"
294$24879858$分手大师$BLAKE$2014-07-17 19:24:49$2$估计是邓超想导戏太久了，憋坏了，喷涌而出。戏是一般的，但是着他的眼神，这表演的可是一流的！
295$24879858$分手大师$想你想得睡不戳$2018-07-13 17:51:34$4$一个是演喜剧就崩盘的演员，一个是从宫之后就不知演技为何物的明星。求求邓超，放过喜剧吧！！再拜托杨幂，放过中国影视吧¬_¬｀
296$24879858$分手大师$Pacy$2015-02-03 17:43:37$2$看邓疯子和杨二子耍耍笑笑。。。
297$24879858$分手大师$葡萄酸奶软糖$2015-01-06 22:50:03$3$虽然不太喜欢大幂幂是声音，但是很喜欢邓超逗比男神的调调~~
298$24879858$分手大师$苏苏$2014-06-29 16:24:28$3$笑过了，就可以了。
299$24879858$分手大师$连城易脆$2014-08-24 12:43:06$3$这样的电影肯定很难在口碑上取得好的成绩，但是确实很适合出来约会的情侣看，因为此片一个人看甚是无聊，两个人看确实会有些乐趣...
300$24879858$分手大师$漫不经心的人心$2017-07-20 19:56:58$4$超级搞笑啊，是个喜剧，杨幂邓超演技没的说，剧情有理有据很经常，推荐
301$24879858$分手大师$鹿鸣$2016-02-26 11:07:52$2$邓超想自创自己的喜剧风格，但是过于浮夸，本身的故事很难称得上完整
302$24879858$分手大师$圆满金秋$2015-12-07 14:54:37$3$虽然是牵强的笑点，好歹还是引人发笑了，勉强三星。
303$24879858$分手大师$与碟私奔$2018-06-19 16:12:04$2$【补標】
304$24879858$分手大师$UglY_MoNey$2014-07-14 15:56:38$2$真是。。。辛苦。。。邓超了。。。
305$24879858$分手大师$旺仔 小馒头$2014-07-13 23:41:20$2$很多预告里有的搞笑镜头最后都只出现在了花絮里！！！！我去！！我就是冲这个才看的，结果一小时五十分钟就这么鬼打鬼闹的结束了！太不过瘾了。哎。。原谅我天生笑点低啊哈哈哈
306$24879858$分手大师$s$2015-04-08 19:55:59$2$邓超丢肥皂那个慢镜头..感觉怎么样？
307$24879858$分手大师$西部往事杨百亿$2018-11-25 17:38:31$2$……邓超开始变得奇怪
308$24879858$分手大师$白桃味的小猫咪$2017-07-20 19:35:44$6$“偶尔陪着亲人朋友去影院里单纯开嗓子笑笑，这才是生活啊好吗。”
309$24879858$分手大师$仁慈的父$2014-12-07 21:48:03$2$剧情极其的恶俗。表演上是邓超的一个里程碑，说起来这只能算作他个人的一个表现之作。比起喜剧之王卓别林、金凯瑞、周星驰，还有距离啊。
310$24879858$分手大师$请不要犯界$2014-06-28 12:24:21$3$陪自己女神一起看的午夜场，很美的一夜！打低分的我只想说：“ 你认真的话，你就输了”！
311$24879858$分手大师$娱乐圈梗姐$2016-01-29 18:23:21$2$对于第一次当导演的邓超来说，已经很不错了！
312$24879858$分手大师$囍弗斯$2014-09-27 13:02:54$2$挺搞的，就去看邓超的，娱乐大众电影，挺好，就鸟巢打斗那里怎么忽然间乱糟糟的。
313$24879858$分手大师$千金难买爷乐意$2014-06-15 22:33:01$2$邓超要是在美国，会成为烂仔帮和搞怪蠢蛋秀争抢的对象。不过换了别人，我可能会冲上去揍他一顿。
314$24879858$分手大师$小小斌$2016-09-10 20:04:39$3$看过《恶棍天使》之后你会发现《分手大师》简直佳作。
315$24879858$分手大师$豆友148645068$2018-11-22 08:44:34$1$挺逗的 邓超也是豁出去了
316$24879858$分手大师$closer$2014-09-05 13:17:38$2$我发誓我再也不吃这种屎了
317$24879858$分手大师$✟卡淡$2014-06-30 09:49:54$2$前半小时最搞笑，有了杨幂就不好玩了。
318$24879858$分手大师$乔植$2017-05-12 22:22:15$2$超哥啊！为什么要演这种片子？！
319$24879858$分手大师$蓝色波丽露$2016-09-22 10:11:43$2$一开始还觉得蛮好笑的，可我觉得已经过了那种拿老派港产喜剧的无厘头犯傻犯二来制造喜剧的年代了。
320$24879858$分手大师$念头$2014-06-27 03:25:27$7$比变形金刚好些
321$24879858$分手大师$天气不错$2018-05-11 17:04:05$4$烂到家了，邓超还是老老实实当演员吧，杨幂的演技也是一言难尽！雪鸢是巅峰啊，这几年不光没进步，还倒退！
322$24879858$分手大师$L U K E$2014-07-04 13:47:49$1$邓超是傻逼。观众也是傻逼，笑你妈逼笑。
323$24879858$分手大师$Carpe Diem$2018-09-09 10:58:07$1$不知道为啥我记得我当时在电影院看的时候笑得还挺欢。感觉就是一部闹剧。可能是我笑点低吧
324$24879858$分手大师$朝阳区妻夫木聪$2014-07-09 23:44:31$2$看完这片愈发能理解那句话：成就一个好演员需要无数部优秀电影和经典角色的积累，而毁掉一个演员只需一部烂片就够了。
325$24879858$分手大师$雨夜飞行$2014-07-26 18:29:52$2$邓超贱贱惹人爱，肉体加一星
326$24879858$分手大师$鬼腳七$2014-07-27 19:21:29$1$装疯卖傻，幂幂同学挺可爱的但是也挽回不来啊
327$24879858$分手大师$momomo$2018-09-10 19:16:41$1$爱情喜剧看了很开心哇！
328$24879858$分手大师$王嘉韵$2018-12-02 18:18:14$1$还不错哦，很欢乐。
329$24879858$分手大师$我还是我$2018-11-23 10:39:48$1$62309---前半段还可以 --20140721
330$24879858$分手大师$八丈藝人$2014-07-01 10:04:10$2$邓超秀，笑得出来~
331$24879858$分手大师$路人彦小二$2023-02-08 21:31:10$0$"邓超的这部导演处女作，比《恶棍天使》还是要像话一点，不过超式喜剧并不电影，更适合综艺一点
同样是话剧改编的，开心麻花的剧本底子还是要强很多
邓超的人脉真的很厉害，好多大咖来友情出演，还是扮丑
杨幂表现其实还不赖"
332$24879858$分手大师$小天狼星$2015-03-03 01:05:25$1$跟瘋狂72小時閆妮賣胸一樣 一部靠鄧超賣肉來博取眼球的電影 該有多可憐。
333$24879858$分手大师$山下猫$2016-02-05 10:07:45$0$为什么不好笑也不感动呢？邓超是拼，都是春晚小品那种表情，缺少认真的表情。一些烂梗当宝贝一样不断重复使用，节奏就弱了。看的后半程，演得最恰如其分的是金星，每个白眼翻得都不同。
334$24879858$分手大师$Akwan$2014-08-22 19:25:54$2$欣赏邓超的浮夸，还有金星 、杨幂的自黑
335$24879858$分手大师$谁$2014-09-23 10:04:45$2$【我没标过竟然？】满场人狂笑，我配合着，就是这样。
336$24879858$分手大师$别古$2018-08-19 17:55:10$1$呵呵，呵呵，呵呵呵，但是可能是杨幂最好的片子
337$24879858$分手大师$妖女$2018-12-02 23:31:34$1$和美霖在宿舍看的，一般一般
338$24879858$分手大师$身体大师$2015-02-22 22:55:25$2$其实是很不错的搞笑片，邓超演戏不错。被误会成同性恋的那个桥段真的是经典，太搞笑了！
339$24879858$分手大师$ztlpoppy$2018-03-27 11:51:56$2$真实的吐了
340$24879858$分手大师$soul迪尔$2019-09-14 16:37:07$0$后半部分不知所云
341$24879858$分手大师$二向箔$2018-08-30 12:09:23$1$邓超的喜剧表演还是可以的
342$24879858$分手大师$徊忆未来$2016-07-06 20:52:06$3$搞笑死了
343$24879858$分手大师$大白汐$2014-08-23 06:05:50$2$有些地方还是能稍微笑笑，但是太疯了
344$24879858$分手大师$jakefang$2022-03-29 01:47:01$0$国产电影
345$24879858$分手大师$所有团的团长$2014-09-21 23:04:01$2$喜剧不是闹剧。邓超还没分清楚。
346$24879858$分手大师$罗碧云$2016-10-01 14:00:44$3$邓超装傻卖疯的能力真的是足足的，他也算是一个收放自如的演员了。整个片子笑料还是很足的。
347$24879858$分手大师$老李的🇨🇳$2018-07-12 17:17:59$2$超哥，你还是好好演戏吧，别导演了。
348$24879858$分手大师$豆友3323003$2014-07-10 14:20:46$1$好笑，就够了
349$24879858$分手大师$K$2014-06-25 23:59:07$2$中国终于也有屎尿屁喜剧了。致敬邓超。
350$24879858$分手大师$雅俗共赏$2020-10-10 19:20:51$2$we are chinaman，we make rubbish all the time
351$24879858$分手大师$逸宸$2021-04-13 12:32:27$0$从这部电影开始，邓超的贱简直是深入人心，变装那段更是呼天灭地的贱啊！
352$24879858$分手大师$超级英雄发骚友$2018-08-07 11:11:50$1$俞白眉和邓超的组合简直就是灾难，垃圾片一部，鉴定完毕！
353$24879858$分手大师$本味何知$2021-07-11 20:21:38$0$如果不那么癫狂的话，故事其实也没那么糟。
354$24879858$分手大师$派派$2017-07-12 17:25:12$4$超哥太搞笑了，哈哈。也喜欢小春。
355$24879858$分手大师$writer周子棋$2018-08-17 09:34:48$1$嗯……觉得一般，笑点比较多，但在国内电影里，一般这类的喜剧爱情电影在逻辑和剧情方面一定都是通病，很抱歉，这部也是一样的做法，所以也注定它的上线只能到及格分。但对比一下同期的电影，这部电影的笑料还是在第一次看的时候会略微多那么一些的。
356$24879858$分手大师$大耳朵图图_$2017-05-06 23:02:55$2$好演员也是hold不住烂片的。邓超好像对喜剧有什么误解？古力娜扎红装很美
357$24879858$分手大师$苏TT✨ ✨$2014-07-06 02:23:35$2$邓超太贱了，哈哈哈
358$24879858$分手大师$美神经$2017-07-25 22:12:37$2$这是喜剧片。好吧，原谅我get不到什么笑点…
359$24879858$分手大师$浪客源心$2018-11-08 23:59:44$2$俗了点，搞笑
360$24879858$分手大师$451½°F™$2014-07-16 15:03:03$0$中国式闹剧电影/春晚小品大集锦，却也是中国式喜剧的标准流水线制作，俞白眉+邓超事实上将这种模式发挥得非常工业化与成熟，说到底还是中国式市场与观众孕育出在这样的「恶之花」。
361$24879858$分手大师$EVE$2018-11-11 01:04:14$2$我觉的很好看啊，至少我笑的很开心，看几次笑几次啊
362$24879858$分手大师$yayale$2018-11-25 00:57:22$1$笑过，杨幂不演美女了就很顺畅。
363$24879858$分手大师$Anyee$2014-10-07 12:42:38$2$挺好笑的 邓超太特么自恋啦
364$24879858$分手大师$点点$2014-06-28 10:25:15$2$不知道为什么评论这么低，这么搞笑的片子，看看让大家乐了不就够了么？ps:发现邓超越看越像庾澄庆啊！
365$24879858$分手大师$冷石$2018-09-16 08:04:05$1$旧时光
366$24879858$分手大师$ZhangLL或张$2014-06-15 15:21:38$2$还没看就知道是一个抄袭很严重的电影，邓超你这是要毁了你这些年在观众中良好的形象啊。
367$24879858$分手大师$阿伟$2018-11-06 15:28:48$1$为了找素材强迫自己看的。其实超哥是一个好演员，只是那几年跑偏了
368$24879858$分手大师$五公子$2016-09-13 15:08:32$3$老公要看的电影～无奈跟着一起看了～还行吧～忘记mark了～
369$24879858$分手大师$zoelee$2018-08-21 00:30:32$1$无意间想起来看过hhh
370$24879858$分手大师$X$2018-11-30 01:40:03$1$喜欢邓超
371$24879858$分手大师$没意思的Azalea$2014-08-04 00:19:30$2$这里杨幂总比小时代好吧……其实本片可以及格，邓超耍贱实在太拼了！至于笑点低俗的问题，比起国外R级喜剧小巫见大巫。
372$24879858$分手大师$没钱买票了$2018-10-23 23:18:51$2$高中班里放的，考试之余全班能一起笑成傻逼也是很开心了
373$24879858$分手大师$柠檬不好吃$2014-09-17 19:17:28$2$就来为邓超3星吧  也算笑笑
374$24879858$分手大师$七颗子弹$2014-09-02 23:26:49$2$记得有期杂志封面上就是邓超的分手大师，大大几个粗体字：贱是我的生活态度
