电影名,评分,导演,卡司,id
首楞严演义,9.2,张迪,桑吉平措,30307233
贵妃醉酒,9.2,董克娜 / 李秉忠,梅兰芳 / 姜妙香,26268508
“向后看 向前走”五条人线上音乐会,9.2,张晓舟,"仁科, 茂涛",35205443
陆游与唐琬,9.2,杨小青,"茅威涛, 江瑶, 洪瑛",10877448
盘妻索妻,9.2,王艳霞,王君安,4724721
牧马人,9.1,"谢晋, 黄蜀芹","朱时茂, 丛珊, 刘琼, 牛犇, 雷仲谦",1308038
城南旧事,9.1,吴贻弓,"沈洁, 张丰毅, 张闽, 郑振瑶, 严翔",1300894
变脸,9.1,吴天明,"朱旭, 周任莹, 赵志刚, 潘虹",1293237
神女,9.1,吴永刚,"阮玲玉, 黎铿, 章志直, 唐槐秋, 李君磐",1302210
荒唐事件,9.1,李新,"赵有亮, 管宗祥, 张天喜, 陈祖荣, 佟家琪",11584063
姊姊妹妹站起来,9.1,陈西禾,"梁明, 李纬, 石挥, 程晨, 崔超明",2208890
决战之后,9.1,"李前宽, 肖桂云","古月, 李法曾, 叶庆林, 葛优, 宋戈",1980790
荒山泪,9.1,吴祖光,"程砚秋, 胡学礼, 钱宝森",3724033
红楼梦,9.1,岑范,"徐玉兰, 王文娟, 吕瑞英, 金采风, 周宝奎",1329969
五女拜寿,9.1,"陆建华, 于中效","茅威涛, 何赛飞, 陶慧敏",1903720
丝路花雨,9.1,颜学恕,"贺燕云, 张宏, 李为民, 史敏",3804492
魔天伦世界巡回演唱会,9.1,,"周杰伦, 孙燕姿, 李玟, 陈信宏, 陈慧琳",34809305
难夫难妻,9.1,"张石川, 郑正秋","王病僧, 丁梦鹤",2057398
越剧红楼梦,9.2,胡雪扬,单仰萍,4827535
河南卫视元宵节特别节目—河南博物院元宵奇妙夜,9.1,"路红莉, 钱林林, 宿依楠","汪苏泷, 周延, 杨俊, 易星艳",35375238
