电影名,评分,导演,卡司,id
狐妖小红娘剧场版：月红篇,9.3,"王昕, 董易","杨天翔, 刘校妤, 张杰, 张予佟, 张凯",26972694
大宅门,9.3,郭宝昌,"斯琴高娃, 陈宝国, 刘佩琦, 蒋雯丽, 何赛飞",5301572
哀乐中年,9.3,桑弧,"石挥, 朱嘉琛, 沈扬, 李浣青, 韩非",4719384
花为媒,9.3,方荧,"宋桂岚, 庄珏珍, 新凤霞, 李忆兰, 李文治",2357317
齐天乐,9.3,杨洁,"六小龄童, 马德华, 闫怀礼, 迟重瑞, 赵丽蓉",11498192
2008年北京奥运会闭幕式,9.3,张艺谋,"大卫·贝克汉姆, 鲍里斯·约翰逊, 姚明, 福原爱, 成龙",34875547
张学友1/2世纪世界巡回演唱会,9.3,,张学友,33425521
“黄河之水天上来”国宝音乐会,9.3,于蕾,"张国立, 于魁智, 莫华伦, 宗次郎, 赵聪",34964209
大话西游之大圣娶亲,9.2,刘镇伟,"周星驰, 吴孟达, 朱茵, 蔡少芬, 蓝洁瑛",1292213
哪吒闹海,9.2,"王树忱, 严定宪, 徐景达","梁正晖, 邱岳峰, 毕克, 富润生, 尚华",1307315
天书奇谭,9.2,"王树忱, 钱运达","丁建华, 毕克, 苏秀, 程晓桦, 施融",1428581
天堂回信,9.2,王君正,"石晨, 李丁, 肖雄, 赵子岳, 刘仲元",1418076
剃头匠,9.2,哈斯朝鲁,"靖奎, 由立平, 宋戈",3097352
金猴降妖,9.2,"特伟, 严定宪, 林文肖","李扬, 谈鹏飞, 洪融, 吴鲁生, 战车",1780256
极限公益联欢会,9.2,"任静, 严敏","张艺兴, 罗志祥, 黄渤, 黄磊, 孙红雷",26830080
2008年第29届北京奥运会开幕式,9.2,"张艺谋, 张继钢, 陈维亚","周涛, 李宁, 郎朗, 林妙可, 芭芭拉·布什",3173528
借东风,9.2,岑范,"马连良, 叶盛兰, 谭富英, 萧长华, 裘盛戎",25802874
群英会,9.2,岑范,"马连良, 谭富英, 叶盛兰, 裘盛戎, 袁世海",3069861
猫咪小贝,9.2,曹小卉,"房露, 张美娟, 纪元, 吴犀",30142123
优雅卫士：内斯塔,9.2,天下足球,"亚历山德罗·内斯塔, 张路, 朱晓雨",30290562
