,movie_id,movie_vote,movie_ex_score,movie_shortcom_num,movie_nlp_var,movie_vote_var
182,26383524,9.5,0.06227330581673602,1009,0.05450649227092002,0.09334056
183,26386736,8.8,0.04189993866598159,27,0.04017022333247699,0.048818799999999996
184,26387698,9.0,0.06496605127575068,157,0.06658686409468835,0.0584828
185,26394152,7.0,0.06974505993261451,108788,0.08007038491576814,0.028443759999999995
186,26421039,8.8,0.07398643433740557,222,0.08156054292175696,0.04369000000000001
187,26425063,8.0,0.08269240629334478,252129,0.09442990786668097,0.03574240000000001
188,26425068,7.2,0.08224371995867243,86063,0.09508410994834053,0.03088216
189,26426194,5.7,0.10400951407339716,62676,0.12109389259174644,0.03567200000000001
190,26575103,4.9,0.1101355606480715,110714,0.13207305081008938,0.0223856
191,26580012,9.1,0.06690274825418466,65,0.06618093531773082,0.06979000000000002
192,26606743,6.3,0.06520125952584738,97765,0.07268123440730921,0.035281360000000005
193,26647117,8.2,0.06349501098530703,128943,0.07033816373163379,0.0361224
194,26654146,5.0,0.08984904011622093,62524,0.10870226014527615,0.01443616
195,26662193,5.6,0.07662082444797583,133826,0.09245569055996979,0.01328136
196,26671361,8.8,0.0574003755196135,10955,0.060862769399516875,0.0435508
197,26672579,9.4,0.06606398917271433,156,0.060501686465892913,0.08831320000000001
198,26683723,5.9,0.09403678614371502,134022,0.11341728267964378,0.0165148
199,26694491,8.8,0.0609830820089203,253,0.06460761251115037,0.046484960000000006
200,26698897,6.6,0.08539772971568846,248287,0.10063222214461057,0.024459759999999997
201,26709258,8.0,0.06575956239827263,180298,0.0757003529978408,0.025996400000000003
202,26715636,8.0,0.05305439178321445,124160,0.059175389729018056,0.028570400000000006
203,26728669,7.2,0.061114930124491144,139646,0.06959772265561393,0.02718376
204,26752088,9.0,0.06817751624405671,533381,0.07207549530507089,0.05258560000000001
205,26754233,7.5,0.08077724704478517,252650,0.09431205880598145,0.026637999999999995
206,26790961,7.2,0.06806727251472174,103097,0.07914645064340216,0.023750559999999997
207,26794435,8.4,0.07183015766707468,614935,0.08193065708384334,0.03142816
208,26803826,9.0,0.0433965494716493,315,0.04127474683956163,0.05188375999999999
209,26811587,7.8,0.0855239310034358,123761,0.10024437375429475,0.026642159999999998
210,26816076,6.4,0.07849991286246026,57599,0.08949089107807531,0.034536
211,26816383,6.7,0.0706778967246192,108965,0.081634830905774,0.02685016
212,26826330,6.5,0.06383148874338519,266487,0.07338756092923149,0.025607200000000004
213,26830080,9.2,0.0697001285661383,1016,0.06865626070767286,0.07387560000000001
214,26837989,9.0,0.047191631751928975,47,0.04484363968991122,0.05658359999999999
215,26861685,8.2,0.07289939147573077,283973,0.08389529934466346,0.028915759999999995
216,26862259,6.8,0.07920700224468394,174784,0.09388011280585491,0.020514560000000005
217,26862829,7.7,0.06777575007109443,237284,0.07806304758886803,0.026626560000000004
218,26885074,6.8,0.07660832457793729,80468,0.0888293657224216,0.027724159999999998
