,movie_id,movie_name,movie_vote,movie_voter,movie_5star,movie_4star,movie_3star,movie_2star,movie_1star,movie_shortcom_num
62,1424627,乌鸦与麻雀 烏鴉与麻雀,8.7,10460,44.6%,46.9%,7.9%,0.5%,0.1%,5
63,1428581,天书奇谭,9.2,279707,68.3%,26.0%,5.2%,0.4%,0.2%,52373
64,1434269,黑炮事件,8.7,37597,45.1%,45.7%,8.4%,0.6%,0.2%,14311
65,1448751,周恩来,8.7,6331,51.8%,34.1%,11.7%,1.3%,1.0%,1715
66,1457435,东方红,8.8,2684,61.0%,24.3%,9.8%,1.8%,3.0%,927
67,1461403,茶馆,9.6,137782,80.4%,17.0%,2.3%,0.2%,0.1%,38964
68,1462243,孝子贤孙伺候着,8.7,21094,48.7%,40.0%,10.3%,0.8%,0.3%,5909
69,1464526,横空出世,9.4,73993,76.9%,18.8%,3.7%,0.4%,0.3%,20811
70,1464535,战争子午线,8.8,5178,56.4%,30.7%,10.8%,1.4%,0.6%,1426
71,1464570,孤儿泪,8.8,1170,52.7%,36.2%,10.1%,1.0%,0.0%,235
72,1466022,铁扇公主,8.7,5554,47.7%,40.3%,10.9%,0.8%,0.3%,1792
73,1466114,西岳奇童,8.9,3444,56.6%,31.9%,10.2%,0.8%,0.4%,490
74,1467748,我的九月,8.7,11249,49.5%,39.3%,10.5%,0.5%,0.3%,3707
75,1495939,李二嫂改嫁,8.8,114,57.5%,25.0%,16.3%,1.3%,0.0%,18
76,1498721,野猪林,8.9,796,61.6%,25.5%,9.9%,1.2%,1.7%,177
77,1578714,神奇女侠 Wonder Woman,7.1,461874,13.8%,37.4%,39.4%,7.8%,1.6%,137908
78,1747393,欲望的火焰,8.7,97,69.4%,5.6%,18.1%,4.2%,2.8%,11
79,1756073,我们俩,8.8,114823,49.0%,40.7%,9.6%,0.6%,0.1%,28072
80,1780256,金猴降妖,9.2,12208,66.7%,27.3%,5.4%,0.4%,0.2%,2753
81,1783545,远山姐弟,8.7,180,44.0%,47.7%,6.4%,1.8%,0.0%,45
82,1828115,色，戒,8.6,784464,46.6%,40.6%,11.7%,0.8%,0.3%,149652
83,1859036,宝贝计划 寶貝計劃,7.5,420161,16.8%,45.8%,34.0%,3.0%,0.4%,47568
84,1862151,疯狂的石头,8.6,805655,43.0%,43.7%,12.1%,1.0%,0.2%,105026
85,1903720,五女拜寿,9.1,2832,62.0%,30.0%,7.4%,0.4%,0.2%,991
86,1937852,追鱼,8.8,1541,50.2%,40.1%,8.8%,0.6%,0.3%,458
87,1947270,天狗,8.8,34988,49.4%,40.9%,8.8%,0.7%,0.2%,9536
88,1961963,长江七号,7.2,472328,16.2%,34.9%,40.7%,7.0%,1.2%,51213
89,1980790,决战之后,9.1,8390,63.7%,29.1%,6.2%,0.7%,0.3%,2439
90,19944106,美人鱼,6.7,802388,12.6%,28.8%,42.9%,11.9%,3.8%,230343
91,1999999,狂流,9.1,82,64.9%,24.6%,10.5%,0.0%,0.0%,48
92,2004547,小巷名流,8.8,3011,50.8%,40.5%,7.6%,0.6%,0.4%,1129
93,2029785,出嫁女,9.0,3474,58.2%,34.0%,6.8%,0.8%,0.3%,1345
94,2037432,太阳伞,9.5,1749,78.5%,17.8%,3.1%,0.1%,0.6%,429
95,20376577,小时代,5.0,418273,7.0%,10.1%,31.9%,25.4%,25.5%,145690
96,20411171,爸爸，我捡到一瓶眼药水,8.7,152,65.1%,20.2%,6.4%,1.8%,6.4%,74
97,20435622,环太平洋：雷霆再起 Pacific Rim: Uprising,5.4,239682,2.8%,11.5%,47.7%,30.3%,7.6%,239
98,2057398,难夫难妻,9.1,426,70.9%,19.0%,7.4%,0.9%,1.8%,204
99,2057405,阎瑞生,8.8,139,55.7%,31.1%,10.4%,2.8%,0.0%,86
100,2057408,孤儿救祖记,8.6,410,49.7%,33.7%,16.0%,0.7%,0.0%,152
101,2059622,女驸马,8.9,1882,55.9%,35.3%,8.3%,0.4%,0.2%,484
102,2063528,盲山,8.7,173801,47.5%,42.9%,8.8%,0.6%,0.2%,54339
103,20645019,霸王别姬(京剧),9.0,2559,65.1%,24.3%,8.3%,1.3%,1.1%,490
104,2121871,熊猫的故事 シュンマオ物語 タオタオ,9.0,2677,60.2%,30.6%,8.4%,0.7%,0.2%,956
105,2124703,疯狂的赛车,8.3,372826,36.6%,45.6%,16.1%,1.4%,0.3%,57584
106,2131940,魔兽 Warcraft,7.7,310803,24.9%,39.9%,29.3%,4.4%,1.4%,91104
107,21352814,归来,8.1,359639,28.5%,48.4%,20.7%,2.0%,0.4%,112190
108,21359690,熊出没之过年,8.7,32964,47.7%,39.8%,10.9%,0.9%,0.6%,8981
109,2135981,画皮 畫皮,6.8,436856,9.2%,32.4%,49.0%,8.1%,1.4%,60728
110,21941804,白日焰火,7.6,386988,16.7%,49.6%,30.3%,2.8%,0.6%,105889
111,2208890,姊姊妹妹站起来,9.1,14844,63.3%,29.2%,6.7%,0.5%,0.2%,5
112,2246001,毛毛和哈利,8.7,1344,49.4%,36.1%,13.4%,0.4%,0.7%,227
113,2279570,我的黄金时代,8.7,853,51.1%,35.9%,11.1%,1.4%,0.5%,215
114,23230619,宋士杰,8.8,200,56.1%,31.8%,8.1%,3.4%,0.7%,57
115,2340946,对花枪 花枪缘,8.7,283,54.8%,30.0%,11.4%,1.4%,2.4%,68
116,2340950,穆桂英挂帅,9.0,397,63.8%,24.5%,8.2%,2.8%,0.7%,92
117,2343735,回家,8.8,419,57.0%,30.4%,10.4%,1.9%,0.3%,141
118,2346499,柳毅传书,8.7,501,49.7%,37.9%,10.7%,0.9%,0.9%,142
119,2357317,花为媒,9.3,3626,70.3%,24.6%,4.4%,0.4%,0.3%,1415
120,2361040,紫陀螺,9.0,1937,64.2%,25.5%,9.2%,0.5%,0.5%,671
121,23761370,速度与激情7 Furious 7,8.4,467228,39.7%,42.3%,15.8%,1.7%,0.6%,114990
122,24719063,烈日灼心,8.3,641399,32.9%,50.5%,14.9%,1.3%,0.3%,164493
123,24721493,小时代2：青木时代,5.1,249772,6.9%,10.2%,34.3%,26.0%,22.5%,65862
124,24743711,催眠大师,7.6,394572,15.6%,51.3%,30.0%,2.7%,0.4%,99880
125,24745500,绣春刀,7.7,453754,18.5%,50.2%,27.9%,2.8%,0.7%,124960
126,24751756,老炮儿,7.5,758556,22.2%,40.4%,30.2%,5.0%,2.3%,203553
127,24751763,罗曼蒂克消亡史,7.7,395501,21.7%,47.7%,25.2%,4.2%,1.1%,127119
128,24753810,战狼,7.0,312702,16.0%,34.8%,36.7%,7.9%,4.6%,77159
129,24843198,同桌的妳,6.0,264487,6.9%,18.6%,46.6%,21.2%,6.7%,75854
