,movie_id,movie_nor_score,nor_avg_swscore,s1,s2
280,33425521,5.928953489730569,0.6895454145471649,50.570581407575105,1.55
281,33425522,6.3690833802321505,0.7446400730016444,30.328750234494084,1.5166666666666666
282,33425594,7.1969461428919095,0.8408395972961756,75.866407571811,1.5
283,3369426,7.076407891905146,0.8171994798519564,389.37015279805775,1.45
284,34809305,6.237274490869306,0.7283718610382612,281.1204623382667,1.5166666666666666
285,34841067,7.549068877614733,0.8715983609284814,546.9301658211049,1.2833333333333334
286,34841525,7.323632936439308,0.8546456276276411,514.3807333779008,1.5666666666666667
287,34875547,6.2385462722724,0.729698015323212,60.02653100675804,1.55
288,34880302,7.186697797764121,0.8344502512269336,522.7523348323091,1.0833333333333333
289,34894753,6.457772987387789,0.7567393561835906,469.3329740540841,1.0
290,34929639,7.037271700144552,0.821895530676408,171.71542835368604,1.5166666666666666
291,34930755,6.683805458852941,0.7735768808839242,478.78540941397057,1.5
292,34964209,6.784069849262332,0.789456822215872,158.61471130692712,1.55
293,34990464,7.0112472284081395,0.8178326698735454,10.911193412829894,1.4833333333333334
294,34990857,7.443409316947686,0.8524685543030991,19.653542288272803,1.4833333333333334
295,34996350,7.163800897120036,0.8516714723441352,4.287792227366689,1.5166666666666666
296,35040433,7.461506969194139,0.8626135205496892,17.00857905183608,1.5
297,35044551,7.2817199838830415,0.8537601448525821,220.69147782363447,1.5166666666666666
298,35051512,7.119216657108677,0.8288377486323012,516.4412492831507,1.1666666666666667
299,35096844,6.861058076143112,0.7992365554421424,496.5793557107334,1.2
300,35131346,7.8553303746362735,0.8962219665050775,568.1497780977205,1.4000000000000001
301,35144311,7.773173760939635,0.8864276166165449,562.2380320704726,1.3833333333333335
302,35158160,7.557778447741825,0.8720526702169965,549.5833835806368,1.1500000000000001
303,35182891,6.260934383841456,0.7316999862522012,447.57007878810924,1.4666666666666668
304,35183042,6.549377123994678,0.7565674735882314,474.7032842996008,1.0999999999999999
305,35205443,6.449070081601088,0.7517290540280541,120.54466701808803,1.5333333333333332
306,35209654,5.866793426567492,0.6862066609790793,44.53434741253993,1.5
307,35267208,7.326117581061324,0.8383310621540699,528.7088185795993,1.3833333333333335
308,35268240,5.568617999066684,0.6414783343484073,9.878658748250032,1.5
309,35288735,6.240653750482761,0.7251888058228695,92.6143815179598,1.5666666666666667
310,3530403,7.302856463965064,0.8420499976677003,527.4642347973797,1.3499999999999999
311,35312437,7.2563027561941515,0.8474820660332568,525.7227067145612,1.2333333333333334
312,35362402,6.574322832300136,0.7626035024605945,160.77952257769095,1.5
313,35372742,5.182338543369874,0.5966435343516053,372.17539075274055,1.0999999999999999
314,35375238,6.62613922869012,0.7733642041391449,316.14029476783935,1.5166666666666666
315,35376457,7.4317509958692,0.8487595143392705,537.13132469019,1.3499999999999999
316,35422807,7.281909004704153,0.8402086509575162,527.6431753528115,1.2333333333333334
317,35430794,7.065183418568817,0.8157446728006701,506.1387563926613,1.5833333333333333
318,35460157,7.253324430592832,0.8422827811026077,525.7493322944623,1.2166666666666666
319,35479277,6.808367161269359,0.7842441621796572,34.081427596664135,1.5833333333333333
320,35494375,6.83874624679613,0.8029579978563858,490.40596850970974,1.5
321,35505100,6.66911647532178,0.7752752641217913,484.6837356491335,1.0333333333333334
322,35564186,6.850590561290131,0.7981026739412415,309.9879040209587,1.45
323,35766491,6.907638319362652,0.802225516410069,500.32287395219885,1.1833333333333333
324,3596502,6.251153931576473,0.7269772442230756,449.3365448682354,1.3
325,3598383,6.785202192548766,0.8018885082463292,20.27667351838156,1.4833333333333334
326,3649049,6.96852152076184,0.8034576811872057,501.889114057138,1.3833333333333335
327,3724033,6.730504524856381,0.7835760699734242,143.00455901138778,1.5166666666666666
328,3726072,6.357285171559914,0.7410422398537307,454.79638786699354,1.4666666666666668
329,3732800,7.070911427817957,0.827296630184658,508.31835708634674,1.4666666666666668
330,3734112,6.707486669911203,0.7807404367795787,482.0615002433402,1.4000000000000001
331,3737287,7.521154332048117,0.8811340458732246,541.5865749036087,1.5
332,3739987,7.260043505870968,0.8430334691764158,26.970168585249997,1.5
333,3742360,6.29982461239685,0.7296674425896948,449.9868459297638,1.5
334,3792799,6.869264781767702,0.8020108924786217,493.4448586325777,1.45
335,3804492,7.171927288782715,0.8378532529078434,515.1445466587036,1.5166666666666666
336,3804891,6.589768863392475,0.7593229027283005,473.4826647544357,1.3833333333333335
337,3821067,7.3303128841915495,0.8419629843587363,529.5234663143663,1.3499999999999999
338,4073861,6.633850711360507,0.7703283843575089,287.700976027983,1.4666666666666668
339,4151110,6.328121720858695,0.7419300185451657,456.85912906440205,1.1833333333333333
340,4212172,6.3164716430630685,0.7392023763006266,456.73537322973016,1.1333333333333333
341,4237879,5.97536799894296,0.7006582990102784,428.652599920722,1.3
342,4271894,5.110297679596317,0.5966356565876627,366.7723259697238,1.0999999999999999
343,4281835,6.702558080300546,0.7843343502990292,76.95069696360653,1.45
344,4719384,7.4112025196757845,0.8542527672256441,532.5901889756839,1.55
345,4720779,6.475815967397788,0.7537321731077549,78.7416535843218,1.5
346,4724721,7.1740420308683746,0.8409985090784,80.69166052937007,1.5333333333333332
