序列,年份,电影,票房（万元）
172,2014,洋妞到我家,743.0
173,2014,特工艾米拉,730.0
174,2014,美人邦,715.0
175,2014,诡八楼,704.0
176,2014,化妆师,670.0
177,2014,我就是我,650.0
178,2014,死亡邮件,640.0
179,2014,拆散专家,636.0
180,2014,孤胆保镖,630.0
181,2014,挑战者联盟,620.0
182,2014,花咒,617.0
183,2014,非狐外传,590.0
184,2014,诡替身,590.0
185,2014,封门村,566.0
186,2014,怖偶,560.0
187,2014,死亡派对,535.0
188,2014,闪魂,526.0
189,2014,秘术,493.0
190,2014,激浪青春,480.0
191,2014,分手达人,430.0
192,2014,蓝色骨头,410.0
193,2014,林中小屋(2014中国版),400.0
194,2014,火山对对碰,390.0
195,2014,求爱嫁期,380.0
196,2014,绝命逃亡,370.0
197,2014,孤岛,355.0
198,2014,太空熊猫总动员,350.0
199,2014,城市游戏,325.0
200,2014,缘来是游戏,324.0
201,2014,李可乐寻人记,317.0
202,2014,谁动了我的梦想,308.0
203,2014,永远的焦裕禄,299.0
204,2014,我想结婚的时候你在哪,281.0
205,2014,硬汉奶爸,271.0
206,2014,下一站再爱你,254.0
207,2014,心咒,243.0
208,2014,香气,232.0
209,2014,Q版三国之三小强,221.0
210,2014,忘了去懂你,214.0
211,2014,摩登森林之美食总动员,212.0
212,2014,警察日记,206.0
213,2014,江南爱情故事,202.0
214,2014,放手爱,198.0
215,2014,虐面人之死灵面膜,195.0
216,2014,有一天,193.0
217,2014,我的青春蜜友,174.0
218,2014,21岁派对,168.0
219,2014,狙击时刻,162.0
220,2014,超萌英雄,156.0
221,2014,一号目标,150.0
222,2014,喵星少年漂流记,140.0
223,2014,黄克功案件,135.0
224,2014,爱你一世一生,130.0
225,2014,我是狼,130.0
226,2014,斐济99℃爱情,126.0
227,2014,大宅男,115.0
228,2014,我们毕业的夏天,102.0
229,2014,破局,100.0
230,2014,黑月,96.0
231,2014,精武青春,93.0
232,2014,古堡之吻,86.0
233,2014,一个温州的女人,83.0
234,2014,潜龙风云,83.0
235,2014,再爱一次好不好,76.0
236,2014,命运派对,75.0
237,2014,我是你的野蛮女友,75.0
238,2014,夺樽,70.0
239,2014,求爱大作战,70.0
240,2014,爱情狂想曲,58.0
241,2014,0.5的爱情,55.0
242,2014,大峰祖师,48.0
243,2014,第一眼爱情,47.0
244,2014,十二生肖城市英雄,43.0
245,2014,永春白鹤拳之擎天画卷,43.0
246,2014,与贼同屋,41.0
247,2014,U盘,41.0
248,2014,恋者多喜欢,38.0
249,2014,37次想你,37.0
250,2014,菊花台,36.0
251,2014,这个大叔不太囧,33.0
252,2014,飞鱼秀,32.0
253,2014,海神密码,30.0
254,2014,近距离击杀,30.0
255,2014,卧龙岗,29.0
256,2014,青春.com,28.0
257,2014,神通佛影,26.0
258,2014,飞跃地心,26.0
259,2014,黎明之眼,25.0
260,2014,爱你不等来生,20.0
261,2014,换爱七日,18.0
262,2014,哭恋,14.0
263,2014,等你追我,8.0
264,2014,神剑传奇,8.0
265,2014,斗茶,7.0
266,2014,环城七十里,6.0
267,2014,从哪来，到哪去,6.0
268,2014,街舞小子,6.0
269,2014,青春时光,6.0
270,2014,我不是贼,5.0
271,2014,分手木马计,5.0
272,2014,森林孤影,3.0
273,2014,凤凰台,2.0
274,2014,凡人烦恼,2.0
275,2014,我要你开花,暂无
276,2014,金秋鹿鸣,暂无
277,2014,王牌,暂无
278,2014,向阳花开,暂无
279,2014,破五,未知
280,2014,末日情人,未知
